participant_ID,treatment,part,trial_no,rounds,red_prior_prob,current_rounds,action_type,suspect,count_red_samples,count_blue_samples,evidence_found,evidence_suspect,true_guilty_suspect,suspect_accused
1.0,0.0,1.0,1.0,3.0,0.9,1,0,0.0,0,0,1,1,0.0,0.0
1.0,0.0,1.0,1.0,3.0,0.9,2,0,0.0,1,0,1,1,0.0,0.0
1.0,0.0,1.0,1.0,3.0,0.9,3,0,0.0,2,0,1,1,0.0,0.0
1.0,0.0,1.0,1.0,3.0,0.9,3,1,0.0,3,0,0,-1,0.0,0.0
1.0,0.0,1.0,2.0,3.0,0.1,1,0,0.0,0,0,1,1,1.0,1.0
1.0,0.0,1.0,2.0,3.0,0.1,2,0,0.0,1,0,1,1,1.0,1.0
1.0,0.0,1.0,2.0,3.0,0.1,3,0,0.0,2,0,1,1,1.0,1.0
1.0,0.0,1.0,2.0,3.0,0.1,3,1,1.0,3,0,0,-1,1.0,1.0
1.0,0.0,1.0,3.0,1.0,0.1,1,0,0.0,0,0,1,1,1.0,1.0
1.0,0.0,1.0,3.0,1.0,0.1,1,1,1.0,1,0,0,-1,1.0,1.0
1.0,0.0,1.0,4.0,7.0,0.1,1,0,0.0,0,0,1,1,1.0,1.0
1.0,0.0,1.0,4.0,7.0,0.1,2,0,0.0,1,0,1,1,1.0,1.0
1.0,0.0,1.0,4.0,7.0,0.1,3,0,0.0,2,0,1,1,1.0,1.0
1.0,0.0,1.0,4.0,7.0,0.1,4,0,0.0,3,0,1,1,1.0,1.0
1.0,0.0,1.0,4.0,7.0,0.1,5,0,0.0,4,0,1,1,1.0,1.0
1.0,0.0,1.0,4.0,7.0,0.1,6,0,0.0,5,0,1,1,1.0,1.0
1.0,0.0,1.0,4.0,7.0,0.1,7,0,0.0,6,0,1,1,1.0,1.0
1.0,0.0,1.0,4.0,7.0,0.1,7,1,1.0,7,0,0,-1,1.0,1.0
1.0,0.0,1.0,5.0,5.0,0.1,1,0,0.0,0,0,1,1,1.0,1.0
1.0,0.0,1.0,5.0,5.0,0.1,2,0,0.0,1,0,1,1,1.0,1.0
1.0,0.0,1.0,5.0,5.0,0.1,3,0,0.0,2,0,1,1,1.0,1.0
1.0,0.0,1.0,5.0,5.0,0.1,4,0,0.0,3,0,1,1,1.0,1.0
1.0,0.0,1.0,5.0,5.0,0.1,5,0,0.0,4,0,1,1,1.0,1.0
1.0,0.0,1.0,5.0,5.0,0.1,5,1,1.0,5,0,0,-1,1.0,1.0
1.0,0.0,1.0,6.0,9.0,0.7,1,0,1.0,0,0,1,1,0.0,0.0
1.0,0.0,1.0,6.0,9.0,0.7,2,0,1.0,0,1,1,1,0.0,0.0
1.0,0.0,1.0,6.0,9.0,0.7,3,0,1.0,0,2,1,1,0.0,0.0
1.0,0.0,1.0,6.0,9.0,0.7,4,0,1.0,0,3,1,1,0.0,0.0
1.0,0.0,1.0,6.0,9.0,0.7,5,0,1.0,0,4,1,1,0.0,0.0
1.0,0.0,1.0,6.0,9.0,0.7,6,0,1.0,0,5,1,1,0.0,0.0
1.0,0.0,1.0,6.0,9.0,0.7,7,0,1.0,0,6,1,1,0.0,0.0
1.0,0.0,1.0,6.0,9.0,0.7,8,0,1.0,0,7,1,1,0.0,0.0
1.0,0.0,1.0,6.0,9.0,0.7,9,0,1.0,0,8,1,1,0.0,0.0
1.0,0.0,1.0,6.0,9.0,0.7,9,1,0.0,0,9,0,-1,0.0,0.0
1.0,0.0,1.0,7.0,1.0,0.7,1,0,1.0,0,0,1,1,1.0,0.0
1.0,0.0,1.0,7.0,1.0,0.7,1,1,0.0,0,1,0,-1,1.0,0.0
1.0,0.0,1.0,8.0,7.0,0.3,1,0,0.0,0,0,1,1,1.0,1.0
1.0,0.0,1.0,8.0,7.0,0.3,2,0,0.0,1,0,1,1,1.0,1.0
1.0,0.0,1.0,8.0,7.0,0.3,3,0,0.0,2,0,1,1,1.0,1.0
1.0,0.0,1.0,8.0,7.0,0.3,4,0,0.0,3,0,1,1,1.0,1.0
1.0,0.0,1.0,8.0,7.0,0.3,5,0,0.0,4,0,1,1,1.0,1.0
1.0,0.0,1.0,8.0,7.0,0.3,6,0,0.0,5,0,1,1,1.0,1.0
1.0,0.0,1.0,8.0,7.0,0.3,7,0,0.0,6,0,1,1,1.0,1.0
1.0,0.0,1.0,8.0,7.0,0.3,7,1,1.0,7,0,0,-1,1.0,1.0
1.0,0.0,1.0,9.0,9.0,0.1,1,0,0.0,0,0,1,1,1.0,1.0
1.0,0.0,1.0,9.0,9.0,0.1,2,0,0.0,1,0,1,1,1.0,1.0
1.0,0.0,1.0,9.0,9.0,0.1,3,0,0.0,2,0,1,1,1.0,1.0
1.0,0.0,1.0,9.0,9.0,0.1,4,0,0.0,3,0,1,1,1.0,1.0
1.0,0.0,1.0,9.0,9.0,0.1,5,0,0.0,4,0,1,1,1.0,1.0
1.0,0.0,1.0,9.0,9.0,0.1,6,0,0.0,5,0,1,1,1.0,1.0
1.0,0.0,1.0,9.0,9.0,0.1,7,0,0.0,6,0,1,1,1.0,1.0
1.0,0.0,1.0,9.0,9.0,0.1,8,0,0.0,7,0,1,1,1.0,1.0
1.0,0.0,1.0,9.0,9.0,0.1,9,0,0.0,8,0,1,1,1.0,1.0
1.0,0.0,1.0,9.0,9.0,0.1,9,1,1.0,9,0,0,-1,1.0,1.0
1.0,0.0,1.0,10.0,1.0,0.3,1,0,0.0,0,0,1,1,1.0,1.0
1.0,0.0,1.0,10.0,1.0,0.3,1,1,1.0,1,0,0,-1,1.0,1.0
1.0,0.0,1.0,11.0,5.0,0.7,1,0,1.0,0,0,1,1,0.0,0.0
1.0,0.0,1.0,11.0,5.0,0.7,2,0,1.0,0,1,1,1,0.0,0.0
1.0,0.0,1.0,11.0,5.0,0.7,3,0,1.0,0,2,1,1,0.0,0.0
1.0,0.0,1.0,11.0,5.0,0.7,4,0,1.0,0,3,1,1,0.0,0.0
1.0,0.0,1.0,11.0,5.0,0.7,5,0,1.0,0,4,1,1,0.0,0.0
1.0,0.0,1.0,11.0,5.0,0.7,5,1,0.0,0,5,0,-1,0.0,0.0
