,participant_ID,treatment,block_progressive_ID,trial_ID_in_block,left-0-right,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
0,12,2,1,1,0,4,2,2,1,0,56.0,15.0,14.0,44.0,47.0,48.0,31.0,34.0,34.0,64.0,75.0,24.0,224.0,262.0,2650.160000000073,1,1,,,,
1,12,2,1,2,0,4,2,2,2,0,47.0,13.0,30.0,46.0,11.0,44.0,57.0,13.0,27.0,35.0,13.0,16.0,191.0,161.0,716.7700000000186,0,1,,,,
2,12,2,1,3,0,4,2,2,3,0,46.0,28.0,75.0,12.0,16.0,32.0,17.0,59.0,46.0,49.0,56.0,68.0,209.0,295.0,533.1864999999757,1,1,,,,
3,12,2,1,4,0,4,2,2,4,0,16.0,45.0,28.0,17.0,19.0,51.0,22.0,40.0,57.0,22.0,38.0,62.0,176.0,241.0,466.98930000001,1,1,,,,
4,12,2,1,5,0,4,2,2,5,0,24.0,40.0,80.0,33.0,16.0,61.0,30.0,30.0,37.0,10.0,53.0,21.0,254.0,181.0,582.9851999999606,0,1,,,,
5,12,2,1,6,0,4,2,2,6,0,33.0,30.0,61.0,18.0,22.0,28.0,40.0,17.0,40.0,54.0,22.0,30.0,192.0,203.0,966.0095999998973,0,0,,,,
6,12,2,1,7,0,4,2,2,7,0,46.0,27.0,42.0,16.0,13.0,58.0,49.0,29.0,27.0,42.0,35.0,82.0,202.0,264.0,366.4199000000431,1,1,,,,
7,12,2,1,8,0,4,2,2,8,0,76.0,65.0,56.0,42.0,67.0,53.0,18.0,15.0,76.0,15.0,25.0,48.0,359.0,197.0,533.3016999999818,0,1,,,,
8,12,2,1,9,0,4,2,2,9,0,39.0,50.0,25.0,20.0,65.0,86.0,61.0,63.0,25.0,14.0,50.0,17.0,285.0,230.0,483.3518999999505,0,1,,,,
9,12,2,1,10,0,4,2,2,10,0,18.0,50.0,46.0,21.0,33.0,22.0,46.0,67.0,23.0,15.0,26.0,47.0,190.0,224.0,416.61510000005967,1,1,,,,
10,12,2,1,11,0,4,2,2,11,0,75.0,19.0,23.0,40.0,19.0,51.0,15.0,21.0,18.0,17.0,25.0,10.0,227.0,106.0,383.28699999997633,0,1,,,,
11,12,2,1,12,0,4,2,2,12,0,38.0,18.0,20.0,68.0,43.0,51.0,34.0,72.0,11.0,47.0,20.0,15.0,238.0,199.0,433.650400000019,0,1,,,,
12,12,2,1,13,0,4,2,2,13,0,37.0,25.0,13.0,13.0,28.0,30.0,44.0,27.0,37.0,42.0,46.0,35.0,146.0,231.0,500.2040999999094,1,1,,,,
