,participant_ID,treatment,block_progressive_ID,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,trial_ID_block,left-0-right
0,8,1,1,4,2,2,1,0,80.0,88.0,72.0,72.0,75.0,76.0,37.0,39.0,68.0,79.0,82.0,52.0,463.0,357.0,550.0770000000191,0,1,,,,,1,0
1,8,1,1,4,2,2,2,0,24.0,74.0,18.0,70.0,34.0,68.0,88.0,73.0,41.0,85.0,88.0,64.0,288.0,439.0,450.06299999998566,1,1,,,,,2,0
2,8,1,1,4,2,2,3,0,78.0,55.0,69.0,79.0,83.0,64.0,20.0,60.0,60.0,24.0,80.0,58.0,428.0,302.0,400.0560000000142,0,1,,,,,3,0
3,8,1,1,4,2,2,4,0,87.0,85.0,85.0,84.0,64.0,48.0,71.0,84.0,62.0,64.0,70.0,89.0,453.0,440.0,566.7460000000192,0,1,,,,,4,0
4,8,1,1,4,2,2,5,0,54.0,39.0,86.0,74.0,57.0,85.0,70.0,66.0,89.0,48.0,82.0,80.0,395.0,435.0,700.098000000024,1,1,,,,,5,0
5,8,1,1,4,2,2,6,0,28.0,89.0,79.0,67.0,30.0,31.0,76.0,21.0,70.0,65.0,87.0,55.0,324.0,374.0,616.9883999999438,1,1,,,,,6,0
6,8,1,1,4,2,2,7,0,72.0,86.0,86.0,19.0,81.0,88.0,67.0,29.0,55.0,85.0,69.0,28.0,432.0,333.0,700.0980000000211,0,1,,,,,7,0
7,8,1,1,4,2,2,8,0,65.0,83.0,87.0,58.0,84.0,75.0,38.0,50.0,79.0,76.0,47.0,30.0,452.0,320.0,483.4009999999688,0,1,,,,,8,0
8,8,1,1,4,2,2,9,0,87.0,48.0,82.0,72.0,65.0,78.0,56.0,56.0,32.0,81.0,89.0,53.0,432.0,367.0,550.0770000000075,0,1,,,,,9,0
9,8,1,1,4,2,2,10,0,62.0,82.0,89.0,46.0,37.0,51.0,35.0,45.0,75.0,71.0,82.0,41.0,367.0,349.0,650.0910000000204,1,0,,,,,10,0
10,8,1,1,4,2,2,11,0,90.0,68.0,84.0,56.0,51.0,51.0,89.0,60.0,34.0,52.0,62.0,63.0,400.0,360.0,550.0769999999928,0,1,,,,,11,0
11,8,1,1,4,2,2,12,0,71.0,88.0,87.0,78.0,48.0,73.0,47.0,84.0,46.0,75.0,18.0,76.0,445.0,346.0,416.7250000000145,0,1,,,,,12,0
12,8,1,1,4,2,2,13,0,38.0,50.0,79.0,76.0,47.0,30.0,65.0,83.0,87.0,58.0,84.0,75.0,320.0,452.0,466.73200000001503,1,1,,,,,13,0
13,8,1,1,4,2,2,14,0,85.0,61.0,64.0,78.0,67.0,44.0,66.0,67.0,40.0,20.0,88.0,70.0,399.0,351.0,483.40100000001536,1,0,,,,,14,0
14,8,1,1,4,2,2,15,0,69.0,75.0,22.0,31.0,19.0,90.0,79.0,68.0,75.0,72.0,86.0,28.0,306.0,408.0,750.1310999999953,1,1,,,,,15,0
15,8,1,1,4,2,2,16,0,76.0,65.0,50.0,68.0,62.0,79.0,50.0,76.0,60.0,33.0,42.0,65.0,400.0,326.0,400.056000000014,0,1,,,,,16,0
16,8,1,1,4,2,2,17,0,88.0,73.0,41.0,85.0,88.0,64.0,24.0,74.0,18.0,70.0,34.0,68.0,439.0,288.0,433.3940000000089,0,1,,,,,17,0
17,8,1,1,4,2,2,18,0,89.0,42.0,88.0,77.0,31.0,79.0,86.0,47.0,83.0,63.0,42.0,66.0,406.0,387.0,450.0630000000119,0,1,,,,,18,0
18,8,1,1,4,2,2,19,0,79.0,71.0,66.0,74.0,66.0,50.0,75.0,48.0,77.0,84.0,88.0,87.0,406.0,459.0,466.7320000000151,1,1,,,,,19,0
19,8,1,1,4,2,2,20,0,90.0,87.0,34.0,56.0,59.0,40.0,90.0,78.0,90.0,74.0,57.0,81.0,366.0,470.0,550.076999999987,1,1,,,,,20,0
20,8,1,1,4,2,2,21,0,70.0,66.0,89.0,48.0,82.0,80.0,54.0,39.0,86.0,74.0,57.0,85.0,435.0,395.0,433.39400000001467,0,1,,,,,21,0
21,8,1,1,4,2,2,22,0,56.0,61.0,71.0,73.0,88.0,60.0,87.0,33.0,89.0,23.0,84.0,89.0,409.0,405.0,450.0630000000149,0,1,,,,,22,0
22,8,1,1,4,2,2,23,0,27.0,63.0,76.0,84.0,64.0,68.0,42.0,69.0,89.0,58.0,74.0,80.0,382.0,412.0,550.077000000019,0,0,,,,,23,0
23,8,1,1,4,2,2,24,0,72.0,38.0,35.0,15.0,79.0,24.0,69.0,76.0,45.0,80.0,72.0,85.0,263.0,427.0,516.7390000000128,1,1,,,,,24,0
24,8,1,1,4,2,2,25,0,50.0,49.0,52.0,68.0,28.0,74.0,90.0,86.0,79.0,19.0,60.0,85.0,321.0,419.0,566.7460000000192,1,1,,,,,25,0
25,8,1,1,4,2,2,26,0,63.0,86.0,65.0,89.0,54.0,72.0,68.0,60.0,65.0,90.0,24.0,77.0,429.0,384.0,416.7250000000174,0,1,,,,,26,0
