,participant_ID,treatment,block_progressive_ID,trial_ID_in_block,left-0-right,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
0,7,1,1,1,2,5,3,2,1,4,25.0,52.0,66.0,59.0,84.0,88.0,50.0,45.0,65.0,62.0,41.0,24.0,330.0,331.0,1207.8806000000336,0,0,,,,
1,7,1,1,2,1,5,3,2,2,1,18.0,78.0,65.0,62.0,75.0,72.0,82.0,82.0,88.0,90.0,70.0,29.0,398.0,413.0,524.6263999999909,1,1,,,,
2,7,1,1,3,2,5,3,2,3,4,87.0,49.0,64.0,23.0,71.0,22.0,36.0,35.0,62.0,88.0,57.0,47.0,264.0,377.0,467.07030000000964,1,1,,,,
3,7,1,1,4,1,5,3,2,4,3,15.0,50.0,62.0,69.0,81.0,63.0,87.0,67.0,71.0,31.0,56.0,61.0,372.0,341.0,404.20500000002784,0,1,,,,
4,7,1,1,5,2,5,3,2,5,4,51.0,60.0,69.0,50.0,84.0,79.0,86.0,68.0,83.0,62.0,61.0,72.0,391.0,434.0,369.9165000000096,1,1,,,,
5,7,1,1,6,1,5,3,2,6,1,34.0,54.0,81.0,65.0,67.0,40.0,38.0,50.0,55.0,59.0,49.0,68.0,324.0,336.0,437.39390000007126,1,1,,,,
6,7,1,1,7,1,5,3,2,7,3,38.0,50.0,55.0,59.0,49.0,68.0,34.0,54.0,81.0,65.0,67.0,40.0,324.0,336.0,322.0010999999766,0,0,,,,
7,7,1,1,8,2,5,3,2,8,4,70.0,52.0,39.0,87.0,80.0,56.0,62.0,16.0,58.0,34.0,37.0,89.0,334.0,346.0,392.252700000041,0,0,,,,
8,7,1,1,9,1,5,3,2,9,1,78.0,85.0,77.0,18.0,80.0,90.0,35.0,59.0,82.0,35.0,33.0,51.0,385.0,338.0,546.6978000000527,1,0,,,,
9,7,1,1,10,2,5,3,2,10,4,64.0,37.0,44.0,69.0,55.0,78.0,58.0,19.0,66.0,64.0,33.0,57.0,324.0,320.0,376.23650000000504,0,1,,,,
10,7,1,1,11,2,5,3,2,11,4,79.0,69.0,72.0,72.0,89.0,83.0,60.0,38.0,42.0,86.0,60.0,85.0,433.0,402.0,382.9459000000554,0,1,,,,
11,7,1,1,12,2,5,3,2,12,2,76.0,23.0,23.0,59.0,83.0,48.0,82.0,70.0,19.0,28.0,58.0,29.0,257.0,341.0,408.7280999999726,1,1,,,,
