,participant_ID,treatment,block_progressive_ID,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,trial_ID_block,left-0-right
0,13,1,1,5,3,2,1,2,86.0,51.0,80.0,53.0,49.0,89.0,69.0,63.0,58.0,90.0,67.0,78.0,424.0,409.0,366.9358000000022,0,1,,,,,1,2
1,13,1,1,5,3,2,2,2,83.0,81.0,51.0,75.0,57.0,75.0,60.0,56.0,63.0,49.0,52.0,51.0,387.0,366.0,800.4282000000003,0,1,,,,,2,2
2,13,1,1,5,3,2,3,3,88.0,42.0,71.0,60.0,78.0,80.0,41.0,24.0,88.0,75.0,63.0,89.0,429.0,370.0,884.14529999994,0,1,,,,,3,1
3,13,1,1,5,3,2,4,1,62.0,90.0,50.0,18.0,68.0,36.0,45.0,75.0,54.0,60.0,44.0,80.0,323.0,359.0,1734.7604000000144,0,0,,,,,4,1
4,13,1,1,5,3,2,5,1,78.0,83.0,52.0,81.0,84.0,39.0,71.0,78.0,80.0,67.0,67.0,71.0,432.0,419.0,1001.0099999999713,0,1,,,,,5,1
5,13,1,1,5,3,2,6,4,60.0,56.0,63.0,49.0,52.0,51.0,83.0,81.0,51.0,75.0,57.0,75.0,387.0,366.0,1584.4844000000305,0,1,,,,,6,2
6,13,1,1,5,3,2,7,1,90.0,41.0,84.0,82.0,68.0,85.0,82.0,70.0,33.0,83.0,48.0,59.0,405.0,420.0,1217.8439000000246,0,0,,,,,7,1
7,13,1,1,5,3,2,8,1,42.0,66.0,79.0,55.0,89.0,87.0,74.0,87.0,79.0,84.0,73.0,41.0,436.0,420.0,1317.6536000000774,0,1,,,,,8,1
8,13,1,1,5,3,2,9,3,84.0,71.0,55.0,44.0,87.0,49.0,51.0,53.0,66.0,75.0,89.0,78.0,432.0,370.0,1284.428600000075,0,1,,,,,9,1
9,13,1,1,5,3,2,10,1,47.0,84.0,40.0,45.0,50.0,67.0,25.0,48.0,31.0,70.0,80.0,52.0,273.0,366.0,885.7306999999828,0,0,,,,,10,1
10,13,1,1,5,3,2,11,4,85.0,59.0,73.0,74.0,66.0,80.0,47.0,70.0,74.0,79.0,71.0,85.0,447.0,416.0,1300.8502000000385,0,1,,,,,11,2
11,13,1,1,5,3,2,12,1,58.0,69.0,72.0,70.0,66.0,56.0,89.0,24.0,39.0,74.0,41.0,70.0,365.0,363.0,817.2375000000087,0,1,,,,,12,1
12,13,1,1,5,3,2,13,3,19.0,75.0,40.0,73.0,80.0,31.0,51.0,34.0,80.0,79.0,87.0,53.0,357.0,345.0,2451.6302000000346,0,1,,,,,13,1
13,13,1,1,5,3,2,14,3,73.0,31.0,89.0,76.0,80.0,57.0,84.0,49.0,27.0,67.0,62.0,79.0,415.0,359.0,1000.3715999999608,0,1,,,,,14,1
14,13,1,1,5,3,2,15,3,89.0,69.0,59.0,40.0,43.0,85.0,70.0,90.0,82.0,68.0,81.0,68.0,424.0,420.0,583.6569000000337,0,1,,,,,15,1
15,13,1,1,5,3,2,16,1,83.0,59.0,88.0,75.0,31.0,83.0,52.0,54.0,30.0,68.0,58.0,77.0,342.0,416.0,2251.511399999952,0,0,,,,,16,1
16,13,1,1,5,3,2,17,2,53.0,22.0,85.0,71.0,74.0,32.0,84.0,30.0,72.0,57.0,81.0,82.0,294.0,449.0,1268.0084000000093,0,0,,,,,17,2
17,13,1,1,5,3,2,18,1,70.0,90.0,82.0,68.0,81.0,68.0,89.0,69.0,59.0,40.0,43.0,85.0,424.0,420.0,1467.9478,0,1,,,,,18,1
