,block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct.1,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,participant_ID,block_progressive_ID,trial_ID,trial_ID_block,block_order,block_stimuli,left-0-right
0,3,2,3,15.0,36.0,21.0,12.0,42.0,63.0,73.0,28.0,28.0,49.0,33.0,34.0,189.0,245.0,1933.6040000000653,0,0,0,,,,,3,1,1,1,0,1,1
1,3,2,2,33.0,77.0,53.0,14.0,34.0,26.0,43.0,43.0,23.0,38.0,78.0,61.0,237.0,286.0,1133.4920000000384,1,1,1,,,,,3,1,2,2,0,1,2
2,3,2,3,41.0,24.0,38.0,37.0,13.0,33.0,40.0,23.0,41.0,12.0,30.0,36.0,186.0,182.0,2000.2799999999506,1,0,0,,,,,3,1,3,3,0,1,1
3,3,2,4,30.0,25.0,71.0,49.0,47.0,51.0,32.0,11.0,11.0,20.0,81.0,14.0,273.0,169.0,1466.871999999929,0,1,1,,,,,3,1,4,4,0,1,2
4,3,2,1,73.0,28.0,28.0,49.0,33.0,34.0,15.0,36.0,21.0,12.0,42.0,63.0,245.0,189.0,1016.808999999909,0,1,1,,,,,3,1,5,5,0,1,1
5,3,2,1,35.0,31.0,43.0,45.0,67.0,15.0,67.0,36.0,23.0,65.0,39.0,20.0,236.0,250.0,1016.808999999903,1,1,1,,,,,3,1,6,6,0,1,1
6,3,2,4,38.0,37.0,82.0,15.0,87.0,62.0,39.0,18.0,63.0,27.0,10.0,31.0,321.0,188.0,1016.8090000000366,0,1,1,,,,,3,1,7,7,0,1,2
7,3,2,3,67.0,36.0,23.0,65.0,39.0,20.0,35.0,31.0,43.0,45.0,67.0,15.0,250.0,236.0,2016.9490000000494,0,1,1,,,,,3,1,8,8,0,1,1
8,3,2,4,43.0,43.0,23.0,38.0,78.0,61.0,33.0,77.0,53.0,14.0,34.0,26.0,286.0,237.0,1683.5690000000611,1,0,0,,,,,3,1,9,9,0,1,2
9,3,2,1,19.0,32.0,38.0,50.0,43.0,80.0,33.0,25.0,31.0,22.0,24.0,39.0,262.0,174.0,1017.0597999999758,0,1,1,,,,,3,1,10,10,0,1,1
10,3,2,4,11.0,58.0,30.0,62.0,26.0,35.0,11.0,19.0,36.0,42.0,43.0,61.0,222.0,212.0,1083.7401999999067,0,1,1,,,,,3,1,11,11,0,1,2
11,3,2,1,34.0,17.0,28.0,38.0,37.0,20.0,33.0,38.0,12.0,19.0,49.0,35.0,174.0,186.0,4617.560500000104,0,0,0,,,,,3,1,12,12,0,1,1
12,3,2,3,64.0,36.0,19.0,38.0,28.0,40.0,32.0,57.0,15.0,43.0,48.0,56.0,225.0,251.0,1016.8090000000363,1,1,1,,,,,3,1,13,13,0,1,1
13,3,2,2,32.0,37.0,31.0,29.0,34.0,26.0,10.0,41.0,32.0,52.0,67.0,51.0,189.0,253.0,883.457000000029,1,1,1,,,,,3,1,14,14,0,1,2
14,3,2,2,39.0,18.0,63.0,27.0,10.0,31.0,38.0,37.0,82.0,15.0,87.0,62.0,188.0,321.0,850.1190000000229,1,1,1,,,,,3,1,15,15,0,1,2
