,block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct.1,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,participant_ID,block_progressive_ID,trial_ID,trial_ID_block,block_order,block_stimuli,left-0-right
0,6,1,2,71.0,54.0,72.0,85.0,68.0,66.0,55.0,70.0,43.0,59.0,26.0,84.0,416.0,337.0,417.05970000001685,0,1,1,,,,,14,1,1,1,0,2,2
1,6,1,4,82.0,67.0,62.0,88.0,55.0,27.0,77.0,51.0,62.0,61.0,57.0,84.0,381.0,392.0,400.3756999999997,0,0,0,,,,,14,1,2,2,0,2,2
2,6,1,1,85.0,42.0,85.0,71.0,85.0,86.0,76.0,59.0,53.0,44.0,32.0,58.0,454.0,322.0,450.3120000000097,1,0,0,,,,,14,1,3,3,0,2,1
3,6,1,2,77.0,51.0,62.0,61.0,57.0,84.0,82.0,67.0,62.0,88.0,55.0,27.0,392.0,381.0,483.5940999999905,0,1,1,,,,,14,1,4,4,0,2,2
4,6,1,1,42.0,60.0,23.0,89.0,31.0,90.0,25.0,70.0,68.0,40.0,36.0,66.0,335.0,305.0,550.3215999999695,1,0,0,,,,,14,1,5,5,0,2,1
5,6,1,2,81.0,26.0,47.0,26.0,78.0,60.0,86.0,89.0,89.0,74.0,47.0,54.0,318.0,439.0,483.7144999999989,0,0,0,,,,,14,1,6,6,0,2,2
6,6,1,4,76.0,45.0,65.0,38.0,81.0,27.0,85.0,56.0,72.0,88.0,52.0,61.0,332.0,414.0,400.3606000000059,1,1,1,,,,,14,1,7,7,0,2,2
7,6,1,3,66.0,74.0,47.0,69.0,90.0,24.0,90.0,42.0,69.0,63.0,37.0,43.0,370.0,344.0,483.52979999998934,1,0,0,,,,,14,1,8,8,0,2,1
8,6,1,3,68.0,81.0,83.0,41.0,86.0,74.0,67.0,29.0,38.0,86.0,71.0,72.0,433.0,363.0,433.6007000000012,1,0,0,,,,,14,1,9,9,0,2,1
9,6,1,1,38.0,66.0,90.0,32.0,82.0,88.0,78.0,63.0,29.0,80.0,53.0,58.0,396.0,361.0,233.38950000000187,0,1,1,,,,,14,1,10,10,0,2,1
10,6,1,1,43.0,57.0,52.0,81.0,84.0,66.0,53.0,62.0,86.0,35.0,80.0,81.0,383.0,397.0,350.2789000000048,1,1,1,,,,,14,1,11,11,0,2,1
11,6,1,4,86.0,58.0,36.0,80.0,48.0,67.0,70.0,90.0,87.0,78.0,68.0,59.0,375.0,452.0,316.86030000000613,0,0,0,,,,,14,1,12,12,0,2,2
12,6,1,3,79.0,38.0,50.0,73.0,70.0,81.0,90.0,75.0,56.0,88.0,86.0,28.0,391.0,423.0,383.65150000003337,1,1,1,,,,,14,1,13,13,0,2,1
13,6,1,1,67.0,29.0,38.0,86.0,71.0,72.0,68.0,81.0,83.0,41.0,86.0,74.0,363.0,433.0,300.3784000000101,1,1,1,,,,,14,1,14,14,0,2,1
14,6,1,4,59.0,87.0,90.0,84.0,90.0,66.0,82.0,85.0,62.0,65.0,64.0,89.0,476.0,447.0,417.05109999997666,0,1,1,,,,,14,1,15,15,0,2,2
15,6,1,2,54.0,22.0,77.0,59.0,66.0,49.0,63.0,82.0,61.0,87.0,42.0,53.0,327.0,388.0,417.0828999999998,0,0,0,,,,,14,1,16,16,0,2,2
16,6,1,2,70.0,90.0,87.0,78.0,68.0,59.0,86.0,58.0,36.0,80.0,48.0,67.0,452.0,375.0,300.2685999999986,0,1,1,,,,,14,1,17,17,0,2,2
17,6,1,2,52.0,57.0,89.0,65.0,83.0,81.0,66.0,80.0,71.0,81.0,80.0,55.0,427.0,433.0,267.0421000000148,0,0,0,,,,,14,1,18,18,0,2,2
18,6,1,4,54.0,89.0,53.0,54.0,59.0,52.0,57.0,72.0,81.0,72.0,89.0,70.0,361.0,441.0,400.277999999994,0,0,0,,,,,14,1,19,19,0,2,2
19,6,1,2,41.0,49.0,57.0,24.0,27.0,80.0,76.0,87.0,85.0,51.0,49.0,88.0,278.0,436.0,200.1661999999953,1,1,1,,,,,14,1,20,20,0,2,2
20,6,1,3,31.0,86.0,62.0,66.0,85.0,56.0,80.0,77.0,17.0,45.0,75.0,71.0,386.0,365.0,400.43009999994246,1,0,0,,,,,14,1,21,21,0,2,1
21,6,1,3,79.0,75.0,73.0,43.0,26.0,43.0,55.0,60.0,50.0,16.0,29.0,85.0,339.0,295.0,450.21829999994367,1,0,0,,,,,14,1,22,22,0,2,1
22,6,1,4,75.0,54.0,87.0,39.0,76.0,67.0,46.0,81.0,69.0,75.0,87.0,16.0,398.0,374.0,483.8207000000869,0,1,1,,,,,14,1,23,23,0,2,2
23,6,1,1,64.0,70.0,16.0,80.0,90.0,23.0,64.0,66.0,33.0,62.0,68.0,86.0,343.0,379.0,266.8974999999744,1,1,1,,,,,14,1,24,24,0,2,1
24,6,1,4,55.0,70.0,43.0,59.0,26.0,84.0,71.0,54.0,72.0,85.0,68.0,66.0,337.0,416.0,433.83299999994927,0,0,0,,,,,14,1,25,25,0,2,2
