,block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct.1,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,participant_ID,block_progressive_ID,trial_ID,trial_ID_block,block_order,block_stimuli,left-0-right
0,1,2,0,22.0,10.0,33.0,30.0,32.0,22.0,29.0,46.0,66.0,41.0,35.0,22.0,149.0,239.0,2417.297600000082,1,1,1,,,,,12,1,1,1,1,1,0
1,1,2,0,27.0,52.0,32.0,45.0,51.0,11.0,12.0,31.0,12.0,65.0,73.0,31.0,218.0,224.0,683.4290000000208,1,1,1,,,,,12,1,2,2,1,1,0
2,1,2,0,47.0,22.0,15.0,34.0,63.0,10.0,59.0,15.0,51.0,25.0,31.0,55.0,191.0,236.0,883.457000000029,0,0,0,,,,,12,1,3,3,1,1,0
3,1,2,0,67.0,41.0,13.0,20.0,25.0,55.0,79.0,19.0,10.0,12.0,57.0,29.0,221.0,206.0,500.0699999999255,1,0,0,,,,,12,1,4,4,1,1,0
4,1,2,0,14.0,32.0,49.0,18.0,46.0,53.0,67.0,15.0,34.0,53.0,14.0,23.0,212.0,206.0,533.4080000000189,1,0,0,,,,,12,1,5,5,1,1,0
5,1,2,0,12.0,31.0,12.0,65.0,73.0,31.0,27.0,52.0,32.0,45.0,51.0,11.0,224.0,218.0,550.0769999999088,0,1,1,,,,,12,1,6,6,1,1,0
6,1,2,0,84.0,17.0,51.0,74.0,33.0,25.0,32.0,53.0,66.0,26.0,28.0,10.0,284.0,215.0,550.0770000000191,0,1,1,,,,,12,1,7,7,1,1,0
7,1,2,0,42.0,16.0,33.0,33.0,10.0,34.0,60.0,55.0,32.0,34.0,80.0,76.0,168.0,337.0,483.40100000005896,1,1,1,,,,,12,1,8,8,1,1,0
8,1,2,0,28.0,46.0,29.0,68.0,24.0,41.0,14.0,65.0,56.0,26.0,29.0,26.0,236.0,216.0,583.4150000000194,0,1,1,,,,,12,1,9,9,1,1,0
9,1,2,0,18.0,31.0,50.0,11.0,42.0,57.0,33.0,14.0,44.0,65.0,23.0,38.0,209.0,217.0,500.0700000000126,0,0,0,,,,,12,1,10,10,1,1,0
10,1,2,0,60.0,55.0,32.0,34.0,80.0,76.0,42.0,16.0,33.0,33.0,10.0,34.0,337.0,168.0,450.0630000000178,0,1,1,,,,,12,1,11,11,1,1,0
11,1,2,0,32.0,68.0,21.0,21.0,69.0,32.0,44.0,25.0,34.0,80.0,15.0,66.0,243.0,264.0,833.4500000000168,0,0,0,,,,,12,1,12,12,1,1,0
