,participant_ID,treatment,block_progressive_ID,trial_ID_in_block,left-0-right,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
0,4,2,1,1,1,5,3,2,1,1,32.0,87.0,31.0,53.0,63.0,26.0,36.0,20.0,71.0,20.0,24.0,41.0,,,1883.5389999999961,1,0,,,,
1,4,2,1,2,1,5,3,2,2,1,15.0,20.0,46.0,29.0,56.0,14.0,62.0,26.0,30.0,46.0,66.0,20.0,,,733.6221000000484,0,0,,,,
2,4,2,1,3,2,5,3,2,3,2,23.0,19.0,18.0,37.0,45.0,50.0,19.0,47.0,14.0,44.0,20.0,49.0,,,983.6824999999136,0,0,,,,
3,4,2,1,4,2,5,3,2,4,4,12.0,30.0,43.0,16.0,11.0,61.0,43.0,31.0,43.0,37.0,10.0,36.0,,,1749.5908000001052,0,0,,,,
4,4,2,1,5,2,5,3,2,5,2,19.0,40.0,20.0,83.0,11.0,36.0,25.0,32.0,21.0,30.0,46.0,71.0,,,750.0965000000489,0,0,,,,
5,4,2,1,6,2,5,3,2,6,2,19.0,67.0,50.0,12.0,58.0,47.0,34.0,11.0,16.0,46.0,44.0,22.0,,,583.3717999999238,1,0,,,,
6,4,2,1,7,2,5,3,2,7,4,25.0,32.0,21.0,30.0,46.0,71.0,19.0,40.0,20.0,83.0,11.0,36.0,,,566.5254000000308,0,0,,,,
7,4,2,1,8,2,5,3,2,8,4,23.0,58.0,17.0,22.0,26.0,51.0,33.0,50.0,16.0,48.0,55.0,30.0,,,749.7963000000921,1,0,,,,
8,4,2,1,9,1,5,3,2,9,3,26.0,41.0,10.0,73.0,65.0,57.0,28.0,15.0,42.0,48.0,20.0,20.0,,,600.3122000000673,1,0,,,,
9,4,2,1,10,2,5,3,2,10,2,15.0,63.0,16.0,66.0,11.0,47.0,21.0,15.0,31.0,30.0,36.0,64.0,,,499.921900000004,0,0,,,,
10,4,2,1,11,1,5,3,2,11,3,23.0,34.0,74.0,40.0,43.0,45.0,36.0,26.0,28.0,19.0,32.0,20.0,,,1199.8982999999773,0,0,,,,
11,4,2,1,12,2,5,3,2,12,4,66.0,42.0,41.0,38.0,50.0,41.0,27.0,45.0,40.0,53.0,29.0,11.0,,,600.082799999963,1,0,,,,
12,4,2,1,13,1,5,3,2,13,1,11.0,13.0,19.0,38.0,34.0,33.0,48.0,31.0,58.0,15.0,41.0,62.0,,,1550.0852999997094,0,0,,,,
13,4,2,1,14,1,5,3,2,14,3,85.0,28.0,18.0,66.0,84.0,26.0,43.0,66.0,17.0,14.0,18.0,71.0,,,733.3408999999051,0,0,,,,
14,4,2,1,15,1,5,3,2,15,3,21.0,46.0,74.0,18.0,23.0,24.0,63.0,22.0,55.0,49.0,23.0,86.0,,,683.1316000002088,1,0,,,,
15,4,2,1,16,2,5,3,2,16,4,27.0,24.0,30.0,48.0,46.0,23.0,45.0,19.0,37.0,14.0,13.0,40.0,,,416.6894000000204,0,0,,,,
16,4,2,1,17,2,5,3,2,17,2,22.0,32.0,19.0,23.0,50.0,84.0,21.0,12.0,45.0,33.0,28.0,11.0,,,483.4773000000975,0,0,,,,
17,4,2,1,18,2,5,3,2,18,4,52.0,74.0,20.0,56.0,20.0,27.0,49.0,83.0,58.0,78.0,49.0,21.0,,,483.46150000016195,0,0,,,,
18,4,2,1,19,2,5,3,2,19,4,26.0,26.0,25.0,12.0,10.0,11.0,46.0,34.0,36.0,14.0,41.0,54.0,,,1133.6412000001872,1,0,,,,
19,4,2,1,20,1,5,3,2,20,1,28.0,15.0,42.0,48.0,20.0,20.0,26.0,41.0,10.0,73.0,65.0,57.0,,,999.9340000000084,0,0,,,,
20,4,2,1,21,2,5,3,2,21,4,23.0,18.0,44.0,49.0,42.0,27.0,38.0,34.0,56.0,63.0,42.0,45.0,,,666.666600000125,1,0,,,,
