,block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct.1,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,participant_ID,block_progressive_ID,trial_ID,trial_ID_block,block_order,block_stimuli,left-0-right
0,1,1,0,80.0,51.0,59.0,78.0,70.0,27.0,55.0,81.0,44.0,49.0,35.0,29.0,365.0,293.0,451.72989999998975,0,1,1,,,,,7,1,1,1,1,1,0
1,1,1,0,73.0,88.0,73.0,40.0,46.0,30.0,78.0,49.0,62.0,68.0,55.0,14.0,350.0,326.0,418.3919000000137,0,1,1,,,,,7,1,2,2,1,1,0
2,1,1,0,74.0,66.0,40.0,50.0,83.0,57.0,74.0,47.0,86.0,84.0,90.0,55.0,370.0,436.0,550.2772000000024,1,1,1,,,,,7,1,3,3,1,1,0
3,1,1,0,74.0,47.0,86.0,84.0,90.0,55.0,74.0,66.0,40.0,50.0,83.0,57.0,436.0,370.0,401.7228999999961,0,1,1,,,,,7,1,4,4,1,1,0
4,1,1,0,82.0,25.0,56.0,88.0,64.0,82.0,64.0,75.0,51.0,65.0,57.0,38.0,397.0,350.0,401.7228999999787,0,1,1,,,,,7,1,5,5,1,1,0
5,1,1,0,40.0,86.0,56.0,68.0,63.0,44.0,74.0,40.0,81.0,83.0,61.0,56.0,357.0,395.0,418.39190000000514,1,1,1,,,,,7,1,6,6,1,1,0
6,1,1,0,75.0,69.0,75.0,69.0,86.0,86.0,70.0,28.0,73.0,61.0,71.0,43.0,460.0,346.0,418.3918999999963,0,1,1,,,,,7,1,7,7,1,1,0
7,1,1,0,82.0,60.0,69.0,12.0,75.0,47.0,90.0,66.0,63.0,55.0,46.0,49.0,345.0,369.0,416.7250000000145,1,1,1,,,,,7,1,8,8,1,1,0
8,1,1,0,50.0,66.0,52.0,65.0,50.0,41.0,45.0,87.0,32.0,35.0,89.0,89.0,324.0,377.0,418.3918999999963,1,1,1,,,,,7,1,9,9,1,1,0
9,1,1,0,78.0,66.0,76.0,62.0,70.0,60.0,90.0,53.0,16.0,59.0,35.0,66.0,412.0,319.0,385.0539000000135,0,1,1,,,,,7,1,10,10,1,1,0
10,1,1,0,65.0,68.0,70.0,89.0,32.0,44.0,90.0,74.0,67.0,27.0,87.0,67.0,368.0,412.0,500.0700000000156,1,1,1,,,,,7,1,11,11,1,1,0
11,1,1,0,74.0,40.0,81.0,83.0,61.0,56.0,40.0,86.0,56.0,68.0,63.0,44.0,395.0,357.0,433.39400000001456,0,1,1,,,,,7,1,12,12,1,1,0
12,1,1,0,79.0,41.0,70.0,81.0,82.0,62.0,52.0,81.0,70.0,87.0,72.0,46.0,415.0,408.0,616.753000000017,0,1,1,,,,,7,1,13,13,1,1,0
13,1,1,0,82.0,76.0,82.0,38.0,85.0,37.0,40.0,77.0,84.0,31.0,84.0,61.0,400.0,377.0,1185.1658999999754,0,1,1,,,,,7,1,14,14,1,1,0
14,1,1,0,90.0,88.0,89.0,72.0,23.0,31.0,78.0,74.0,66.0,74.0,78.0,81.0,393.0,451.0,335.0469000000098,1,1,1,,,,,7,1,15,15,1,1,0
15,1,1,0,51.0,74.0,50.0,77.0,69.0,61.0,55.0,29.0,60.0,80.0,87.0,80.0,382.0,391.0,451.7531000000132,0,0,0,,,,,7,1,16,16,1,1,0
16,1,1,0,70.0,28.0,73.0,61.0,71.0,43.0,75.0,69.0,75.0,69.0,86.0,86.0,346.0,460.0,435.0608999999879,1,1,1,,,,,7,1,17,17,1,1,0
17,1,1,0,58.0,83.0,44.0,69.0,59.0,59.0,69.0,90.0,60.0,87.0,69.0,86.0,372.0,461.0,416.7250000000174,1,1,1,,,,,7,1,18,18,1,1,0
18,1,1,0,61.0,54.0,70.0,86.0,50.0,55.0,79.0,49.0,67.0,86.0,41.0,56.0,376.0,378.0,416.7250000000174,0,0,0,,,,,7,1,19,19,1,1,0
19,1,1,0,75.0,34.0,41.0,42.0,64.0,50.0,71.0,63.0,83.0,55.0,60.0,83.0,306.0,415.0,435.06090000001115,1,1,1,,,,,7,1,20,20,1,1,0
20,1,1,0,71.0,26.0,62.0,80.0,88.0,87.0,44.0,58.0,69.0,41.0,70.0,61.0,414.0,343.0,383.38700000001114,0,1,1,,,,,7,1,21,21,1,1,0
21,1,1,0,44.0,58.0,69.0,41.0,70.0,61.0,71.0,26.0,62.0,80.0,88.0,87.0,343.0,414.0,416.72499999990106,1,1,1,,,,,7,1,22,22,1,1,0
22,1,1,0,78.0,49.0,62.0,68.0,55.0,14.0,73.0,88.0,73.0,40.0,46.0,30.0,326.0,350.0,400.05600000001715,0,0,0,,,,,7,1,23,23,1,1,0
