,participant_ID,treatment,block_progressive_ID,trial_ID_in_block,left-0-right,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
0,5,1,1,1,2,6,1,2,1,4,75.0,73.0,57.0,69.0,47.0,87.0,39.0,76.0,64.0,18.0,73.0,61.0,408.0,331.0,283.3729999999851,0,1,,,,
1,5,1,1,2,2,6,1,2,2,2,60.0,22.0,58.0,78.0,35.0,65.0,46.0,61.0,32.0,72.0,72.0,51.0,318.0,334.0,383.38700000001114,1,1,,,,
2,5,1,1,3,2,6,1,2,3,2,56.0,75.0,78.0,73.0,72.0,77.0,74.0,69.0,76.0,81.0,75.0,75.0,431.0,450.0,583.4150000000006,0,0,,,,
3,5,1,1,4,2,6,1,2,4,4,47.0,57.0,35.0,45.0,21.0,55.0,33.0,44.0,74.0,77.0,62.0,59.0,260.0,349.0,400.0560000000142,1,1,,,,
4,5,1,1,5,2,6,1,2,5,4,76.0,56.0,67.0,52.0,24.0,53.0,33.0,70.0,68.0,23.0,57.0,57.0,328.0,308.0,383.3869999999821,1,0,,,,
5,5,1,1,6,2,6,1,2,6,2,59.0,79.0,56.0,33.0,19.0,77.0,71.0,18.0,50.0,66.0,62.0,68.0,323.0,335.0,350.0489999999874,0,0,,,,
6,5,1,1,7,1,6,1,2,7,3,72.0,58.0,88.0,33.0,88.0,70.0,89.0,43.0,84.0,82.0,44.0,49.0,409.0,391.0,516.7390000000158,1,0,,,,
7,5,1,1,8,2,6,1,2,8,2,64.0,75.0,44.0,74.0,43.0,76.0,81.0,60.0,61.0,89.0,73.0,59.0,376.0,423.0,833.4499999999624,1,1,,,,
8,5,1,1,9,2,6,1,2,9,4,56.0,30.0,65.0,69.0,88.0,38.0,51.0,86.0,65.0,51.0,58.0,28.0,346.0,339.0,216.6969999999768,0,1,,,,
9,5,1,1,10,1,6,1,2,10,3,23.0,29.0,72.0,31.0,80.0,73.0,62.0,79.0,86.0,68.0,83.0,64.0,308.0,442.0,416.72500000001435,1,1,,,,
10,5,1,1,11,1,6,1,2,11,1,37.0,51.0,83.0,41.0,79.0,79.0,52.0,36.0,74.0,60.0,45.0,78.0,370.0,345.0,616.753000000017,0,1,,,,
11,5,1,1,12,2,6,1,2,12,2,73.0,54.0,80.0,23.0,89.0,84.0,64.0,80.0,53.0,70.0,30.0,77.0,403.0,374.0,250.03500000000645,0,1,,,,
12,5,1,1,13,1,6,1,2,13,1,62.0,79.0,86.0,68.0,83.0,64.0,23.0,29.0,72.0,31.0,80.0,73.0,442.0,308.0,400.0560000000084,0,1,,,,
13,5,1,1,14,2,6,1,2,14,4,46.0,86.0,59.0,59.0,56.0,81.0,62.0,37.0,82.0,64.0,52.0,33.0,387.0,330.0,416.72500000001435,0,1,,,,
14,5,1,1,15,2,6,1,2,15,2,33.0,44.0,74.0,77.0,62.0,59.0,47.0,57.0,35.0,45.0,21.0,55.0,349.0,260.0,200.02800000000573,0,1,,,,
15,5,1,1,16,1,6,1,2,16,3,55.0,84.0,51.0,49.0,59.0,82.0,25.0,77.0,88.0,84.0,48.0,89.0,380.0,411.0,433.39399999995356,1,1,,,,
16,5,1,1,17,2,6,1,2,17,2,70.0,55.0,64.0,77.0,38.0,83.0,77.0,48.0,46.0,68.0,53.0,72.0,387.0,364.0,333.379999999993,0,1,,,,
17,5,1,1,18,1,6,1,2,18,3,49.0,37.0,86.0,63.0,53.0,79.0,40.0,78.0,71.0,55.0,20.0,86.0,367.0,350.0,700.0980000000211,1,0,,,,
18,5,1,1,19,1,6,1,2,19,1,78.0,37.0,66.0,84.0,90.0,80.0,76.0,62.0,78.0,68.0,88.0,79.0,435.0,451.0,350.0490000000137,0,0,,,,
