,block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct.1,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,participant_ID,block_progressive_ID,trial_ID,trial_ID_block,block_order,block_stimuli,left-0-right
0,4,1,0,90.0,86.0,41.0,90.0,75.0,42.0,76.0,51.0,88.0,67.0,81.0,48.0,424.0,411.0,550.624800000005,0,1,1,,,,,2,1,1,1,1,2,0
1,4,1,0,79.0,87.0,47.0,36.0,67.0,46.0,90.0,72.0,88.0,29.0,28.0,77.0,362.0,384.0,200.08799999999755,1,1,1,,,,,2,1,2,2,1,2,0
2,4,1,0,44.0,52.0,81.0,38.0,56.0,60.0,80.0,83.0,68.0,67.0,51.0,58.0,331.0,407.0,366.82800000000435,1,1,1,,,,,2,1,3,3,1,2,0
3,4,1,0,90.0,49.0,81.0,55.0,86.0,77.0,81.0,80.0,58.0,80.0,33.0,52.0,438.0,384.0,383.5020000000005,0,1,1,,,,,2,1,4,4,1,2,0
4,4,1,0,31.0,32.0,82.0,41.0,89.0,71.0,68.0,63.0,64.0,72.0,54.0,81.0,346.0,402.0,651.9534,1,1,1,,,,,2,1,5,5,1,2,0
5,4,1,0,83.0,48.0,56.0,42.0,87.0,79.0,85.0,82.0,63.0,73.0,84.0,84.0,395.0,471.0,350.1539999999935,1,1,1,,,,,2,1,6,6,1,2,0
6,4,1,0,55.0,56.0,74.0,21.0,39.0,29.0,79.0,42.0,61.0,75.0,78.0,61.0,274.0,396.0,350.15399999998186,1,1,1,,,,,2,1,7,7,1,2,0
7,4,1,0,79.0,42.0,61.0,75.0,78.0,61.0,55.0,56.0,74.0,21.0,39.0,29.0,396.0,274.0,200.08799999999752,0,1,1,,,,,2,1,8,8,1,2,0
8,4,1,0,71.0,72.0,18.0,86.0,57.0,50.0,57.0,43.0,37.0,78.0,61.0,90.0,354.0,366.0,550.2420000000011,0,0,0,,,,,2,1,9,9,1,2,0
9,4,1,0,88.0,89.0,50.0,66.0,90.0,21.0,85.0,67.0,80.0,75.0,37.0,48.0,404.0,392.0,516.8940000000031,1,0,0,,,,,2,1,10,10,1,2,0
10,4,1,0,51.0,70.0,59.0,61.0,86.0,79.0,40.0,68.0,80.0,63.0,42.0,46.0,406.0,339.0,350.1539999999833,0,1,1,,,,,2,1,11,11,1,2,0
11,4,1,0,70.0,67.0,50.0,72.0,50.0,47.0,86.0,89.0,78.0,71.0,76.0,59.0,356.0,459.0,716.9819999999977,1,1,1,,,,,2,1,12,12,1,2,0
12,4,1,0,65.0,26.0,77.0,82.0,26.0,38.0,75.0,90.0,85.0,68.0,34.0,59.0,314.0,411.0,483.5460000000049,1,1,1,,,,,2,1,13,13,1,2,0
13,4,1,0,79.0,64.0,88.0,55.0,73.0,45.0,79.0,67.0,71.0,41.0,88.0,72.0,404.0,418.0,350.15399999999494,1,1,1,,,,,2,1,14,14,1,2,0
14,4,1,0,77.0,80.0,83.0,68.0,26.0,85.0,35.0,63.0,77.0,44.0,78.0,55.0,419.0,352.0,416.8500000000086,0,1,1,,,,,2,1,15,15,1,2,0
15,4,1,0,81.0,80.0,58.0,80.0,33.0,52.0,90.0,49.0,81.0,55.0,86.0,77.0,384.0,438.0,416.8500000000088,1,1,1,,,,,2,1,16,16,1,2,0
16,4,1,0,71.0,62.0,82.0,67.0,71.0,72.0,48.0,85.0,75.0,67.0,73.0,62.0,425.0,410.0,316.80599999999686,0,1,1,,,,,2,1,17,17,1,2,0
17,4,1,0,90.0,47.0,84.0,84.0,87.0,90.0,47.0,79.0,78.0,87.0,53.0,81.0,482.0,425.0,350.15400000001233,0,1,1,,,,,2,1,18,18,1,2,0
18,4,1,0,74.0,85.0,63.0,70.0,55.0,85.0,82.0,53.0,88.0,48.0,84.0,89.0,432.0,444.0,533.5680000000021,1,1,1,,,,,2,1,19,19,1,2,0
19,4,1,0,45.0,62.0,79.0,71.0,54.0,59.0,54.0,52.0,50.0,87.0,52.0,80.0,370.0,375.0,400.1759999999922,1,1,1,,,,,2,1,20,20,1,2,0
20,4,1,0,85.0,52.0,36.0,50.0,52.0,77.0,73.0,49.0,52.0,59.0,43.0,77.0,352.0,353.0,350.15399999998044,0,0,0,,,,,2,1,21,21,1,2,0
21,4,1,0,88.0,46.0,47.0,26.0,83.0,54.0,43.0,72.0,72.0,21.0,61.0,89.0,344.0,358.0,400.17599999998924,1,1,1,,,,,2,1,22,22,1,2,0
22,4,1,0,36.0,73.0,53.0,83.0,55.0,49.0,55.0,75.0,22.0,36.0,58.0,59.0,349.0,305.0,416.8500000000088,0,1,1,,,,,2,1,23,23,1,2,0
23,4,1,0,25.0,56.0,59.0,62.0,63.0,32.0,89.0,85.0,88.0,70.0,54.0,80.0,297.0,466.0,833.6999999999854,1,1,1,,,,,2,1,24,24,1,2,0
24,4,1,0,66.0,88.0,45.0,72.0,86.0,75.0,85.0,76.0,87.0,70.0,78.0,35.0,432.0,431.0,1450.6380000000158,0,1,1,,,,,2,1,25,25,1,2,0
25,4,1,0,40.0,68.0,80.0,63.0,42.0,46.0,51.0,70.0,59.0,61.0,86.0,79.0,339.0,406.0,666.9599999999947,1,1,1,,,,,2,1,26,26,1,2,0
26,4,1,0,83.0,78.0,82.0,54.0,28.0,72.0,44.0,64.0,83.0,31.0,72.0,57.0,397.0,351.0,5731.666666666679,1,0,0,,,,,2,1,27,27,1,2,0
