,participant_ID,treatment,block_progressive_ID,trial_ID_in_block,left-0-right,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
0,6,2,1,1,2,5,3,2,1,4,63.0,10.0,53.0,29.0,15.0,32.0,28.0,66.0,40.0,37.0,55.0,15.0,202.0,241.0,533.4080000000029,1,1,,,,
1,6,2,1,2,2,5,3,2,2,4,32.0,48.0,42.0,49.0,31.0,68.0,35.0,51.0,36.0,48.0,66.0,13.0,270.0,249.0,383.3869999999908,0,1,,,,
2,6,2,1,3,1,5,3,2,3,3,66.0,52.0,40.0,44.0,70.0,47.0,20.0,16.0,30.0,43.0,55.0,41.0,319.0,205.0,316.71100000000735,0,1,,,,
3,6,2,1,4,1,5,3,2,4,3,63.0,37.0,34.0,11.0,31.0,33.0,17.0,45.0,25.0,14.0,41.0,35.0,209.0,177.0,233.36599999998882,0,1,,,,
4,6,2,1,5,1,5,3,2,5,1,17.0,45.0,25.0,14.0,41.0,35.0,63.0,37.0,34.0,11.0,31.0,33.0,177.0,209.0,266.70400000000956,1,1,,,,
5,6,2,1,6,2,5,3,2,6,4,19.0,15.0,30.0,17.0,79.0,11.0,59.0,11.0,18.0,20.0,47.0,36.0,171.0,191.0,283.3729999999938,0,0,,,,
6,6,2,1,7,1,5,3,2,7,3,49.0,35.0,39.0,13.0,73.0,12.0,39.0,25.0,13.0,58.0,19.0,50.0,221.0,204.0,300.0420000000101,0,1,,,,
7,6,2,1,8,1,5,3,2,8,1,39.0,25.0,13.0,58.0,19.0,50.0,49.0,35.0,39.0,13.0,73.0,12.0,204.0,221.0,400.0559999999997,1,1,,,,
8,6,2,1,9,2,5,3,2,9,2,28.0,66.0,40.0,37.0,55.0,15.0,63.0,10.0,53.0,29.0,15.0,32.0,241.0,202.0,333.3800000000133,0,1,,,,
9,6,2,1,10,1,5,3,2,10,1,34.0,36.0,56.0,21.0,24.0,41.0,36.0,28.0,19.0,41.0,83.0,30.0,212.0,237.0,316.7110000000102,1,1,,,,
