,participant_ID,treatment,block_progressive_ID,trial_ID_in_block,left-0-right,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
0,10,2,1,1,0,1,2,1,1,0,12.0,74.0,27.0,38.0,14.0,56.0,31.0,16.0,21.0,24.0,32.0,68.0,221.0,192.0,1616.246,0,1,,,,
1,10,2,1,2,0,1,2,1,2,0,18.0,26.0,16.0,12.0,66.0,22.0,20.0,40.0,24.0,13.0,19.0,12.0,160.0,128.0,2516.656,1,0,,,,
2,10,2,1,3,0,1,2,1,3,0,30.0,23.0,14.0,11.0,27.0,10.0,27.0,72.0,36.0,90.0,13.0,52.0,115.0,290.0,616.661999999994,1,1,,,,
3,10,2,1,4,0,1,2,1,4,0,21.0,10.0,55.0,13.0,70.0,63.0,47.0,30.0,11.0,28.0,22.0,27.0,232.0,165.0,466.692000000028,0,1,,,,
4,10,2,1,5,0,1,2,1,5,0,10.0,12.0,28.0,28.0,32.0,37.0,76.0,65.0,49.0,55.0,14.0,13.0,147.0,272.0,299.963999999993,1,1,,,,
5,10,2,1,6,0,1,2,1,6,0,37.0,24.0,23.0,40.0,15.0,55.0,22.0,50.0,31.0,11.0,62.0,38.0,194.0,214.0,1066.666,0,0,,,,
6,10,2,1,7,0,1,2,1,7,0,31.0,16.0,21.0,24.0,32.0,68.0,12.0,74.0,27.0,38.0,14.0,56.0,192.0,221.0,783.329999999984,1,1,,,,
7,10,2,1,8,0,1,2,1,8,0,54.0,51.0,77.0,17.0,15.0,24.0,35.0,40.0,12.0,18.0,44.0,22.0,238.0,171.0,233.334,0,1,,,,
8,10,2,1,9,0,1,2,1,9,0,20.0,40.0,24.0,13.0,19.0,12.0,18.0,26.0,16.0,12.0,66.0,22.0,128.0,160.0,448.6540000000009,1,1,,,,
9,10,2,1,10,0,1,2,1,10,0,18.0,23.0,38.0,47.0,25.0,20.0,10.0,66.0,73.0,11.0,40.0,10.0,171.0,210.0,366.726000000004,1,1,,,,
10,10,2,1,11,0,1,2,1,11,0,50.0,68.0,15.0,14.0,11.0,43.0,36.0,23.0,34.0,44.0,15.0,19.0,201.0,171.0,216.65400000000702,0,1,,,,
