,block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct.1,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,participant_ID,block_progressive_ID,trial_ID,trial_ID_block,block_order,block_stimuli,left-0-right
0,5,2,3,53.0,48.0,72.0,15.0,38.0,48.0,60.0,61.0,34.0,31.0,63.0,13.0,320.0,216.0,1581.9195999999295,0,1,1,,,,,1,1,1,1,2,2,1
1,5,2,2,17.0,82.0,57.0,22.0,33.0,60.0,32.0,24.0,39.0,10.0,34.0,73.0,271.0,212.0,566.1494000000358,1,0,0,,,,,1,1,2,2,2,2,2
2,5,2,2,60.0,25.0,39.0,23.0,11.0,25.0,27.0,33.0,33.0,37.0,38.0,82.0,225.0,208.0,566.3340999999667,0,1,1,,,,,1,1,3,3,2,2,2
3,5,2,3,10.0,29.0,16.0,71.0,21.0,17.0,46.0,40.0,37.0,22.0,19.0,47.0,149.0,226.0,466.25019999997454,1,1,1,,,,,1,1,4,4,2,2,1
4,5,2,1,40.0,78.0,20.0,11.0,43.0,76.0,23.0,59.0,51.0,28.0,67.0,16.0,244.0,268.0,632.772899999941,0,0,0,,,,,1,1,5,5,2,2,1
5,5,2,1,46.0,40.0,37.0,22.0,19.0,47.0,10.0,29.0,16.0,71.0,21.0,17.0,149.0,226.0,549.4647999999521,1,1,1,,,,,1,1,6,6,2,2,1
6,5,2,4,33.0,59.0,10.0,36.0,14.0,15.0,54.0,42.0,54.0,21.0,17.0,52.0,225.0,182.0,1431.9687000000386,1,0,0,,,,,1,1,7,7,2,2,2
7,5,2,1,28.0,17.0,25.0,30.0,21.0,26.0,46.0,40.0,22.0,21.0,25.0,18.0,167.0,152.0,532.8920000000217,0,1,1,,,,,1,1,8,8,2,2,1
8,5,2,1,37.0,25.0,12.0,23.0,26.0,12.0,14.0,21.0,24.0,35.0,13.0,41.0,126.0,157.0,466.234299999976,1,1,1,,,,,1,1,9,9,2,2,1
9,5,2,4,12.0,19.0,18.0,45.0,53.0,37.0,17.0,75.0,13.0,15.0,28.0,55.0,246.0,141.0,582.7379000000658,0,1,1,,,,,1,1,10,10,2,2,2
