,participant_ID,treatment,block_progressive_ID,trial_ID_in_block,left-0-right,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
0,13,2,1,1,1,2,3,1,1,1,22.0,31.0,16.0,25.0,22.0,44.0,68.0,10.0,46.0,28.0,29.0,18.0,160.0,199.0,633.4219999999881,1,1,,,,
1,13,2,1,2,1,2,3,1,2,1,30.0,54.0,16.0,19.0,36.0,24.0,16.0,20.0,22.0,10.0,13.0,21.0,179.0,102.0,433.39400000000296,1,0,,,,
2,13,2,1,3,1,2,3,1,3,3,12.0,32.0,24.0,45.0,54.0,44.0,47.0,19.0,45.0,52.0,58.0,14.0,211.0,235.0,233.36600000000618,1,1,,,,
3,13,2,1,4,1,2,3,1,4,3,67.0,18.0,25.0,10.0,56.0,50.0,32.0,15.0,26.0,33.0,61.0,50.0,226.0,217.0,433.39399999996806,1,0,,,,
4,13,2,1,5,1,2,3,1,5,3,16.0,20.0,22.0,10.0,13.0,21.0,30.0,54.0,16.0,19.0,36.0,24.0,102.0,179.0,766.7740000000247,1,1,,,,
5,13,2,1,6,2,2,3,1,6,2,12.0,60.0,55.0,71.0,68.0,46.0,31.0,17.0,47.0,16.0,16.0,68.0,312.0,195.0,766.7740000000247,1,0,,,,
6,13,2,1,7,2,2,3,1,7,4,31.0,17.0,47.0,16.0,16.0,68.0,12.0,60.0,55.0,71.0,68.0,46.0,195.0,312.0,600.3161000000224,1,1,,,,
7,13,2,1,8,1,2,3,1,8,3,28.0,16.0,10.0,20.0,51.0,42.0,18.0,36.0,59.0,34.0,14.0,73.0,167.0,234.0,600.0840000000227,1,1,,,,
8,13,2,1,9,1,2,3,1,9,1,32.0,15.0,26.0,33.0,61.0,50.0,67.0,18.0,25.0,10.0,56.0,50.0,217.0,226.0,416.72499999998826,1,1,,,,
9,13,2,1,10,1,2,3,1,10,1,47.0,19.0,45.0,52.0,58.0,14.0,12.0,32.0,24.0,45.0,54.0,44.0,235.0,211.0,750.1049999999925,1,0,,,,
10,13,2,1,11,2,2,3,1,11,2,36.0,18.0,39.0,25.0,26.0,33.0,16.0,40.0,30.0,26.0,42.0,67.0,177.0,221.0,266.70400000000956,1,1,,,,
11,13,2,1,12,2,2,3,1,12,2,22.0,56.0,26.0,53.0,74.0,20.0,44.0,15.0,74.0,23.0,38.0,64.0,251.0,258.0,633.4220000000087,1,1,,,,
12,13,2,1,13,2,2,3,1,13,4,44.0,15.0,74.0,23.0,38.0,64.0,22.0,56.0,26.0,53.0,74.0,20.0,258.0,251.0,716.7670000000212,1,0,,,,
13,13,2,1,14,1,2,3,1,14,3,61.0,19.0,11.0,18.0,65.0,50.0,69.0,43.0,15.0,62.0,10.0,75.0,224.0,274.0,383.38700000001097,1,1,,,,
14,13,2,1,15,1,2,3,1,15,1,45.0,12.0,79.0,18.0,25.0,45.0,62.0,76.0,73.0,10.0,21.0,59.0,224.0,301.0,583.414999999979,1,1,,,,
15,13,2,1,16,1,2,3,1,16,3,68.0,10.0,46.0,28.0,29.0,18.0,22.0,31.0,16.0,25.0,22.0,44.0,199.0,160.0,366.71800000001093,1,0,,,,
16,13,2,1,17,2,2,3,1,17,2,14.0,33.0,37.0,28.0,52.0,34.0,68.0,25.0,13.0,41.0,20.0,38.0,198.0,205.0,1100.1540000000177,1,1,,,,
17,13,2,1,18,2,2,3,1,18,2,84.0,34.0,35.0,49.0,14.0,10.0,10.0,14.0,35.0,80.0,73.0,48.0,226.0,260.0,250.03499999997726,1,1,,,,
18,13,2,1,19,2,2,3,1,19,4,16.0,40.0,30.0,26.0,42.0,67.0,36.0,18.0,39.0,25.0,26.0,33.0,221.0,177.0,383.38700000001694,1,0,,,,
19,13,2,1,20,2,2,3,1,20,4,10.0,14.0,35.0,80.0,73.0,48.0,84.0,34.0,35.0,49.0,14.0,10.0,260.0,226.0,550.077000000019,1,0,,,,
20,13,2,1,21,2,2,3,1,21,4,12.0,86.0,20.0,27.0,34.0,33.0,67.0,12.0,14.0,55.0,14.0,87.0,212.0,249.0,567.0165999999792,1,1,,,,
21,13,2,1,22,1,2,3,1,22,1,69.0,43.0,15.0,62.0,10.0,75.0,61.0,19.0,11.0,18.0,65.0,50.0,274.0,224.0,516.7389999999664,1,0,,,,
22,13,2,1,23,2,2,3,1,23,4,46.0,19.0,18.0,24.0,56.0,47.0,52.0,40.0,40.0,34.0,21.0,47.0,210.0,234.0,400.05600000001715,1,1,,,,
23,13,2,1,24,1,2,3,1,24,1,18.0,36.0,59.0,34.0,14.0,73.0,28.0,16.0,10.0,20.0,51.0,42.0,234.0,167.0,416.7250000000174,1,0,,,,
24,13,2,1,25,2,2,3,1,25,4,68.0,25.0,13.0,41.0,20.0,38.0,14.0,33.0,37.0,28.0,52.0,34.0,205.0,198.0,366.71799999995284,1,0,,,,
25,13,2,1,26,2,2,3,1,26,2,67.0,12.0,14.0,55.0,14.0,87.0,12.0,86.0,20.0,27.0,34.0,33.0,249.0,212.0,466.7320000000122,1,0,,,,
26,13,2,1,27,1,2,3,1,27,3,73.0,18.0,32.0,13.0,64.0,31.0,49.0,52.0,23.0,57.0,51.0,12.0,231.0,244.0,483.40100000001814,1,1,,,,
27,13,2,1,28,1,2,3,1,28,1,49.0,52.0,23.0,57.0,51.0,12.0,73.0,18.0,32.0,13.0,64.0,31.0,244.0,231.0,433.39400000001166,1,0,,,,
28,13,2,1,29,2,2,3,1,29,2,52.0,40.0,40.0,34.0,21.0,47.0,46.0,19.0,18.0,24.0,56.0,47.0,234.0,210.0,683.4290000000208,1,0,,,,
29,13,2,1,30,1,2,3,1,30,3,62.0,76.0,73.0,10.0,21.0,59.0,45.0,12.0,79.0,18.0,25.0,45.0,301.0,224.0,550.077000000019,1,0,,,,
30,13,2,2,1,2,6,1,2,31,2,21.0,31.0,50.0,35.0,33.0,36.0,41.0,49.0,46.0,28.0,53.0,10.0,206.0,227.0,6617.593000000002,1,1,,,,
31,13,2,2,2,2,6,1,2,32,2,29.0,75.0,33.0,33.0,49.0,71.0,44.0,12.0,26.0,36.0,43.0,15.0,290.0,176.0,300.0420000000101,1,0,,,,
32,13,2,2,3,1,6,1,2,33,3,42.0,59.0,75.0,44.0,26.0,52.0,47.0,45.0,44.0,37.0,19.0,63.0,298.0,255.0,1133.491999999911,1,0,,,,
33,13,2,2,4,1,6,1,2,34,1,21.0,40.0,20.0,55.0,44.0,23.0,22.0,35.0,46.0,52.0,13.0,40.0,203.0,208.0,1350.188999999914,1,1,,,,
34,13,2,2,5,2,6,1,2,35,4,23.0,67.0,25.0,61.0,10.0,42.0,50.0,24.0,54.0,45.0,63.0,80.0,228.0,316.0,883.7462999999751,1,1,,,,
35,13,2,2,6,1,6,1,2,36,3,62.0,26.0,27.0,71.0,51.0,55.0,15.0,14.0,87.0,46.0,28.0,35.0,292.0,225.0,366.71800000001093,1,0,,,,
36,13,2,2,7,2,6,1,2,37,4,13.0,19.0,27.0,10.0,41.0,21.0,40.0,27.0,16.0,64.0,21.0,21.0,131.0,189.0,433.39400000001166,1,1,,,,
37,13,2,2,8,1,6,1,2,38,1,23.0,79.0,78.0,19.0,17.0,47.0,32.0,18.0,39.0,36.0,10.0,26.0,263.0,161.0,500.0700000000184,1,0,,,,
38,13,2,2,9,1,6,1,2,39,3,22.0,35.0,46.0,52.0,13.0,40.0,21.0,40.0,20.0,55.0,44.0,23.0,208.0,203.0,450.0630000000177,1,0,,,,
39,13,2,2,10,2,6,1,2,40,2,35.0,10.0,38.0,68.0,30.0,43.0,68.0,22.0,60.0,28.0,42.0,13.0,224.0,233.0,466.7320000000122,1,1,,,,
40,13,2,2,11,1,6,1,2,41,1,15.0,14.0,87.0,46.0,28.0,35.0,62.0,26.0,27.0,71.0,51.0,55.0,225.0,292.0,466.732000000018,1,1,,,,
41,13,2,2,12,1,6,1,2,42,1,33.0,17.0,23.0,69.0,71.0,43.0,16.0,40.0,15.0,25.0,27.0,36.0,256.0,159.0,1700.2380000000614,1,0,,,,
42,13,2,2,13,2,6,1,2,43,4,44.0,12.0,26.0,36.0,43.0,15.0,29.0,75.0,33.0,33.0,49.0,71.0,176.0,290.0,566.7459999999552,1,1,,,,
43,13,2,2,14,2,6,1,2,44,2,50.0,24.0,54.0,45.0,63.0,80.0,23.0,67.0,25.0,61.0,10.0,42.0,316.0,228.0,450.0629999999537,1,0,,,,
44,13,2,2,15,2,6,1,2,45,4,68.0,22.0,60.0,28.0,42.0,13.0,35.0,10.0,38.0,68.0,30.0,43.0,233.0,224.0,566.7460000000134,1,0,,,,
45,13,2,2,16,1,6,1,2,46,1,84.0,36.0,39.0,78.0,11.0,77.0,72.0,19.0,60.0,14.0,81.0,23.0,325.0,269.0,533.4080000000189,1,0,,,,
46,13,2,2,17,1,6,1,2,47,1,47.0,45.0,44.0,37.0,19.0,63.0,42.0,59.0,75.0,44.0,26.0,52.0,255.0,298.0,366.7179999999876,1,1,,,,
47,13,2,2,18,2,6,1,2,48,4,14.0,57.0,24.0,22.0,82.0,28.0,17.0,24.0,35.0,52.0,80.0,24.0,227.0,232.0,400.0560000000171,1,1,,,,
48,13,2,2,19,1,6,1,2,49,3,20.0,36.0,33.0,60.0,32.0,15.0,23.0,30.0,41.0,46.0,25.0,63.0,196.0,228.0,400.05599999999407,1,1,,,,
49,13,2,2,20,2,6,1,2,50,2,41.0,25.0,32.0,30.0,39.0,40.0,25.0,13.0,34.0,48.0,19.0,17.0,207.0,156.0,466.7319999999717,1,0,,,,
50,13,2,2,21,1,6,1,2,51,3,72.0,19.0,60.0,14.0,81.0,23.0,84.0,36.0,39.0,78.0,11.0,77.0,269.0,325.0,466.7320000000299,1,1,,,,
51,13,2,2,22,2,6,1,2,52,4,25.0,13.0,34.0,48.0,19.0,17.0,41.0,25.0,32.0,30.0,39.0,40.0,156.0,207.0,1716.906999999947,1,1,,,,
52,13,2,2,23,1,6,1,2,53,1,23.0,30.0,41.0,46.0,25.0,63.0,20.0,36.0,33.0,60.0,32.0,15.0,228.0,196.0,750.1050000000045,1,0,,,,
