block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
alt-bars,down,b_on_left,67,18,17,55,18,47,20,23,37,48,25,10,184,201,1487.2789999999727,left,false,false,,,,
alt-bars,down,b_on_right,42,14,42,29,46,19,17,11,62,53,14,10,136,223,401.06399999997507,right,true,true,,,,
alt-bars,down,b_on_right,61,56,12,85,51,49,12,14,52,21,31,69,294,219,635.0179999999615,left,true,true,,,,
alt-bars,down,a_on_left,11,48,26,10,12,28,60,72,10,28,14,56,133,242,200.5320000000182,right,true,true,,,,
alt-bars,down,a_on_right,61,19,53,57,36,57,60,25,52,61,60,14,233,322,969.2379999999605,right,true,true,,,,
alt-bars,down,b_on_right,18,59,56,38,17,38,46,41,48,15,29,28,219,214,401.06399999997797,right,false,false,,,,
alt-bars,down,a_on_left,67,18,17,55,18,47,20,23,37,48,25,10,184,201,701.8619999999561,left,false,false,,,,
alt-bars,down,b_on_right,18,44,33,41,52,35,10,48,25,10,60,34,212,198,350.93099999997924,right,false,false,,,,
alt-bars,down,b_on_right,50,66,37,12,13,38,69,18,28,13,15,57,204,212,367.6420000000245,left,false,false,,,,
alt-bars,down,a_on_right,60,46,39,25,26,83,10,56,73,15,31,21,246,239,417.97409999998047,left,true,true,,,,
alt-bars,down,b_on_left,16,68,26,37,26,49,21,73,11,16,23,36,123,279,384.3530000000609,right,true,true,,,,
alt-bars,down,b_on_left,56,26,10,36,18,70,15,25,76,49,34,58,209,264,317.5089999999908,right,true,true,,,,
alt-bars,down,a_on_left,11,35,48,29,33,28,57,55,42,22,53,67,244,236,501.329999999987,right,false,false,,,,
alt-bars,down,b_on_right,18,38,40,10,54,42,14,19,56,44,12,19,172,194,367.6419999999749,right,true,true,,,,
alt-bars,down,b_on_right,24,38,21,43,23,81,54,26,51,40,19,44,272,192,317.50899999997915,left,true,true,,,,
alt-bars,down,a_on_right,84,60,32,66,22,24,29,19,21,39,43,58,266,231,534.7520000000952,left,true,true,,,,
alt-bars,down,a_on_right,72,37,50,31,24,40,39,50,50,32,22,47,237,257,350.9309999999822,right,true,true,,,,
alt-bars,down,a_on_right,18,59,56,38,17,38,46,41,48,15,29,28,219,214,334.22000000000116,right,false,false,,,,
alt-bars,down,a_on_left,12,32,36,28,32,69,40,15,18,31,49,70,187,245,233.9539999999862,right,true,true,,,,
alt-bars,down,b_on_left,21,46,29,33,53,28,24,27,30,13,30,28,187,175,300.79799999998056,left,true,true,,,,
alt-bars,down,b_on_left,38,77,51,37,40,18,27,14,19,34,72,13,247,193,384.3529999999735,left,true,true,,,,
alt-bars,down,a_on_right,61,56,12,85,51,49,12,14,52,21,31,69,294,219,350.9309999999764,left,true,true,,,,
alt-bars,down,b_on_right,42,35,29,36,34,52,34,10,67,33,21,54,220,227,350.9309999999822,left,false,false,,,,
alt-bars,down,b_on_left,12,32,36,28,32,69,40,15,18,31,49,70,187,245,434.4859999999693,right,true,true,,,,
alt-bars,down,b_on_left,53,37,19,30,25,27,13,12,11,38,25,22,146,166,401.06399999997797,right,true,true,,,,
alt-bars,down,a_on_right,15,65,53,21,35,40,61,36,32,51,42,32,245,238,284.08699999998197,left,true,true,,,,
alt-bars,down,b_on_left,16,24,41,37,55,67,84,61,33,19,24,25,253,233,401.06399999997797,right,false,false,,,,
alt-bars,down,a_on_right,53,44,36,20,48,23,47,52,19,76,25,27,242,228,233.9539999999862,left,true,true,,,,
alt-bars,down,a_on_left,56,26,10,36,18,70,15,25,76,49,34,58,209,264,233.95400000001533,right,true,true,,,,
alt-bars,down,a_on_right,12,40,40,28,78,36,27,36,39,37,13,46,223,209,401.0639999999721,right,false,false,,,,
alt-bars,down,a_on_right,24,38,21,43,23,81,54,26,51,40,19,44,272,192,334.2200000000827,left,true,true,,,,
alt-bars,down,a_on_right,32,57,22,18,15,15,57,31,65,30,30,40,191,221,635.0179999999586,right,true,true,,,,
alt-bars,down,a_on_right,45,46,64,59,62,36,24,43,39,36,25,52,272,259,284.0869999999937,left,true,true,,,,
alt-bars,down,b_on_right,23,52,29,41,72,54,46,14,20,19,53,27,207,243,384.35300000009016,right,true,true,,,,
alt-bars,down,a_on_left,14,27,32,20,64,15,11,16,14,23,40,10,175,111,284.086999999982,left,true,true,,,,
alt-bars,down,a_on_left,38,77,51,37,40,18,27,14,19,34,72,13,247,193,217.24299999998178,left,true,true,,,,
alt-bars,down,a_on_right,42,14,42,29,46,19,17,11,62,53,14,10,136,223,768.7059999999943,left,false,false,,,,
alt-bars,down,a_on_right,21,41,18,23,56,40,16,18,13,48,35,42,212,159,233.9539999999862,left,true,true,,,,
alt-bars,down,a_on_left,42,22,81,10,45,32,42,35,16,41,41,28,267,168,317.5089999999792,left,true,true,,,,
