block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
alt-bars,down,b_on_right,63,10,53,29,15,32,28,66,40,37,55,15,202,241,533.4080000000029,right,true,true,,,,
alt-bars,down,b_on_right,32,48,42,49,31,68,35,51,36,48,66,13,270,249,383.38699999999073,left,true,true,,,,
alt-bars,down,b_on_left,20,16,30,43,55,41,66,52,40,44,70,47,319,205,316.71100000000735,left,true,true,,,,
alt-bars,down,b_on_left,17,45,25,14,41,35,63,37,34,11,31,33,209,177,233.36599999998876,left,true,true,,,,
alt-bars,down,a_on_left,17,45,25,14,41,35,63,37,34,11,31,33,177,209,266.70400000000956,right,true,true,,,,
alt-bars,down,b_on_right,19,15,30,17,79,11,59,11,18,20,47,36,171,191,283.3729999999938,left,false,false,,,,
alt-bars,down,b_on_left,39,25,13,58,19,50,49,35,39,13,73,12,221,204,300.04200000001003,left,true,true,,,,
alt-bars,down,a_on_left,39,25,13,58,19,50,49,35,39,13,73,12,204,221,400.05599999999964,right,true,true,,,,
alt-bars,down,a_on_right,63,10,53,29,15,32,28,66,40,37,55,15,241,202,333.38000000001335,left,true,true,,,,
alt-bars,down,a_on_left,34,36,56,21,24,41,36,28,19,41,83,30,212,237,316.7110000000102,right,true,true,,,,
alt-bars,down,a_on_right,26,26,68,17,50,28,12,22,64,26,53,68,245,215,333.38000000001045,left,true,true,,,,
alt-bars,down,b_on_left,63,45,52,44,46,13,45,39,34,26,11,29,184,263,483.4009999999831,right,true,true,,,,
alt-bars,down,a_on_left,56,46,30,35,10,25,32,63,51,22,34,29,202,231,383.3869999999761,right,true,true,,,,
alt-bars,down,a_on_right,51,18,49,42,21,19,16,52,21,29,29,29,176,200,283.37300000000977,right,true,true,,,,
alt-bars,down,b_on_right,51,18,49,42,21,19,16,52,21,29,29,29,200,176,283.3730000000098,left,true,true,,,,
