block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
alt-numbers,down,a_on_left,22,31,16,25,22,44,68,10,46,28,29,18,160,199,633.4219999999881,right,true,true,,,,
alt-numbers,down,a_on_left,30,54,16,19,36,24,16,20,22,10,13,21,179,102,433.394000000003,right,false,false,,,,
alt-numbers,down,b_on_left,47,19,45,52,58,14,12,32,24,45,54,44,211,235,233.3660000000062,right,true,true,,,,
alt-numbers,down,b_on_left,32,15,26,33,61,50,67,18,25,10,56,50,226,217,433.39399999996806,right,false,false,,,,
alt-numbers,down,b_on_left,30,54,16,19,36,24,16,20,22,10,13,21,102,179,766.7740000000248,right,true,true,,,,
alt-numbers,down,a_on_right,31,17,47,16,16,68,12,60,55,71,68,46,312,195,766.7740000000248,right,false,false,,,,
alt-numbers,down,b_on_right,31,17,47,16,16,68,12,60,55,71,68,46,195,312,600.3161000000224,right,true,true,,,,
alt-numbers,down,b_on_left,18,36,59,34,14,73,28,16,10,20,51,42,167,234,600.0840000000227,right,true,true,,,,
alt-numbers,down,a_on_left,32,15,26,33,61,50,67,18,25,10,56,50,217,226,416.72499999998826,right,true,true,,,,
alt-numbers,down,a_on_left,47,19,45,52,58,14,12,32,24,45,54,44,235,211,750.1049999999925,right,false,false,,,,
alt-numbers,down,a_on_right,16,40,30,26,42,67,36,18,39,25,26,33,177,221,266.70400000000956,right,true,true,,,,
alt-numbers,down,a_on_right,44,15,74,23,38,64,22,56,26,53,74,20,251,258,633.4220000000086,right,true,true,,,,
alt-numbers,down,b_on_right,44,15,74,23,38,64,22,56,26,53,74,20,258,251,716.7670000000213,right,false,false,,,,
alt-numbers,down,b_on_left,69,43,15,62,10,75,61,19,11,18,65,50,224,274,383.387000000011,right,true,true,,,,
alt-numbers,down,a_on_left,45,12,79,18,25,45,62,76,73,10,21,59,224,301,583.414999999979,right,true,true,,,,
alt-numbers,down,b_on_left,22,31,16,25,22,44,68,10,46,28,29,18,199,160,366.7180000000109,right,false,false,,,,
alt-numbers,down,a_on_right,68,25,13,41,20,38,14,33,37,28,52,34,198,205,1100.1540000000177,right,true,true,,,,
alt-numbers,down,a_on_right,10,14,35,80,73,48,84,34,35,49,14,10,226,260,250.03499999997732,right,true,true,,,,
alt-numbers,down,b_on_right,16,40,30,26,42,67,36,18,39,25,26,33,221,177,383.38700000001694,right,false,false,,,,
alt-numbers,down,b_on_right,10,14,35,80,73,48,84,34,35,49,14,10,260,226,550.077000000019,right,false,false,,,,
alt-numbers,down,b_on_right,12,86,20,27,34,33,67,12,14,55,14,87,212,249,567.0165999999793,right,true,true,,,,
alt-numbers,down,a_on_left,69,43,15,62,10,75,61,19,11,18,65,50,274,224,516.7389999999664,right,false,false,,,,
alt-numbers,down,b_on_right,46,19,18,24,56,47,52,40,40,34,21,47,210,234,400.05600000001715,right,true,true,,,,
alt-numbers,down,a_on_left,18,36,59,34,14,73,28,16,10,20,51,42,234,167,416.72500000001736,right,false,false,,,,
alt-numbers,down,b_on_right,68,25,13,41,20,38,14,33,37,28,52,34,205,198,366.7179999999528,right,false,false,,,,
alt-numbers,down,a_on_right,12,86,20,27,34,33,67,12,14,55,14,87,249,212,466.73200000001214,right,false,false,,,,
alt-numbers,down,b_on_left,49,52,23,57,51,12,73,18,32,13,64,31,231,244,483.4010000000182,right,true,true,,,,
alt-numbers,down,a_on_left,49,52,23,57,51,12,73,18,32,13,64,31,244,231,433.3940000000117,right,false,false,,,,
alt-numbers,down,a_on_right,46,19,18,24,56,47,52,40,40,34,21,47,234,210,683.4290000000208,right,false,false,,,,
alt-numbers,down,b_on_left,45,12,79,18,25,45,62,76,73,10,21,59,301,224,550.077000000019,right,false,false,,,,
seq-bars,down,a_on_right,41,49,46,28,53,10,21,31,50,35,33,36,206,227,6617.593000000001,right,true,true,,,,
seq-bars,down,a_on_right,44,12,26,36,43,15,29,75,33,33,49,71,290,176,300.04200000001003,right,false,false,,,,
seq-bars,down,b_on_left,47,45,44,37,19,63,42,59,75,44,26,52,298,255,1133.491999999911,right,false,false,,,,
seq-bars,down,a_on_left,21,40,20,55,44,23,22,35,46,52,13,40,203,208,1350.1889999999141,right,true,true,,,,
seq-bars,down,b_on_right,23,67,25,61,10,42,50,24,54,45,63,80,228,316,883.7462999999751,right,true,true,,,,
seq-bars,down,b_on_left,15,14,87,46,28,35,62,26,27,71,51,55,292,225,366.7180000000109,right,false,false,,,,
seq-bars,down,b_on_right,13,19,27,10,41,21,40,27,16,64,21,21,131,189,433.3940000000117,right,true,true,,,,
seq-bars,down,a_on_left,23,79,78,19,17,47,32,18,39,36,10,26,263,161,500.0700000000184,right,false,false,,,,
seq-bars,down,b_on_left,21,40,20,55,44,23,22,35,46,52,13,40,208,203,450.0630000000177,right,false,false,,,,
seq-bars,down,a_on_right,68,22,60,28,42,13,35,10,38,68,30,43,224,233,466.73200000001214,right,true,true,,,,
seq-bars,down,a_on_left,15,14,87,46,28,35,62,26,27,71,51,55,225,292,466.732000000018,right,true,true,,,,
seq-bars,down,a_on_left,33,17,23,69,71,43,16,40,15,25,27,36,256,159,1700.2380000000612,right,false,false,,,,
seq-bars,down,b_on_right,44,12,26,36,43,15,29,75,33,33,49,71,176,290,566.7459999999552,right,true,true,,,,
seq-bars,down,a_on_right,23,67,25,61,10,42,50,24,54,45,63,80,316,228,450.06299999995366,right,false,false,,,,
seq-bars,down,b_on_right,68,22,60,28,42,13,35,10,38,68,30,43,233,224,566.7460000000134,right,false,false,,,,
seq-bars,down,a_on_left,84,36,39,78,11,77,72,19,60,14,81,23,325,269,533.4080000000188,right,false,false,,,,
seq-bars,down,a_on_left,47,45,44,37,19,63,42,59,75,44,26,52,255,298,366.7179999999876,right,true,true,,,,
seq-bars,down,b_on_right,14,57,24,22,82,28,17,24,35,52,80,24,227,232,400.0560000000171,right,true,true,,,,
seq-bars,down,b_on_left,23,30,41,46,25,63,20,36,33,60,32,15,196,228,400.05599999999407,right,true,true,,,,
seq-bars,down,a_on_right,25,13,34,48,19,17,41,25,32,30,39,40,207,156,466.7319999999717,right,false,false,,,,
seq-bars,down,b_on_left,84,36,39,78,11,77,72,19,60,14,81,23,269,325,466.7320000000299,right,true,true,,,,
seq-bars,down,b_on_right,25,13,34,48,19,17,41,25,32,30,39,40,156,207,1716.906999999947,right,true,true,,,,
seq-bars,down,a_on_left,23,30,41,46,25,63,20,36,33,60,32,15,228,196,750.1050000000045,right,false,false,,,,
seq-bars,down,b_on_left,29,41,28,10,21,24,27,26,55,41,49,77,275,153,633.4219999999157,right,false,false,,,,
seq-bars,down,b_on_left,33,17,23,69,71,43,16,40,15,25,27,36,159,256,450.06300000004717,right,true,true,,,,
seq-bars,down,b_on_right,41,49,46,28,53,10,21,31,50,35,33,36,227,206,833.4500000000229,right,false,false,,,,
seq-bars,down,a_on_right,13,19,27,10,41,21,40,27,16,64,21,21,189,131,733.4359999999054,right,false,false,,,,
seq-bars,down,b_on_left,23,79,78,19,17,47,32,18,39,36,10,26,161,263,717.0210999999197,right,true,true,,,,
seq-bars,down,a_on_right,14,57,24,22,82,28,17,24,35,52,80,24,232,227,316.71099999999865,right,false,false,,,,
seq-bars,down,a_on_left,29,41,28,10,21,24,27,26,55,41,49,77,153,275,416.7250000000234,right,true,true,,,,
sim-numbers,down,0,32,56,17,33,29,74,17,18,34,56,46,71,241,242,2767.0540000000983,right,true,true,,,,
sim-numbers,down,0,32,79,66,42,51,67,20,36,25,17,32,58,337,188,666.7600000000209,right,false,false,,,,
sim-numbers,down,0,17,18,34,56,46,71,32,56,17,33,29,74,242,241,1050.1470000000315,right,false,false,,,,
sim-numbers,down,0,41,36,45,22,44,36,51,39,30,23,29,79,224,251,1466.8719999998916,right,true,true,,,,
sim-numbers,down,0,41,41,28,21,10,11,17,40,13,13,25,38,152,146,1383.5270000000473,right,false,false,,,,
sim-numbers,down,0,10,30,32,13,25,49,31,17,23,76,58,42,159,247,1133.6256999999969,right,true,true,,,,
sim-numbers,down,0,63,21,19,32,23,10,68,49,31,28,38,40,168,254,2817.060999999978,right,true,true,,,,
sim-numbers,down,0,68,49,31,28,38,40,63,21,19,32,23,10,254,168,1233.5060000000165,right,false,false,,,,
sim-numbers,down,0,14,60,73,28,41,20,21,51,56,42,17,13,236,200,2267.284300000057,right,false,false,,,,
sim-numbers,down,0,36,34,39,19,42,27,16,13,74,16,66,38,197,223,3783.8629999999976,right,true,true,,,,
sim-numbers,down,0,57,57,22,29,20,43,18,14,36,65,23,56,228,212,1166.8300000000736,right,false,false,,,,
sim-numbers,down,0,41,59,80,40,16,54,23,24,81,56,67,25,290,276,733.4359999999406,right,false,false,,,,
sim-numbers,down,0,19,14,34,56,33,26,58,19,36,22,18,36,182,189,783.4429999999933,right,true,true,,,,
sim-numbers,down,0,51,28,23,39,48,34,25,89,18,17,82,64,223,295,583.4150000000022,right,true,true,,,,
sim-numbers,down,0,18,14,36,65,23,56,57,57,22,29,20,43,212,228,866.7880000000582,right,true,true,,,,
sim-numbers,down,0,23,24,81,56,67,25,41,59,80,40,16,54,276,290,1466.8719999998916,right,true,true,,,,
sim-numbers,down,0,23,67,11,16,22,58,46,19,27,48,47,11,197,198,516.7632000000101,right,true,true,,,,
sim-numbers,down,0,27,40,39,16,38,44,13,51,76,20,45,19,204,224,616.753000000026,right,true,true,,,,
sim-numbers,down,0,17,40,13,13,25,38,41,41,28,21,10,11,146,152,600.0840000000434,right,true,true,,,,
sim-numbers,down,0,58,19,36,22,18,36,19,14,34,56,33,26,189,182,866.788,right,false,false,,,,
sim-numbers,down,0,25,89,18,17,82,64,51,28,23,39,48,34,295,223,2066.956000000062,right,false,false,,,,
sim-numbers,down,0,51,39,30,23,29,79,41,36,45,22,44,36,251,224,700.0979999999515,right,false,false,,,,
sim-numbers,down,0,31,17,23,76,58,42,10,30,32,13,25,49,247,159,383.3869999999297,right,false,false,,,,
sim-numbers,down,0,46,19,27,48,47,11,23,67,11,16,22,58,198,197,1000.4469000000386,right,false,false,,,,
sim-numbers,down,0,42,14,36,30,18,50,17,55,57,20,47,61,190,257,1000.139999999897,right,true,true,,,,
sim-numbers,down,0,13,51,76,20,45,19,27,40,39,16,38,44,224,204,600.0839999998803,right,false,false,,,,
sim-numbers,down,0,20,36,25,17,32,58,32,79,66,42,51,67,188,337,1116.8230000000092,right,true,true,,,,
sim-numbers,down,0,17,55,57,20,47,61,42,14,36,30,18,50,257,190,650.0910000000381,right,false,false,,,,
sim-numbers,down,0,16,13,74,16,66,38,36,34,39,19,42,27,223,197,883.4569999999828,right,false,false,,,,
sim-numbers,down,0,21,51,56,42,17,13,14,60,73,28,41,20,200,236,500.0700000000304,right,true,true,,,,
seq-numbers,down,a_on_right,41,49,46,28,53,10,21,31,50,35,33,36,206,227,650.091000000038,right,true,true,,,,
seq-numbers,down,a_on_right,44,12,26,36,43,15,29,75,33,33,49,71,290,176,450.0629999999773,right,false,false,,,,
seq-numbers,down,b_on_left,47,45,44,37,19,63,42,59,75,44,26,52,298,255,366.7179999999702,right,false,false,,,,
seq-numbers,down,a_on_left,21,40,20,55,44,23,22,35,46,52,13,40,203,208,450.0629999999773,right,true,true,,,,
seq-numbers,down,b_on_right,23,67,25,61,10,42,50,24,54,45,63,80,228,316,333.3800000000164,right,true,true,,,,
seq-numbers,down,b_on_left,15,14,87,46,28,35,62,26,27,71,51,55,292,225,200.0279999999795,right,false,false,,,,
seq-numbers,down,b_on_right,13,19,27,10,41,21,40,27,16,64,21,21,131,189,233.36599999996838,right,true,true,,,,
seq-numbers,down,a_on_left,23,79,78,19,17,47,32,18,39,36,10,26,263,161,383.3870000000229,right,false,false,,,,
seq-numbers,down,b_on_left,21,40,20,55,44,23,22,35,46,52,13,40,208,203,266.7039999999921,right,false,false,,,,
seq-numbers,down,a_on_right,68,22,60,28,42,13,35,10,38,68,30,43,224,233,466.7320000000532,right,true,true,,,,
seq-numbers,down,a_on_left,15,14,87,46,28,35,62,26,27,71,51,55,225,292,500.0700000000071,right,true,true,,,,
seq-numbers,down,a_on_left,33,17,23,69,71,43,16,40,15,25,27,36,256,159,583.4149999999906,right,false,false,,,,
seq-numbers,down,b_on_right,44,12,26,36,43,15,29,75,33,33,49,71,176,290,466.7526000000421,right,true,true,,,,
seq-numbers,down,a_on_right,23,67,25,61,10,42,50,24,54,45,63,80,316,228,1366.8580000000413,right,false,false,,,,
seq-numbers,down,b_on_right,68,22,60,28,42,13,35,10,38,68,30,43,233,224,283.37300000003313,right,false,false,,,,
seq-numbers,down,a_on_left,84,36,39,78,11,77,72,19,60,14,81,23,325,269,416.7249999998952,right,false,false,,,,
seq-numbers,down,a_on_left,47,45,44,37,19,63,42,59,75,44,26,52,255,298,433.3939999999363,right,true,true,,,,
seq-numbers,down,b_on_right,14,57,24,22,82,28,17,24,35,52,80,24,227,232,500.07000000006536,right,true,true,,,,
seq-numbers,down,b_on_left,23,30,41,46,25,63,20,36,33,60,32,15,196,228,5034.278900000037,right,true,true,,,,
seq-numbers,down,a_on_right,25,13,34,48,19,17,41,25,32,30,39,40,207,156,633.4220000000087,right,false,false,,,,
seq-numbers,down,b_on_left,84,36,39,78,11,77,72,19,60,14,81,23,269,325,1133.492000000015,right,true,true,,,,
seq-numbers,down,b_on_right,25,13,34,48,19,17,41,25,32,30,39,40,156,207,466.98279999997476,right,true,true,,,,
seq-numbers,down,a_on_left,23,30,41,46,25,63,20,36,33,60,32,15,228,196,233.3659999999917,right,false,false,,,,
seq-numbers,down,b_on_left,29,41,28,10,21,24,27,26,55,41,49,77,275,153,1366.8580000000527,right,false,false,,,,
seq-numbers,down,b_on_left,33,17,23,69,71,43,16,40,15,25,27,36,159,256,1483.5410000001311,right,true,true,,,,
seq-numbers,down,b_on_right,41,49,46,28,53,10,21,31,50,35,33,36,227,206,1950.2729999996957,right,false,false,,,,
seq-numbers,down,a_on_right,13,19,27,10,41,21,40,27,16,64,21,21,189,131,683.4290000000038,right,false,false,,,,
seq-numbers,down,b_on_left,23,79,78,19,17,47,32,18,39,36,10,26,161,263,5551.015699999873,right,true,true,,,,
seq-numbers,down,a_on_right,14,57,24,22,82,28,17,24,35,52,80,24,232,227,400.0560000000989,right,false,false,,,,
seq-numbers,down,a_on_left,29,41,28,10,21,24,27,26,55,41,49,77,153,275,350.04899999988265,right,true,true,,,,
alt-bars,down,a_on_left,22,31,16,25,22,44,68,10,46,28,29,18,160,199,1100.1540000001437,right,true,true,,,,
alt-bars,down,a_on_left,30,54,16,19,36,24,16,20,22,10,13,21,179,102,450.06300000010515,right,false,false,,,,
alt-bars,down,b_on_left,47,19,45,52,58,14,12,32,24,45,54,44,211,235,466.73200000009984,right,true,true,,,,
alt-bars,down,b_on_left,32,15,26,33,61,50,67,18,25,10,56,50,226,217,600.0840000000549,right,false,false,,,,
alt-bars,down,b_on_left,30,54,16,19,36,24,16,20,22,10,13,21,102,179,483.40099999983795,right,true,true,,,,
alt-bars,down,a_on_right,31,17,47,16,16,68,12,60,55,71,68,46,312,195,716.7669999998295,right,false,false,,,,
alt-bars,down,b_on_right,31,17,47,16,16,68,12,60,55,71,68,46,195,312,516.7390000000831,right,true,true,,,,
alt-bars,down,b_on_left,18,36,59,34,14,73,28,16,10,20,51,42,167,234,566.7460000000664,right,true,true,,,,
alt-bars,down,a_on_left,32,15,26,33,61,50,67,18,25,10,56,50,217,226,466.73199999984354,right,true,true,,,,
alt-bars,down,a_on_left,47,19,45,52,58,14,12,32,24,45,54,44,235,211,533.636800000165,right,false,false,,,,
alt-bars,down,a_on_right,16,40,30,26,42,67,36,18,39,25,26,33,177,221,466.7320000000999,right,true,true,,,,
alt-bars,down,a_on_right,44,15,74,23,38,64,22,56,26,53,74,20,251,258,716.7670000000159,right,true,true,,,,
alt-bars,down,b_on_right,44,15,74,23,38,64,22,56,26,53,74,20,258,251,750.1050000000747,right,false,false,,,,
alt-bars,down,b_on_left,69,43,15,62,10,75,61,19,11,18,65,50,224,274,1083.4850000000793,right,true,true,,,,
alt-bars,down,a_on_left,45,12,79,18,25,45,62,76,73,10,21,59,224,301,300.0419999998994,right,true,true,,,,
alt-bars,down,b_on_left,22,31,16,25,22,44,68,10,46,28,29,18,199,160,500.06999999999533,right,false,false,,,,
alt-bars,down,a_on_right,68,25,13,41,20,38,14,33,37,28,52,34,198,205,833.6963999999225,right,true,true,,,,
alt-bars,down,a_on_right,10,14,35,80,73,48,84,34,35,49,14,10,226,260,483.40099999993106,right,true,true,,,,
alt-bars,down,b_on_right,16,40,30,26,42,67,36,18,39,25,26,33,221,177,300.0419999999926,right,false,false,,,,
alt-bars,down,b_on_right,10,14,35,80,73,48,84,34,35,49,14,10,260,226,400.0560000000987,right,false,false,,,,
alt-bars,down,b_on_right,12,86,20,27,34,33,67,12,14,55,14,87,212,249,633.4219999998343,right,true,true,,,,
alt-bars,down,a_on_left,69,43,15,62,10,75,61,19,11,18,65,50,274,224,616.752999999933,right,false,false,,,,
alt-bars,down,b_on_right,46,19,18,24,56,47,52,40,40,34,21,47,210,234,716.7669999999229,right,true,true,,,,
alt-bars,down,a_on_left,18,36,59,34,14,73,28,16,10,20,51,42,234,167,400.1053999999772,right,false,false,,,,
alt-bars,down,b_on_right,68,25,13,41,20,38,14,33,37,28,52,34,205,198,766.7739999999992,right,false,false,,,,
