block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
seq-bars,down,b_on_left,30,21,48,82,46,16,79,20,17,36,10,33,195,243,1450.2250999999878,right,true,true,,,,
seq-bars,down,a_on_right,52,58,32,49,15,16,46,17,55,55,19,30,222,222,450.0630000000119,right,true,true,,,,
seq-bars,down,a_on_right,82,24,27,13,21,12,44,21,22,10,18,68,183,179,433.64700000000875,left,true,true,,,,
seq-bars,down,b_on_left,29,32,22,69,29,51,34,17,45,64,17,28,205,232,350.04899999989425,right,true,true,,,,
seq-bars,down,a_on_right,57,23,12,21,37,44,12,24,34,10,37,28,145,194,333.3800000000104,left,false,false,,,,
seq-bars,down,b_on_right,48,22,21,30,49,12,63,25,19,65,39,40,182,251,316.71100000001024,right,true,true,,,,
seq-bars,down,a_on_right,42,50,17,14,14,25,51,52,18,24,43,89,277,162,300.04200000001583,left,true,true,,,,
seq-bars,down,a_on_left,14,48,52,34,36,35,27,37,54,72,24,10,219,224,316.7110000000102,right,true,true,,,,
seq-bars,down,b_on_left,13,78,82,47,27,22,24,76,28,28,72,37,265,269,266.7040000000096,right,true,true,,,,
seq-bars,down,b_on_right,48,81,12,23,37,77,26,67,59,73,78,41,278,344,233.36600000001496,left,false,false,,,,
seq-bars,down,b_on_right,63,23,77,66,79,13,19,13,11,32,47,18,321,140,350.04900000001066,left,true,true,,,,
seq-bars,down,a_on_right,13,16,11,14,72,10,18,15,15,49,22,10,129,136,350.04899999998156,right,true,true,,,,
seq-bars,down,a_on_right,48,81,12,23,37,77,26,67,59,73,78,41,344,278,283.3730000000098,left,true,true,,,,
seq-bars,down,b_on_left,53,36,12,51,22,77,30,15,29,57,34,18,183,251,450.0630000000178,right,true,true,,,,
seq-bars,down,b_on_left,57,10,23,16,29,36,39,51,16,17,45,62,230,171,400.05600000001715,right,false,false,,,,
seq-bars,down,b_on_left,26,38,27,51,13,28,11,15,10,12,26,24,98,183,300.04200000001583,right,true,true,,,,
seq-bars,down,a_on_left,26,38,27,51,13,28,11,15,10,12,26,24,183,98,216.69699999998562,left,true,true,,,,
seq-bars,down,a_on_right,53,32,45,13,57,40,64,74,21,38,53,12,262,240,266.703999999963,left,true,true,,,,
seq-bars,down,a_on_left,17,31,62,85,15,26,65,24,53,72,46,18,236,278,300.0420000000042,right,true,true,,,,
seq-bars,down,b_on_right,44,26,12,32,69,40,17,57,39,29,35,19,223,196,200.0280000000261,left,true,true,,,,
seq-bars,down,a_on_right,25,18,11,13,42,10,62,43,17,41,15,19,197,119,266.7040000000387,left,true,true,,,,
seq-bars,down,a_on_left,27,25,48,69,50,27,32,25,38,29,65,11,246,200,983.4710000000538,left,true,true,,,,
seq-bars,down,b_on_right,53,32,45,13,57,40,64,74,21,38,53,12,240,262,416.72500000003504,left,false,false,,,,
seq-bars,down,a_on_right,18,11,65,28,77,30,55,57,11,19,39,31,212,229,450.0629999999889,right,true,true,,,,
seq-bars,down,a_on_left,36,29,61,29,12,37,34,20,31,73,13,21,204,192,266.704000000027,right,false,false,,,,
seq-bars,down,a_on_left,14,45,67,20,16,57,21,31,61,36,35,21,219,205,250.03499999997442,left,true,true,,,,
seq-bars,down,b_on_left,27,25,48,69,50,27,32,25,38,29,65,11,200,246,200.0279999999795,right,true,true,,,,
seq-bars,down,b_on_right,31,46,44,29,30,14,15,14,52,20,28,55,194,184,933.4639999999893,right,false,false,,,,
seq-bars,down,a_on_right,33,18,58,28,84,42,24,34,29,60,46,64,257,263,300.0419999999926,right,true,true,,,,
seq-bars,down,a_on_right,63,23,77,66,79,13,19,13,11,32,47,18,140,321,316.71099999991714,right,true,true,,,,
sim-bars,down,0,15,42,34,37,21,12,15,14,54,65,14,19,161,181,683.4289999998989,right,true,true,,,,
sim-bars,down,0,27,34,26,73,78,61,55,51,47,11,26,32,299,222,350.0490000000108,left,true,true,,,,
