block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
sim-bars,down,0,56,15,14,44,47,48,31,34,34,64,75,24,224,262,2650.1600000000735,right,true,true,,,,
sim-bars,down,0,47,13,30,46,11,44,57,13,27,35,13,16,191,161,716.7700000000186,left,true,true,,,,
sim-bars,down,0,46,28,75,12,16,32,17,59,46,49,56,68,209,295,533.1864999999757,right,true,true,,,,
sim-bars,down,0,16,45,28,17,19,51,22,40,57,22,38,62,176,241,466.98930000000996,right,true,true,,,,
sim-bars,down,0,24,40,80,33,16,61,30,30,37,10,53,21,254,181,582.9851999999606,left,true,true,,,,
sim-bars,down,0,33,30,61,18,22,28,40,17,40,54,22,30,192,203,966.0095999998971,left,false,false,,,,
sim-bars,down,0,46,27,42,16,13,58,49,29,27,42,35,82,202,264,366.41990000004307,right,true,true,,,,
sim-bars,down,0,76,65,56,42,67,53,18,15,76,15,25,48,359,197,533.3016999999818,left,true,true,,,,
sim-bars,down,0,39,50,25,20,65,86,61,63,25,14,50,17,285,230,483.3518999999505,left,true,true,,,,
sim-bars,down,0,18,50,46,21,33,22,46,67,23,15,26,47,190,224,416.6151000000596,right,true,true,,,,
sim-bars,down,0,75,19,23,40,19,51,15,21,18,17,25,10,227,106,383.2869999999763,left,true,true,,,,
sim-bars,down,0,38,18,20,68,43,51,34,72,11,47,20,15,238,199,433.650400000019,left,true,true,,,,
sim-bars,down,0,37,25,13,13,28,30,44,27,37,42,46,35,146,231,500.2040999999094,right,true,true,,,,
sim-bars,down,0,22,40,57,22,38,62,16,45,28,17,19,51,241,176,366.4627000000327,left,true,true,,,,
sim-bars,down,0,29,54,25,45,33,14,60,36,24,14,80,20,200,234,499.859700000001,right,true,true,,,,
sim-bars,down,0,62,73,16,18,10,24,16,74,50,62,30,15,203,247,833.3114000000468,right,true,true,,,,
sim-bars,down,0,36,35,20,81,12,69,38,10,42,33,14,64,253,201,433.14150000001536,left,true,true,,,,
sim-bars,down,0,16,74,50,62,30,15,62,73,16,18,10,24,247,203,1483.1953999999444,right,false,false,,,,
sim-bars,down,0,27,17,85,50,20,17,20,43,58,55,40,53,216,269,966.272200000018,left,false,false,,,,
sim-bars,down,0,38,58,32,32,50,60,39,32,22,16,45,49,270,203,466.5313999999663,left,true,true,,,,
sim-bars,down,0,61,63,25,14,50,17,39,50,25,20,65,86,230,285,933.361300000042,right,true,true,,,,
sim-bars,down,0,22,43,28,27,20,13,84,57,50,28,40,44,153,303,499.9193000000205,right,true,true,,,,
sim-bars,down,0,27,73,24,22,11,64,16,24,11,14,24,37,221,126,450.2797000000603,left,true,true,,,,
sim-bars,down,0,39,51,14,72,54,13,23,15,33,39,10,84,243,204,416.5352999999712,left,true,true,,,,
sim-bars,down,0,20,74,38,14,11,37,45,45,51,23,18,17,194,199,499.7348999999754,left,false,false,,,,
sim-bars,down,0,38,50,24,31,34,63,14,45,33,27,17,38,240,174,466.9621999999623,left,true,true,,,,
sim-bars,down,0,36,23,50,18,38,14,25,40,18,36,30,19,179,168,1199.9733000000651,left,true,true,,,,
sim-bars,down,0,26,58,19,28,38,25,26,47,34,38,15,51,194,211,533.504599999951,left,false,false,,,,
sim-bars,down,0,48,42,62,60,76,20,82,11,36,51,18,13,308,211,483.4201999999409,left,true,true,,,,
sim-bars,down,0,53,14,11,20,32,23,20,42,43,67,34,42,153,248,500.06860000000455,right,true,true,,,,
seq-bars,down,a_on_left,33,14,79,43,16,51,21,64,31,19,16,24,236,175,500.0603000000001,left,true,true,,,,
seq-bars,down,b_on_right,79,30,69,76,80,67,13,51,50,31,27,32,401,204,566.5620999999869,left,true,true,,,,
seq-bars,down,b_on_right,36,18,49,25,32,43,17,30,22,49,14,45,203,177,583.2110000000218,right,false,false,,,,
seq-bars,down,a_on_right,25,49,32,42,15,22,55,31,40,14,65,14,219,185,216.64269999995594,left,true,true,,,,
seq-bars,down,b_on_right,17,47,43,14,34,20,67,18,30,11,35,73,175,234,383.48049999992367,right,true,true,,,,
