block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
sim-bars,up,0,80,88,72,72,75,76,37,39,68,79,82,52,463,357,550.0770000000191,left,true,true,,,,
sim-bars,up,0,24,74,18,70,34,68,88,73,41,85,88,64,288,439,450.0629999999857,right,true,true,,,,
sim-bars,up,0,78,55,69,79,83,64,20,60,60,24,80,58,428,302,400.0560000000142,left,true,true,,,,
sim-bars,up,0,87,85,85,84,64,48,71,84,62,64,70,89,453,440,566.7460000000193,left,true,true,,,,
sim-bars,up,0,54,39,86,74,57,85,70,66,89,48,82,80,395,435,700.098000000024,right,true,true,,,,
sim-bars,up,0,28,89,79,67,30,31,76,21,70,65,87,55,324,374,616.9883999999439,right,true,true,,,,
sim-bars,up,0,72,86,86,19,81,88,67,29,55,85,69,28,432,333,700.0980000000211,left,true,true,,,,
sim-bars,up,0,65,83,87,58,84,75,38,50,79,76,47,30,452,320,483.4009999999688,left,true,true,,,,
sim-bars,up,0,87,48,82,72,65,78,56,56,32,81,89,53,432,367,550.0770000000075,left,true,true,,,,
sim-bars,up,0,62,82,89,46,37,51,35,45,75,71,82,41,367,349,650.0910000000204,right,false,false,,,,
sim-bars,up,0,90,68,84,56,51,51,89,60,34,52,62,63,400,360,550.0769999999928,left,true,true,,,,
sim-bars,up,0,71,88,87,78,48,73,47,84,46,75,18,76,445,346,416.72500000001446,left,true,true,,,,
sim-bars,up,0,38,50,79,76,47,30,65,83,87,58,84,75,320,452,466.73200000001503,right,true,true,,,,
sim-bars,up,0,85,61,64,78,67,44,66,67,40,20,88,70,399,351,483.4010000000153,right,false,false,,,,
sim-bars,up,0,69,75,22,31,19,90,79,68,75,72,86,28,306,408,750.1310999999953,right,true,true,,,,
sim-bars,up,0,76,65,50,68,62,79,50,76,60,33,42,65,400,326,400.05600000001414,left,true,true,,,,
sim-bars,up,0,88,73,41,85,88,64,24,74,18,70,34,68,439,288,433.39400000000876,left,true,true,,,,
sim-bars,up,0,89,42,88,77,31,79,86,47,83,63,42,66,406,387,450.0630000000119,left,true,true,,,,
sim-bars,up,0,79,71,66,74,66,50,75,48,77,84,88,87,406,459,466.7320000000151,right,true,true,,,,
sim-bars,up,0,90,87,34,56,59,40,90,78,90,74,57,81,366,470,550.076999999987,right,true,true,,,,
sim-bars,up,0,70,66,89,48,82,80,54,39,86,74,57,85,435,395,433.39400000001467,left,true,true,,,,
sim-bars,up,0,56,61,71,73,88,60,87,33,89,23,84,89,409,405,450.0630000000149,left,true,true,,,,
sim-bars,up,0,27,63,76,84,64,68,42,69,89,58,74,80,382,412,550.077000000019,left,false,false,,,,
sim-bars,up,0,72,38,35,15,79,24,69,76,45,80,72,85,263,427,516.7390000000128,right,true,true,,,,
sim-bars,up,0,50,49,52,68,28,74,90,86,79,19,60,85,321,419,566.7460000000192,right,true,true,,,,
sim-bars,up,0,63,86,65,89,54,72,68,60,65,90,24,77,429,384,416.72500000001736,left,true,true,,,,
sim-bars,up,0,44,73,71,85,59,45,11,26,57,23,69,70,377,256,450.0630000000119,left,true,true,,,,
sim-bars,up,0,52,85,67,77,47,65,71,67,82,56,62,49,393,387,683.4290000000207,left,true,true,,,,
sim-bars,up,0,73,88,83,48,81,47,86,80,67,68,52,65,420,418,450.0629999998898,left,true,true,,,,
