block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
alt-bars,up,b_on_right,25,52,66,59,84,88,50,45,65,62,41,24,330,331,1207.8806000000336,left,false,false,,,,
alt-bars,up,a_on_left,18,78,65,62,75,72,82,82,88,90,70,29,398,413,524.6263999999908,right,true,true,,,,
alt-bars,up,b_on_right,87,49,64,23,71,22,36,35,62,88,57,47,264,377,467.0703000000096,right,true,true,,,,
alt-bars,up,b_on_left,87,67,71,31,56,61,15,50,62,69,81,63,372,341,404.2050000000279,left,true,true,,,,
alt-bars,up,b_on_right,51,60,69,50,84,79,86,68,83,62,61,72,391,434,369.9165000000096,right,true,true,,,,
alt-bars,up,a_on_left,34,54,81,65,67,40,38,50,55,59,49,68,324,336,437.39390000007126,right,true,true,,,,
alt-bars,up,b_on_left,34,54,81,65,67,40,38,50,55,59,49,68,324,336,322.00109999997665,left,false,false,,,,
alt-bars,up,b_on_right,70,52,39,87,80,56,62,16,58,34,37,89,334,346,392.252700000041,left,false,false,,,,
alt-bars,up,a_on_left,78,85,77,18,80,90,35,59,82,35,33,51,385,338,546.6978000000526,right,false,false,,,,
alt-bars,up,b_on_right,64,37,44,69,55,78,58,19,66,64,33,57,324,320,376.236500000005,left,true,true,,,,
alt-bars,up,b_on_right,79,69,72,72,89,83,60,38,42,86,60,85,433,402,382.9459000000554,left,true,true,,,,
alt-bars,up,a_on_right,82,70,19,28,58,29,76,23,23,59,83,48,257,341,408.72809999997264,right,true,true,,,,
alt-bars,up,b_on_right,60,66,51,75,68,85,86,50,61,81,63,88,445,389,240.4025999999721,left,true,true,,,,
alt-bars,up,b_on_left,73,41,60,37,50,85,61,89,35,90,53,43,332,385,794.4918000000235,right,true,true,,,,
alt-bars,up,a_on_right,60,55,56,75,76,75,73,38,86,82,76,61,386,427,1202.4295999999972,right,true,true,,,,
alt-bars,up,a_on_left,51,63,81,84,61,87,50,70,84,60,88,88,415,452,276.6430000000284,right,true,true,,,,
alt-bars,up,b_on_left,69,64,72,46,59,58,82,41,76,86,31,80,389,375,359.54200000002754,right,false,false,,,,
alt-bars,up,b_on_left,68,80,61,51,76,76,48,83,83,32,61,51,397,373,644.1074000000372,left,true,true,,,,
alt-bars,up,a_on_right,85,78,45,88,63,68,49,70,76,78,31,89,471,349,440.8671000000787,left,true,true,,,,
alt-bars,up,a_on_left,73,41,60,37,50,85,61,89,35,90,53,43,332,385,386.61339999994965,right,true,true,,,,
alt-bars,up,a_on_left,74,72,56,64,30,40,54,65,64,53,55,76,333,370,285.7828999999561,right,true,true,,,,
alt-bars,up,a_on_right,54,30,38,56,59,85,35,54,87,68,84,90,383,357,341.2677000001538,left,true,true,,,,
alt-bars,up,b_on_left,62,86,79,88,45,85,83,78,34,80,80,85,383,502,207.0872000001022,right,true,true,,,,
alt-bars,up,b_on_right,80,53,73,77,32,28,89,77,74,21,57,74,330,405,491.1206999999355,left,false,false,,,,
alt-bars,up,a_on_left,43,89,61,56,87,44,77,35,81,66,39,47,388,337,353.27189999995744,left,true,true,,,,
alt-bars,up,a_on_left,83,84,51,90,39,85,82,72,69,49,58,26,382,406,2169.933000000136,left,false,false,,,,
alt-bars,up,a_on_right,43,84,61,86,70,48,62,17,80,87,41,61,383,357,353.2694999999134,right,false,false,,,,
alt-bars,up,b_on_right,26,21,64,77,87,70,83,81,86,62,90,64,375,436,1236.5437999999492,right,true,true,,,,
alt-bars,up,b_on_right,43,84,61,86,70,48,62,17,80,87,41,61,383,357,353.29420000007366,left,true,true,,,,
alt-bars,up,a_on_right,66,74,20,33,37,49,72,63,78,42,32,22,283,305,607.7708999999567,right,true,true,,,,
seq-numbers,up,b_on_right,80,24,88,85,56,26,51,28,31,77,56,83,359,326,1004.2482999999193,left,true,true,,,,
seq-numbers,up,a_on_left,84,89,62,30,72,84,47,54,45,83,88,70,421,387,354.6556000000216,left,true,true,,,,
seq-numbers,up,a_on_right,43,23,39,21,87,54,89,72,90,74,68,78,471,267,290.15409999997354,left,true,true,,,,
seq-numbers,up,b_on_right,85,83,58,89,75,85,85,27,87,74,57,84,475,414,422.80630000003157,left,true,true,,,,
seq-numbers,up,b_on_right,64,88,70,78,80,38,75,15,47,56,67,75,418,335,318.4283000000753,left,true,true,,,,
seq-numbers,up,b_on_right,88,87,85,61,73,84,70,70,67,75,60,48,478,390,201.62390000005252,left,true,true,,,,
seq-numbers,up,a_on_right,47,72,81,72,38,59,68,60,62,86,68,42,386,369,325.9807000000845,left,true,true,,,,
seq-numbers,up,b_on_left,82,76,56,61,34,27,77,58,78,67,63,85,428,336,285.77630000002677,left,true,true,,,,
seq-numbers,up,a_on_right,85,83,58,89,75,85,85,27,87,74,57,84,414,475,207.0740999999922,right,true,true,,,,
seq-numbers,up,a_on_left,66,70,82,73,78,68,70,43,59,46,65,71,437,354,336.6124999999534,left,true,true,,,,
seq-numbers,up,a_on_right,85,90,65,74,89,26,50,44,55,81,50,62,342,429,322.1066999999341,right,true,true,,,,
seq-numbers,up,b_on_right,35,72,54,48,76,81,52,84,75,18,58,36,366,323,229.76699999999252,left,true,true,,,,
seq-numbers,up,b_on_right,62,77,75,71,76,88,87,66,50,90,70,76,449,439,1222.7448999998858,left,true,true,,,,
seq-numbers,up,b_on_right,64,24,73,50,87,72,80,85,85,69,54,83,370,456,460.20370000021063,right,true,true,,,,
seq-numbers,up,b_on_left,89,63,72,55,86,22,66,73,75,82,29,56,381,387,563.385999999917,right,true,true,,,,
seq-numbers,up,a_on_left,81,77,68,85,37,65,84,22,81,73,45,75,413,380,235.78369999998247,left,true,true,,,,
seq-numbers,up,b_on_left,81,77,68,85,37,65,84,22,81,73,45,75,380,413,573.7822999997529,left,false,false,,,,
seq-numbers,up,a_on_left,71,28,77,56,89,84,83,32,30,53,84,30,405,312,498.8804000000704,left,true,true,,,,
seq-numbers,up,b_on_left,66,70,82,73,78,68,70,43,59,46,65,71,354,437,308.48799999980264,right,true,true,,,,
seq-numbers,up,b_on_right,87,36,24,44,47,86,74,70,77,80,86,53,324,440,393.02500000004653,right,true,true,,,,
seq-numbers,up,b_on_right,75,61,69,40,48,70,74,63,88,75,61,89,363,450,285.81620000002437,right,true,true,,,,
seq-numbers,up,a_on_right,23,79,55,76,82,60,89,75,38,85,35,68,390,375,201.6020000000717,left,true,true,,,,
seq-numbers,up,a_on_right,64,24,73,50,87,72,80,85,85,69,54,83,456,370,387.4384000000079,left,true,true,,,,
