block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
alt-bars,up,a_on_right,69,63,58,90,67,78,86,51,80,53,49,89,424,409,366.9358000000022,left,true,true,,,,
alt-bars,up,a_on_right,60,56,63,49,52,51,83,81,51,75,57,75,387,366,800.4282000000004,left,true,true,,,,
alt-bars,up,b_on_left,41,24,88,75,63,89,88,42,71,60,78,80,429,370,884.14529999994,left,true,true,,,,
alt-bars,up,a_on_left,62,90,50,18,68,36,45,75,54,60,44,80,323,359,1734.7604000000142,left,false,false,,,,
alt-bars,up,a_on_left,78,83,52,81,84,39,71,78,80,67,67,71,432,419,1001.0099999999712,left,true,true,,,,
alt-bars,up,b_on_right,60,56,63,49,52,51,83,81,51,75,57,75,387,366,1584.4844000000303,left,true,true,,,,
alt-bars,up,a_on_left,90,41,84,82,68,85,82,70,33,83,48,59,405,420,1217.8439000000244,left,false,false,,,,
alt-bars,up,a_on_left,42,66,79,55,89,87,74,87,79,84,73,41,436,420,1317.6536000000774,left,true,true,,,,
alt-bars,up,b_on_left,51,53,66,75,89,78,84,71,55,44,87,49,432,370,1284.428600000075,left,true,true,,,,
alt-bars,up,a_on_left,47,84,40,45,50,67,25,48,31,70,80,52,273,366,885.7306999999828,left,false,false,,,,
alt-bars,up,b_on_right,85,59,73,74,66,80,47,70,74,79,71,85,447,416,1300.8502000000383,left,true,true,,,,
alt-bars,up,a_on_left,58,69,72,70,66,56,89,24,39,74,41,70,365,363,817.2375000000087,left,true,true,,,,
alt-bars,up,b_on_left,51,34,80,79,87,53,19,75,40,73,80,31,357,345,2451.6302000000346,left,true,true,,,,
alt-bars,up,b_on_left,84,49,27,67,62,79,73,31,89,76,80,57,415,359,1000.3715999999608,left,true,true,,,,
alt-bars,up,b_on_left,70,90,82,68,81,68,89,69,59,40,43,85,424,420,583.6569000000337,left,true,true,,,,
alt-bars,up,a_on_left,83,59,88,75,31,83,52,54,30,68,58,77,342,416,2251.511399999952,left,false,false,,,,
alt-bars,up,a_on_right,84,30,72,57,81,82,53,22,85,71,74,32,294,449,1268.0084000000093,left,false,false,,,,
alt-bars,up,a_on_left,70,90,82,68,81,68,89,69,59,40,43,85,424,420,1467.9478000000001,left,true,true,,,,
alt-bars,up,b_on_right,34,65,31,80,32,50,67,88,79,85,63,69,437,306,717.2318000000552,left,true,true,,,,
alt-bars,up,b_on_left,81,66,59,51,73,65,77,89,42,79,54,46,386,396,834.0615999998874,left,false,false,,,,
alt-bars,up,b_on_left,84,82,90,42,70,77,69,75,85,79,77,87,475,442,884.1163999999347,left,true,true,,,,
alt-bars,up,b_on_right,77,79,24,70,63,72,54,73,55,66,40,53,413,313,1134.2874999999706,left,true,true,,,,
alt-bars,up,a_on_right,85,59,73,74,66,80,47,70,74,79,71,85,447,416,1050.8238000000651,left,true,true,,,,
alt-bars,up,a_on_left,51,34,80,79,87,53,19,75,40,73,80,31,357,345,984.1406000000197,left,true,true,,,,
alt-bars,up,a_on_left,41,24,88,75,63,89,88,42,71,60,78,80,429,370,1467.9208999999448,left,true,true,,,,
alt-bars,up,a_on_left,84,82,90,42,70,77,69,75,85,79,77,87,475,442,1467.7086999998724,left,true,true,,,,
alt-bars,up,b_on_right,69,51,20,78,44,84,80,80,51,69,70,45,407,334,2485.7356999999433,left,true,true,,,,
alt-bars,up,a_on_right,38,68,81,43,50,76,50,21,83,53,42,67,328,344,4786.815400000133,left,false,false,,,,
