block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
seq-numbers,down,b_on_left,73,28,28,49,33,34,15,36,21,12,42,63,189,245,1933.6040000000655,left,false,false,,,,
seq-numbers,down,a_on_right,43,43,23,38,78,61,33,77,53,14,34,26,237,286,1133.4920000000386,right,true,true,,,,
seq-numbers,down,b_on_left,40,23,41,12,30,36,41,24,38,37,13,33,186,182,2000.2799999999504,right,false,false,,,,
seq-numbers,down,b_on_right,30,25,71,49,47,51,32,11,11,20,81,14,273,169,1466.871999999929,left,true,true,,,,
seq-numbers,down,a_on_left,73,28,28,49,33,34,15,36,21,12,42,63,245,189,1016.808999999909,left,true,true,,,,
seq-numbers,down,a_on_left,35,31,43,45,67,15,67,36,23,65,39,20,236,250,1016.808999999903,right,true,true,,,,
seq-numbers,down,b_on_right,38,37,82,15,87,62,39,18,63,27,10,31,321,188,1016.8090000000366,left,true,true,,,,
seq-numbers,down,b_on_left,35,31,43,45,67,15,67,36,23,65,39,20,250,236,2016.9490000000499,left,true,true,,,,
seq-numbers,down,b_on_right,43,43,23,38,78,61,33,77,53,14,34,26,286,237,1683.569000000061,right,false,false,,,,
seq-numbers,down,a_on_left,19,32,38,50,43,80,33,25,31,22,24,39,262,174,1017.0597999999758,left,true,true,,,,
seq-numbers,down,b_on_right,11,58,30,62,26,35,11,19,36,42,43,61,222,212,1083.7401999999067,left,true,true,,,,
seq-numbers,down,a_on_left,34,17,28,38,37,20,33,38,12,19,49,35,174,186,4617.560500000104,left,false,false,,,,
seq-numbers,down,b_on_left,32,57,15,43,48,56,64,36,19,38,28,40,225,251,1016.8090000000365,right,true,true,,,,
seq-numbers,down,a_on_right,10,41,32,52,67,51,32,37,31,29,34,26,189,253,883.457000000029,right,true,true,,,,
seq-numbers,down,a_on_right,38,37,82,15,87,62,39,18,63,27,10,31,188,321,850.1190000000229,right,true,true,,,,
seq-numbers,down,a_on_right,20,26,10,59,75,32,47,76,20,15,77,22,257,222,850.1190000000171,left,true,true,,,,
seq-numbers,down,b_on_left,59,48,39,10,40,23,49,23,40,14,11,63,200,219,950.1330000000299,left,false,false,,,,
seq-numbers,down,a_on_left,11,35,47,40,64,28,17,39,54,51,18,50,225,229,983.4710000000304,right,true,true,,,,
seq-numbers,down,b_on_right,14,25,75,36,76,67,33,26,33,32,19,62,293,205,816.7810000000283,left,true,true,,,,
seq-numbers,down,b_on_right,68,17,20,16,27,77,15,31,18,13,17,23,225,117,1017.0575999999876,left,true,true,,,,
seq-numbers,down,a_on_right,20,81,44,12,59,38,13,12,13,21,41,53,153,254,916.7950000000295,right,true,true,,,,
seq-numbers,down,a_on_left,45,13,10,43,33,30,30,31,45,63,11,19,174,199,2967.200999999986,left,false,false,,,,
seq-numbers,down,b_on_right,20,26,10,59,75,32,47,76,20,15,77,22,222,257,1033.4780000000374,right,true,true,,,,
