block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
seq-bars,up,a_on_right,55,70,43,59,26,84,71,54,72,85,68,66,416,337,417.05970000001685,left,true,true,,,,
seq-bars,up,b_on_right,82,67,62,88,55,27,77,51,62,61,57,84,381,392,400.3756999999997,left,false,false,,,,
seq-bars,up,a_on_left,85,42,85,71,85,86,76,59,53,44,32,58,454,322,450.31200000000973,right,false,false,,,,
seq-bars,up,a_on_right,82,67,62,88,55,27,77,51,62,61,57,84,392,381,483.5940999999905,left,true,true,,,,
seq-bars,up,a_on_left,42,60,23,89,31,90,25,70,68,40,36,66,335,305,550.3215999999695,right,false,false,,,,
seq-bars,up,a_on_right,86,89,89,74,47,54,81,26,47,26,78,60,318,439,483.71449999999896,left,false,false,,,,
seq-bars,up,b_on_right,76,45,65,38,81,27,85,56,72,88,52,61,332,414,400.3606000000059,right,true,true,,,,
seq-bars,up,b_on_left,90,42,69,63,37,43,66,74,47,69,90,24,370,344,483.5297999999893,right,false,false,,,,
seq-bars,up,b_on_left,67,29,38,86,71,72,68,81,83,41,86,74,433,363,433.60070000000127,right,false,false,,,,
seq-bars,up,a_on_left,38,66,90,32,82,88,78,63,29,80,53,58,396,361,233.38950000000187,left,true,true,,,,
seq-bars,up,a_on_left,43,57,52,81,84,66,53,62,86,35,80,81,383,397,350.27890000000485,right,true,true,,,,
seq-bars,up,b_on_right,86,58,36,80,48,67,70,90,87,78,68,59,375,452,316.86030000000613,left,false,false,,,,
seq-bars,up,b_on_left,90,75,56,88,86,28,79,38,50,73,70,81,391,423,383.6515000000333,right,true,true,,,,
seq-bars,up,a_on_left,67,29,38,86,71,72,68,81,83,41,86,74,363,433,300.3784000000101,right,true,true,,,,
seq-bars,up,b_on_right,59,87,90,84,90,66,82,85,62,65,64,89,476,447,417.0510999999766,left,true,true,,,,
seq-bars,up,a_on_right,63,82,61,87,42,53,54,22,77,59,66,49,327,388,417.0828999999998,left,false,false,,,,
seq-bars,up,a_on_right,86,58,36,80,48,67,70,90,87,78,68,59,452,375,300.2685999999986,left,true,true,,,,
seq-bars,up,a_on_right,66,80,71,81,80,55,52,57,89,65,83,81,427,433,267.0421000000148,left,false,false,,,,
seq-bars,up,b_on_right,54,89,53,54,59,52,57,72,81,72,89,70,361,441,400.27799999999394,left,false,false,,,,
seq-bars,up,a_on_right,76,87,85,51,49,88,41,49,57,24,27,80,278,436,200.1661999999953,right,true,true,,,,
seq-bars,up,b_on_left,80,77,17,45,75,71,31,86,62,66,85,56,386,365,400.4300999999425,right,false,false,,,,
seq-bars,up,b_on_left,55,60,50,16,29,85,79,75,73,43,26,43,339,295,450.2182999999437,right,false,false,,,,
seq-bars,up,b_on_right,75,54,87,39,76,67,46,81,69,75,87,16,398,374,483.82070000008684,left,true,true,,,,
seq-bars,up,a_on_left,64,70,16,80,90,23,64,66,33,62,68,86,343,379,266.8974999999744,right,true,true,,,,
seq-bars,up,b_on_right,55,70,43,59,26,84,71,54,72,85,68,66,337,416,433.83299999994927,left,false,false,,,,
seq-bars,up,b_on_right,86,52,85,24,47,78,84,48,73,84,41,48,372,378,333.6532000000181,left,false,false,,,,
seq-bars,up,a_on_left,90,75,56,88,86,28,79,38,50,73,70,81,423,391,433.656699999969,right,false,false,,,,
seq-bars,up,b_on_left,42,40,84,79,56,87,16,89,36,78,63,48,330,388,383.6862000000547,right,true,true,,,,
seq-bars,up,b_on_left,38,66,90,32,82,88,78,63,29,80,53,58,361,396,250.29879999999542,right,true,true,,,,
seq-bars,up,a_on_right,75,71,60,78,33,47,59,81,83,89,55,84,451,364,250.1744000000006,left,true,true,,,,
alt-numbers,up,a_on_left,47,52,70,51,86,60,44,23,73,55,76,35,396,276,350.2902000000467,left,true,true,,,,
alt-numbers,up,b_on_right,59,76,66,79,50,39,88,83,58,50,69,28,355,390,333.38390000002687,right,true,true,,,,
alt-numbers,up,b_on_left,76,58,62,61,62,25,73,89,79,69,35,73,387,375,466.8980999999796,right,false,false,,,,
alt-numbers,up,b_on_right,87,38,76,72,87,39,80,36,77,76,69,31,292,476,316.6463000000454,right,true,true,,,,
alt-numbers,up,b_on_right,85,47,90,55,39,45,61,78,55,88,47,71,384,377,283.6067000000854,left,true,true,,,,
alt-numbers,up,b_on_right,86,32,65,66,47,76,76,73,27,89,76,82,418,377,583.7644999999437,left,true,true,,,,
alt-numbers,up,a_on_left,86,86,88,54,60,87,89,57,80,33,83,82,486,399,1133.8948999998163,right,false,false,,,,
alt-numbers,up,b_on_left,35,78,83,47,84,68,48,87,31,86,88,88,369,454,2101.644299999893,left,false,false,,,,
alt-numbers,up,a_on_left,69,79,56,71,79,90,65,83,73,47,37,84,379,454,634.0594000000857,right,true,true,,,,
alt-numbers,up,b_on_left,40,74,46,35,45,16,74,68,64,90,62,63,331,346,450.2957999999751,left,false,false,,,,
alt-numbers,up,a_on_left,68,82,46,78,48,81,68,90,78,60,82,79,390,470,283.630199999956,right,true,true,,,,
alt-numbers,up,a_on_right,66,68,49,47,65,40,85,16,80,78,46,40,289,391,467.1746999999508,right,true,true,,,,
alt-numbers,up,a_on_right,79,79,39,71,87,87,77,77,64,88,70,78,480,416,567.1467000002042,left,true,true,,,,
alt-numbers,up,a_on_left,76,58,62,61,62,25,73,89,79,69,35,73,387,375,500.46660000008995,right,false,false,,,,
alt-numbers,up,b_on_left,64,52,41,41,30,12,51,10,61,40,36,84,283,239,450.6124000000999,right,false,false,,,,
alt-numbers,up,a_on_right,59,87,83,64,84,74,89,69,81,37,28,90,421,424,450.4193000000437,left,false,false,,,,
alt-numbers,up,a_on_left,59,89,69,28,54,66,82,76,89,79,90,77,443,415,417.044100000034,left,true,true,,,,
alt-numbers,up,a_on_left,55,57,47,64,64,67,79,41,57,26,81,61,383,316,717.3334999999963,right,false,false,,,,
alt-numbers,up,b_on_left,55,57,47,64,64,67,79,41,57,26,81,61,383,316,767.3546000000204,right,false,false,,,,
alt-numbers,up,b_on_right,66,68,49,47,65,40,85,16,80,78,46,40,289,391,350.19779999995365,right,true,true,,,,
alt-numbers,up,a_on_left,73,90,31,58,76,82,57,74,78,30,90,75,405,409,433.48099999990086,right,true,true,,,,
alt-numbers,up,b_on_left,57,43,50,61,89,64,56,70,81,43,40,72,373,353,767.5081000000239,right,false,false,,,,
alt-numbers,up,b_on_right,84,48,77,34,77,39,84,75,51,30,79,77,303,452,433.807900000026,right,true,true,,,,
alt-numbers,up,b_on_right,79,70,58,72,86,23,90,50,66,72,73,56,343,452,433.66390000001996,right,true,true,,,,
alt-numbers,up,b_on_right,59,87,83,64,84,74,89,69,81,37,28,90,421,424,433.83769999992796,right,true,true,,,,
alt-numbers,up,b_on_left,73,75,73,79,82,49,57,70,63,35,67,81,415,389,450.39150000009687,left,true,true,,,,
alt-numbers,up,a_on_right,84,48,77,34,77,39,84,75,51,30,79,77,303,452,333.5309000000008,right,true,true,,,,
alt-numbers,up,a_on_right,86,32,65,66,47,76,76,73,27,89,76,82,418,377,450.23800000005866,right,false,false,,,,
alt-numbers,up,a_on_right,38,57,83,77,44,77,69,84,83,87,86,39,421,403,417.0067999999621,right,false,false,,,,
alt-numbers,up,b_on_left,69,79,56,71,79,90,65,83,73,47,37,84,379,454,650.642899999954,right,true,true,,,,
sim-numbers,up,0,52,39,43,82,57,78,49,61,55,39,31,43,351,278,667.4510999999708,left,true,true,,,,
sim-numbers,up,0,21,38,88,74,59,30,78,79,39,72,73,84,310,425,600.4600000000443,left,false,false,,,,
sim-numbers,up,0,53,56,47,57,47,89,65,79,62,27,25,43,349,301,550.4261000002152,left,true,true,,,,
sim-numbers,up,0,83,74,65,63,59,47,15,68,61,32,89,87,391,352,300.15690000003667,right,false,false,,,,
sim-numbers,up,0,59,87,55,77,52,47,78,50,35,53,37,40,377,293,450.2146999999997,right,false,false,,,,
sim-numbers,up,0,59,61,55,71,46,51,72,77,68,76,70,37,343,400,467.04840000001707,right,true,true,,,,
sim-numbers,up,0,88,60,62,55,43,56,66,63,74,77,56,70,364,406,400.3163000000174,right,true,true,,,,
sim-numbers,up,0,77,86,26,70,87,78,77,84,44,59,80,84,424,428,617.1625999999002,right,true,true,,,,
sim-numbers,up,0,47,55,87,55,86,64,73,83,42,56,23,85,394,362,700.5328999998865,right,false,false,,,,
sim-numbers,up,0,26,78,64,58,52,58,70,85,80,72,43,82,336,432,550.3737999999197,right,true,true,,,,
sim-numbers,up,0,76,49,27,46,69,86,78,53,68,44,87,88,353,418,450.6635000000709,right,true,true,,,,
sim-numbers,up,0,72,25,78,60,72,71,85,85,74,20,77,67,378,408,483.85049999991895,right,true,true,,,,
sim-numbers,up,0,90,64,76,67,82,38,25,73,90,80,57,45,417,370,467.0102000001003,right,false,false,,,,
sim-numbers,up,0,73,83,42,56,23,85,47,55,87,55,86,64,362,394,550.517599999963,right,true,true,,,,
sim-numbers,up,0,87,54,68,69,86,73,74,53,90,81,64,60,437,422,950.6374999999998,left,true,true,,,,
sim-numbers,up,0,55,82,22,70,63,64,54,45,76,90,69,24,356,358,467.058700000064,right,true,true,,,,
sim-numbers,up,0,24,39,71,64,35,61,60,83,82,89,75,71,294,460,517.1958999999915,right,true,true,,,,
sim-numbers,up,0,74,69,54,42,73,84,56,38,62,67,63,60,396,346,600.9560999999873,left,true,true,,,,
sim-numbers,up,0,85,85,74,20,77,67,72,25,78,60,72,71,408,378,533.8765000000246,left,true,true,,,,
sim-numbers,up,0,73,74,30,89,69,34,57,81,79,56,62,89,369,424,617.1761000000637,right,true,true,,,,
sim-numbers,up,0,74,56,58,90,45,83,88,78,83,67,89,67,406,472,516.9252000000096,left,false,false,,,,
sim-numbers,up,0,83,80,58,38,59,82,53,70,46,82,56,30,400,337,517.1488999999244,left,true,true,,,,
sim-numbers,up,0,90,77,30,87,54,86,70,90,79,70,59,90,424,458,433.61170000000857,right,true,true,,,,
sim-numbers,up,0,56,41,52,67,83,89,68,40,62,84,55,72,388,381,483.85780000003285,left,true,true,,,,
sim-numbers,up,0,49,61,55,39,31,43,52,39,43,82,57,78,278,351,350.3831999999704,right,true,true,,,,
sim-numbers,up,0,66,64,14,42,83,80,70,52,73,81,58,88,349,422,550.5201000001282,right,true,true,,,,
sim-numbers,up,0,83,83,25,41,68,53,52,59,67,28,45,14,353,265,450.45580000005435,left,true,true,,,,
sim-numbers,up,0,84,64,35,83,21,26,57,61,52,40,49,77,313,336,400.3792000000366,right,true,true,,,,
