block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
sim-numbers,down,0,22,10,33,30,32,22,29,46,66,41,35,22,149,239,2417.297600000082,right,true,true,,,,
sim-numbers,down,0,27,52,32,45,51,11,12,31,12,65,73,31,218,224,683.4290000000207,right,true,true,,,,
sim-numbers,down,0,47,22,15,34,63,10,59,15,51,25,31,55,191,236,883.457000000029,left,false,false,,,,
sim-numbers,down,0,67,41,13,20,25,55,79,19,10,12,57,29,221,206,500.0699999999255,right,false,false,,,,
sim-numbers,down,0,14,32,49,18,46,53,67,15,34,53,14,23,212,206,533.4080000000189,right,false,false,,,,
sim-numbers,down,0,12,31,12,65,73,31,27,52,32,45,51,11,224,218,550.0769999999088,left,true,true,,,,
sim-numbers,down,0,84,17,51,74,33,25,32,53,66,26,28,10,284,215,550.0770000000191,left,true,true,,,,
sim-numbers,down,0,42,16,33,33,10,34,60,55,32,34,80,76,168,337,483.40100000005896,right,true,true,,,,
sim-numbers,down,0,28,46,29,68,24,41,14,65,56,26,29,26,236,216,583.4150000000194,left,true,true,,,,
sim-numbers,down,0,18,31,50,11,42,57,33,14,44,65,23,38,209,217,500.07000000001256,left,false,false,,,,
sim-numbers,down,0,60,55,32,34,80,76,42,16,33,33,10,34,337,168,450.0630000000178,left,true,true,,,,
sim-numbers,down,0,32,68,21,21,69,32,44,25,34,80,15,66,243,264,833.4500000000168,left,false,false,,,,
sim-numbers,down,0,62,12,65,40,11,10,19,52,39,10,75,29,200,224,416.7250000000173,right,true,true,,,,
sim-numbers,down,0,79,19,10,12,57,29,67,41,13,20,25,55,206,221,533.4079999999723,left,false,false,,,,
sim-numbers,down,0,10,76,66,26,44,11,12,49,10,11,42,16,233,140,516.7389999999954,left,true,true,,,,
sim-numbers,down,0,17,29,71,39,67,26,17,32,36,58,33,52,249,228,700.0980000000214,right,false,false,,,,
sim-numbers,down,0,25,14,34,27,21,61,32,10,16,23,19,32,182,132,650.091000000038,left,true,true,,,,
sim-numbers,down,0,32,53,66,26,28,10,84,17,51,74,33,25,215,284,583.414999999979,right,true,true,,,,
sim-numbers,down,0,11,21,76,53,49,23,39,44,68,33,46,41,233,271,1083.4850000000552,left,false,false,,,,
sim-numbers,down,0,43,19,19,31,58,33,35,50,14,82,63,25,203,269,883.4570000000526,right,true,true,,,,
sim-numbers,down,0,67,15,34,53,14,23,14,32,49,18,46,53,206,212,716.7669999998994,right,true,true,,,,
sim-numbers,down,0,17,32,36,58,33,52,17,29,71,39,67,26,228,249,533.4080000000541,right,true,true,,,,
sim-numbers,down,0,19,52,39,10,75,29,62,12,65,40,11,10,224,200,500.0699999999605,left,true,true,,,,
sim-numbers,down,0,45,29,22,43,21,21,31,39,25,15,54,56,181,220,500.0700000000071,right,true,true,,,,
sim-numbers,down,0,14,54,15,14,53,24,44,82,69,11,11,83,174,300,483.40099999987285,right,true,true,,,,
sim-numbers,down,0,28,18,24,40,21,34,27,48,38,15,35,49,165,212,500.06999999999545,right,true,true,,,,
sim-numbers,down,0,35,24,12,12,19,31,23,40,31,17,80,64,133,255,500.0700000000071,right,true,true,,,,
sim-numbers,down,0,54,61,17,24,60,37,41,53,34,50,26,30,253,234,550.0770000000601,left,true,true,,,,
sim-numbers,down,0,71,27,45,62,24,29,48,10,40,12,48,51,258,209,533.4080000000076,left,true,true,,,,
sim-numbers,down,0,41,53,34,50,26,30,54,61,17,24,60,37,234,253,516.7389999998384,right,true,true,,,,
seq-bars,down,b_on_left,66,22,55,12,73,47,73,31,63,29,22,43,261,275,933.463999999943,right,true,true,,,,
seq-bars,down,b_on_right,58,84,66,18,16,12,60,48,33,42,34,13,254,230,1266.84400000004,left,true,true,,,,
seq-bars,down,a_on_right,37,16,35,32,68,21,37,77,31,30,55,36,266,209,483.40100000004765,left,true,true,,,,
seq-bars,down,b_on_right,70,28,17,71,64,45,31,67,12,32,39,27,295,208,516.7390000000248,left,true,true,,,,
seq-bars,down,a_on_left,10,58,22,29,52,53,29,53,52,17,32,48,224,231,983.4709999998913,right,true,true,,,,
seq-bars,down,b_on_right,20,31,10,36,12,59,52,11,39,48,19,31,168,200,483.4009999999661,left,false,false,,,,
seq-bars,down,a_on_left,65,30,11,15,48,31,43,23,60,11,15,20,200,172,566.8762000000572,right,false,false,,,,
seq-bars,down,b_on_left,28,36,24,46,16,14,12,57,37,51,62,15,234,164,433.39400000002945,left,true,true,,,,
seq-bars,down,a_on_left,11,86,35,43,32,60,59,40,31,42,33,23,267,228,383.3870000000229,left,true,true,,,,
seq-bars,down,a_on_right,29,26,62,11,35,74,40,20,57,36,31,58,242,237,650.0910000000267,right,false,false,,,,
seq-bars,down,b_on_left,65,30,11,15,48,31,43,23,60,11,15,20,172,200,633.4219999999159,right,true,true,,,,
seq-bars,down,a_on_left,38,19,28,16,24,19,19,23,74,22,19,27,144,184,500.2733999999821,right,true,true,,,,
seq-bars,down,a_on_left,33,28,23,12,46,56,38,13,19,54,11,50,198,185,566.7460000000311,left,true,true,,,,
seq-bars,down,b_on_right,20,59,36,29,52,12,35,37,24,24,37,13,208,170,416.72500000003504,left,true,true,,,,
seq-bars,down,a_on_left,24,52,11,34,30,12,37,41,15,64,35,39,163,231,383.38699999999966,right,true,true,,,,
seq-bars,down,b_on_left,29,81,48,85,66,49,30,77,35,51,23,18,234,358,566.7459999999846,right,true,true,,,,
seq-bars,down,a_on_left,61,74,30,49,47,25,14,56,52,36,77,66,286,301,433.6514000000433,right,true,true,,,,
seq-bars,down,b_on_left,33,22,11,29,27,66,23,29,29,11,60,70,222,188,500.06999999996054,left,true,true,,,,
seq-bars,down,b_on_right,80,28,24,17,29,79,14,63,34,52,21,35,257,219,533.4080000000308,left,true,true,,,,
seq-bars,down,b_on_right,36,60,34,10,13,85,14,45,65,49,49,40,238,262,433.3940000000178,left,false,false,,,,
seq-bars,down,a_on_left,50,14,11,53,10,19,37,34,22,39,34,40,157,206,533.4079999999493,left,false,false,,,,
seq-bars,down,a_on_left,27,46,75,24,44,16,61,72,11,12,33,25,232,214,1166.8300000000852,left,true,true,,,,
seq-bars,down,b_on_right,12,41,12,25,27,55,30,39,64,70,77,48,172,328,616.7529999999911,right,true,true,,,,
seq-bars,down,a_on_right,18,58,64,16,26,20,22,15,12,66,54,39,208,202,816.7810000000519,right,false,false,,,,
seq-bars,down,b_on_right,41,29,45,33,19,34,30,66,36,15,20,22,201,189,516.7389999998617,right,false,false,,,,
seq-bars,down,a_on_right,48,29,45,53,19,46,23,56,78,55,43,25,280,240,416.7250000000234,left,true,true,,,,
seq-bars,down,a_on_left,17,17,32,40,25,56,67,64,82,51,46,29,187,339,433.3939999999362,right,true,true,,,,
seq-bars,down,a_on_right,20,31,10,36,12,59,52,11,39,48,19,31,200,168,433.3940000000411,right,false,false,,,,
seq-bars,down,b_on_left,43,11,82,34,30,39,52,22,13,72,65,59,283,239,616.7530000000029,right,false,false,,,,
seq-bars,down,b_on_right,68,40,17,51,55,11,69,26,49,44,26,41,242,255,450.0629999998491,left,false,false,,,,
sim-bars,down,0,76,66,58,29,23,46,11,85,21,36,37,30,298,220,1600.2240000001848,right,false,false,,,,
