block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
alt-bars,down,a_on_left,32,87,31,53,63,26,36,20,71,20,24,41,,,1883.538999999996,right,false,false,,,,
alt-bars,down,a_on_left,15,20,46,29,56,14,62,26,30,46,66,20,,,733.6221000000484,left,false,false,,,,
alt-bars,down,a_on_right,19,47,14,44,20,49,23,19,18,37,45,50,,,983.6824999999137,left,false,false,,,,
alt-bars,down,b_on_right,12,30,43,16,11,61,43,31,43,37,10,36,,,1749.5908000001052,left,false,false,,,,
alt-bars,down,a_on_right,25,32,21,30,46,71,19,40,20,83,11,36,,,750.0965000000489,left,false,false,,,,
alt-bars,down,a_on_right,34,11,16,46,44,22,19,67,50,12,58,47,,,583.3717999999237,right,false,false,,,,
alt-bars,down,b_on_right,25,32,21,30,46,71,19,40,20,83,11,36,,,566.5254000000307,left,false,false,,,,
alt-bars,down,b_on_right,23,58,17,22,26,51,33,50,16,48,55,30,,,749.796300000092,right,false,false,,,,
alt-bars,down,b_on_left,28,15,42,48,20,20,26,41,10,73,65,57,,,600.3122000000672,right,false,false,,,,
alt-bars,down,a_on_right,21,15,31,30,36,64,15,63,16,66,11,47,,,499.92190000000403,left,false,false,,,,
alt-bars,down,b_on_left,36,26,28,19,32,20,23,34,74,40,43,45,,,1199.8982999999773,left,false,false,,,,
alt-bars,down,b_on_right,66,42,41,38,50,41,27,45,40,53,29,11,,,600.082799999963,right,false,false,,,,
alt-bars,down,a_on_left,11,13,19,38,34,33,48,31,58,15,41,62,,,1550.0852999997094,left,false,false,,,,
alt-bars,down,b_on_left,43,66,17,14,18,71,85,28,18,66,84,26,,,733.3408999999051,left,false,false,,,,
alt-bars,down,b_on_left,63,22,55,49,23,86,21,46,74,18,23,24,,,683.1316000002088,right,false,false,,,,
alt-bars,down,b_on_right,27,24,30,48,46,23,45,19,37,14,13,40,,,416.6894000000204,left,false,false,,,,
alt-bars,down,a_on_right,21,12,45,33,28,11,22,32,19,23,50,84,,,483.4773000000975,left,false,false,,,,
alt-bars,down,b_on_right,52,74,20,56,20,27,49,83,58,78,49,21,,,483.461500000162,left,false,false,,,,
alt-bars,down,b_on_right,26,26,25,12,10,11,46,34,36,14,41,54,,,1133.641200000187,right,false,false,,,,
alt-bars,down,a_on_left,28,15,42,48,20,20,26,41,10,73,65,57,,,999.9340000000083,left,false,false,,,,
alt-bars,down,b_on_right,23,18,44,49,42,27,38,34,56,63,42,45,,,666.666600000125,right,false,false,,,,
alt-bars,down,b_on_left,11,13,19,38,34,33,48,31,58,15,41,62,,,549.8908000000637,right,false,false,,,,
alt-bars,down,a_on_right,87,21,65,48,45,40,52,51,35,17,45,10,,,466.8183999999659,right,false,false,,,,
alt-bars,down,b_on_left,48,15,49,20,14,33,31,44,61,41,12,20,,,549.9321999999113,left,false,false,,,,
alt-bars,down,a_on_right,66,42,41,38,50,41,27,45,40,53,29,11,,,549.9387000000454,right,false,false,,,,
alt-bars,down,b_on_left,16,25,32,30,17,63,22,59,30,72,54,20,,,383.1998000001418,right,false,false,,,,
alt-bars,down,b_on_right,10,29,24,53,26,20,77,35,33,26,48,65,,,583.322700000077,right,false,false,,,,
alt-bars,down,b_on_right,43,10,13,43,19,24,50,45,23,63,62,70,,,516.7034999999102,left,false,false,,,,
alt-bars,down,a_on_left,44,15,41,39,53,64,41,72,11,47,40,52,,,416.6983999999705,right,false,false,,,,
alt-bars,down,a_on_left,13,25,47,23,12,10,15,37,39,48,32,15,,,1416.7267999999112,left,false,false,,,,
alt-bars,down,a_on_right,58,41,77,24,29,49,19,33,19,67,43,21,,,1200.0693000000206,left,false,false,,,,
alt-bars,down,b_on_left,15,20,46,29,56,14,62,26,30,46,66,20,,,333.5548000000069,left,false,false,,,,
alt-bars,down,b_on_left,10,62,18,22,39,41,45,37,54,35,17,15,,,866.4894999998271,left,false,false,,,,
alt-bars,down,b_on_right,12,12,76,37,63,11,62,61,10,15,33,35,,,399.9174999999582,right,false,false,,,,
alt-bars,down,b_on_left,13,16,29,86,28,19,56,22,46,67,30,47,,,416.72150000008986,right,false,false,,,,
alt-bars,down,a_on_left,52,15,19,18,11,80,42,54,45,14,23,20,,,432.89879999995463,right,false,false,,,,
alt-bars,down,a_on_left,63,22,55,49,23,86,21,46,74,18,23,24,,,449.70789999995617,right,false,false,,,,
alt-bars,down,a_on_right,36,36,15,19,15,23,51,21,24,18,20,47,,,966.4631999999635,left,false,false,,,,
alt-bars,down,a_on_right,23,18,44,49,42,27,38,34,56,63,42,45,,,550.0340000000781,left,false,false,,,,
alt-bars,down,b_on_right,35,15,20,57,12,16,57,40,33,35,18,59,,,466.5921000000206,left,false,false,,,,
alt-bars,down,a_on_right,23,58,17,22,26,51,33,50,16,48,55,30,,,499.8012000001268,left,false,false,,,,
alt-bars,down,a_on_left,50,35,26,69,28,39,16,27,86,54,37,80,,,633.3014000000317,left,false,false,,,,
alt-bars,down,b_on_left,57,47,71,31,41,40,65,38,45,28,81,24,,,600.0650000000023,left,false,false,,,,
alt-bars,down,a_on_right,64,45,73,23,85,74,59,65,48,24,28,38,,,550.1045000000856,right,false,false,,,,
alt-bars,down,b_on_left,71,47,17,40,15,52,14,41,28,30,36,26,,,550.144099999964,left,false,false,,,,
alt-bars,down,b_on_right,21,15,31,30,36,64,15,63,16,66,11,47,,,583.4861000000031,left,false,false,,,,
alt-bars,down,b_on_right,34,11,16,46,44,22,19,67,50,12,58,47,,,1083.1879999997682,right,false,false,,,,
alt-bars,down,b_on_left,45,25,45,11,15,34,69,52,19,24,21,38,,,516.8231000000028,left,false,false,,,,
alt-bars,down,b_on_left,33,63,43,59,57,35,25,22,40,42,21,10,,,883.3375999997833,right,false,false,,,,
alt-bars,down,b_on_right,25,12,27,54,24,40,35,64,32,22,59,43,,,783.4024000000323,left,false,false,,,,
sim-numbers,down,0,23,25,33,38,46,21,16,29,28,77,18,63,186,231,1350.0025999999718,right,true,true,,,,
sim-numbers,down,0,16,26,53,76,38,29,57,13,62,60,43,38,238,273,1316.4387999998057,left,false,false,,,,
sim-numbers,down,0,58,35,18,46,36,34,22,13,19,41,15,23,227,133,1966.7345000002645,right,false,false,,,,
sim-numbers,down,0,47,12,25,12,30,74,26,13,29,20,45,38,200,171,816.5383000000381,left,true,true,,,,
sim-numbers,down,0,44,51,71,66,32,66,36,35,31,12,30,12,330,156,633.4699000001186,left,true,true,,,,
sim-numbers,down,0,56,17,63,12,21,50,47,43,54,30,24,58,219,256,666.7662999998197,left,false,false,,,,
sim-numbers,down,0,37,16,23,36,46,49,35,35,15,45,31,51,207,212,1999.9034999996773,right,true,true,,,,
sim-numbers,down,0,33,29,51,37,18,25,16,15,33,59,12,45,193,180,2117.3142000001158,left,true,true,,,,
sim-numbers,down,0,18,18,62,33,25,42,65,40,23,27,67,26,198,248,1166.5153000001326,right,true,true,,,,
sim-numbers,down,0,19,36,48,42,32,11,44,22,15,64,34,25,188,204,650.6655000000029,right,true,true,,,,
sim-numbers,down,0,16,10,15,56,12,21,42,30,54,13,38,23,130,200,699.7827999999629,right,true,true,,,,
sim-numbers,down,0,73,36,47,41,11,81,19,37,27,31,33,51,289,198,600.3763999999964,left,true,true,,,,
sim-numbers,down,0,28,57,19,27,38,32,11,54,66,37,11,49,201,228,650.2023000000509,right,true,true,,,,
sim-numbers,down,0,85,49,33,39,26,50,36,79,15,16,61,22,282,229,633.7556000000101,left,true,true,,,,
