block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
sim-numbers,up,0,80,51,59,78,70,27,55,81,44,49,35,29,365,293,451.72989999998975,left,true,true,,,,
sim-numbers,up,0,73,88,73,40,46,30,78,49,62,68,55,14,350,326,418.39190000001383,left,true,true,,,,
sim-numbers,up,0,74,66,40,50,83,57,74,47,86,84,90,55,370,436,550.2772000000024,right,true,true,,,,
sim-numbers,up,0,74,47,86,84,90,55,74,66,40,50,83,57,436,370,401.7228999999961,left,true,true,,,,
sim-numbers,up,0,82,25,56,88,64,82,64,75,51,65,57,38,397,350,401.7228999999787,left,true,true,,,,
sim-numbers,up,0,40,86,56,68,63,44,74,40,81,83,61,56,357,395,418.3919000000051,right,true,true,,,,
sim-numbers,up,0,75,69,75,69,86,86,70,28,73,61,71,43,460,346,418.3918999999963,left,true,true,,,,
sim-numbers,up,0,82,60,69,12,75,47,90,66,63,55,46,49,345,369,416.72500000001446,right,true,true,,,,
sim-numbers,up,0,50,66,52,65,50,41,45,87,32,35,89,89,324,377,418.3918999999964,right,true,true,,,,
sim-numbers,up,0,78,66,76,62,70,60,90,53,16,59,35,66,412,319,385.05390000001347,left,true,true,,,,
sim-numbers,up,0,65,68,70,89,32,44,90,74,67,27,87,67,368,412,500.07000000001557,right,true,true,,,,
sim-numbers,up,0,74,40,81,83,61,56,40,86,56,68,63,44,395,357,433.39400000001456,left,true,true,,,,
sim-numbers,up,0,79,41,70,81,82,62,52,81,70,87,72,46,415,408,616.753000000017,left,true,true,,,,
sim-numbers,up,0,82,76,82,38,85,37,40,77,84,31,84,61,400,377,1185.1658999999754,left,true,true,,,,
sim-numbers,up,0,90,88,89,72,23,31,78,74,66,74,78,81,393,451,335.0469000000098,right,true,true,,,,
sim-numbers,up,0,51,74,50,77,69,61,55,29,60,80,87,80,382,391,451.75310000001315,left,false,false,,,,
sim-numbers,up,0,70,28,73,61,71,43,75,69,75,69,86,86,346,460,435.0608999999879,right,true,true,,,,
sim-numbers,up,0,58,83,44,69,59,59,69,90,60,87,69,86,372,461,416.72500000001736,right,true,true,,,,
sim-numbers,up,0,61,54,70,86,50,55,79,49,67,86,41,56,376,378,416.72500000001736,left,false,false,,,,
sim-numbers,up,0,75,34,41,42,64,50,71,63,83,55,60,83,306,415,435.0609000000111,right,true,true,,,,
sim-numbers,up,0,71,26,62,80,88,87,44,58,69,41,70,61,414,343,383.3870000000111,left,true,true,,,,
sim-numbers,up,0,44,58,69,41,70,61,71,26,62,80,88,87,343,414,416.72499999990106,right,true,true,,,,
sim-numbers,up,0,78,49,62,68,55,14,73,88,73,40,46,30,326,350,400.05600000001715,left,false,false,,,,
sim-numbers,up,0,45,55,73,81,80,45,49,42,60,60,53,79,379,343,485.0679000000176,left,true,true,,,,
sim-numbers,up,0,55,81,44,49,35,29,80,51,59,78,70,27,293,365,501.7369000000178,right,true,true,,,,
sim-numbers,up,0,70,67,65,25,87,83,55,75,51,74,88,74,397,417,401.72290000001067,right,true,true,,,,
sim-numbers,up,0,36,42,71,53,54,84,53,76,67,52,38,77,340,363,385.0538999999522,left,false,false,,,,
sim-numbers,up,0,74,74,43,87,55,75,60,58,59,54,67,56,408,354,351.71590000001004,left,true,true,,,,
sim-numbers,up,0,30,60,72,63,39,74,59,87,26,76,57,83,338,388,451.72990000001715,right,true,true,,,,
sim-numbers,up,0,47,86,69,35,22,72,54,72,80,26,40,80,331,352,383.38699999988887,left,false,false,,,,
sim-numbers,up,0,90,66,63,55,46,49,82,60,69,12,75,47,369,345,383.3870000000111,right,false,false,,,,
sim-numbers,up,0,68,24,27,51,74,47,87,77,67,34,89,30,291,384,450.0630000000178,right,true,true,,,,
sim-numbers,up,0,88,74,78,53,77,70,87,68,76,68,87,71,440,457,435.060899999947,right,true,true,,,,
sim-numbers,up,0,53,34,68,75,79,64,77,75,85,87,48,53,373,425,433.3940000000117,right,true,true,,,,
sim-numbers,up,0,62,85,30,43,79,76,73,64,76,90,63,36,375,402,550.0769999999552,right,true,true,,,,
sim-numbers,up,0,74,52,70,87,43,74,78,78,79,89,63,66,400,453,951.7999000000293,right,true,true,,,,
sim-numbers,up,0,67,86,90,80,63,51,82,74,56,79,56,69,437,416,501.73690000001193,left,true,true,,,,
sim-numbers,up,0,42,90,82,49,81,74,64,71,41,66,82,44,418,368,451.97410000001526,left,true,true,,,,
sim-numbers,up,0,49,42,60,60,53,79,45,55,73,81,80,45,343,379,383.3869999999996,right,true,true,,,,
sim-numbers,up,0,75,62,77,55,81,81,56,77,84,72,38,71,431,398,385.0539000000223,left,true,true,,,,
sim-numbers,up,0,42,55,19,44,79,59,82,37,18,87,71,77,298,372,450.0630000000471,right,true,true,,,,
sim-numbers,up,0,61,71,35,41,65,29,82,59,68,64,37,88,302,398,468.3988999999711,right,true,true,,,,
sim-numbers,up,0,87,38,16,64,86,79,52,74,88,51,65,33,370,363,416.725000000035,left,true,true,,,,
sim-numbers,up,0,78,78,79,89,63,66,74,52,70,87,43,74,453,400,401.72289999999344,left,true,true,,,,
sim-numbers,up,0,72,74,23,73,51,70,87,85,84,87,77,35,363,455,600.0839999998686,right,true,true,,,,
sim-numbers,up,0,81,55,86,49,66,85,77,82,67,70,25,63,422,384,366.7180000000285,left,true,true,,,,
sim-numbers,up,0,52,81,70,87,72,46,79,41,70,81,82,62,408,415,366.71800000001684,left,false,false,,,,
sim-numbers,up,0,66,32,88,37,65,79,36,90,32,83,77,25,367,343,451.72990000004654,right,false,false,,,,
sim-numbers,up,0,45,87,32,35,89,89,50,66,52,65,50,41,377,324,451.7299,left,true,true,,,,
sim-numbers,up,0,60,58,59,54,67,56,74,74,43,87,55,75,354,408,818.6538999999871,right,true,true,,,,
seq-numbers,up,b_on_left,43,85,90,82,59,88,78,28,57,34,86,40,323,447,301.7088999998988,right,true,true,,,,
seq-numbers,up,b_on_right,22,59,62,69,70,54,56,72,63,70,59,77,336,397,435.0609000000405,left,false,false,,,,
seq-numbers,up,b_on_right,53,44,64,88,63,62,77,64,85,84,60,46,374,416,285.0398999999859,left,false,false,,,,
seq-numbers,up,a_on_left,67,64,73,82,33,48,77,83,35,33,80,75,367,383,316.71100000002195,right,true,true,,,,
seq-numbers,up,a_on_left,55,83,43,47,53,68,69,70,74,83,68,63,349,427,401.72289999999344,right,true,true,,,,
seq-numbers,up,a_on_right,53,44,64,88,63,62,77,64,85,84,60,46,416,374,218.36390000003155,left,true,true,,,,
seq-numbers,up,a_on_left,79,67,86,46,71,36,22,64,22,62,90,42,385,302,301.7089000000269,right,false,false,,,,
seq-numbers,up,a_on_left,88,32,48,60,85,89,88,84,53,51,87,55,402,418,268.3708999999682,right,true,true,,,,
seq-numbers,up,a_on_right,38,72,31,82,83,64,53,86,82,56,88,52,417,370,201.69489999999058,left,true,true,,,,
seq-numbers,up,a_on_left,79,68,59,67,37,85,58,41,41,85,90,83,395,398,235.03289999996775,right,true,true,,,,
seq-numbers,up,b_on_right,44,55,89,24,89,45,71,63,84,82,74,72,346,446,285.03989999999754,left,false,false,,,,
seq-numbers,up,b_on_left,27,55,85,90,90,73,75,34,87,64,75,38,373,420,368.3849000000162,right,true,true,,,,
seq-numbers,up,b_on_right,33,76,77,65,73,41,80,38,89,64,67,83,365,421,1051.8138999999028,left,false,false,,,,
seq-numbers,up,b_on_left,83,68,45,27,28,38,82,88,48,75,74,54,421,289,533.4079999998445,left,true,true,,,,
seq-numbers,up,a_on_left,40,37,84,63,73,87,38,52,29,81,71,78,384,349,218.36390000000824,left,true,true,,,,
seq-numbers,up,b_on_right,21,70,65,88,85,71,54,40,76,48,75,38,400,331,201.69490000002548,left,true,true,,,,
seq-numbers,up,b_on_left,80,59,21,88,88,87,86,83,51,78,74,76,448,423,268.3708999999799,right,false,false,,,,
seq-numbers,up,b_on_right,31,34,83,90,83,58,70,85,37,68,69,51,379,380,201.6949000000488,left,false,false,,,,
seq-numbers,up,b_on_left,47,18,81,83,30,54,72,75,68,36,58,19,328,313,285.0399000000209,right,false,false,,,,
seq-numbers,up,b_on_right,81,63,85,80,84,88,45,57,43,81,39,78,481,343,200.02799999996788,left,true,true,,,,
seq-numbers,up,a_on_left,72,66,66,59,81,83,52,88,57,23,64,37,427,321,583.4150000000607,left,true,true,,,,
seq-numbers,up,b_on_right,40,73,51,74,73,33,54,59,45,86,80,54,344,378,318.3778999999981,right,true,true,,,,
seq-numbers,up,b_on_left,75,73,44,76,29,85,45,66,49,44,68,56,328,382,266.7040000000037,right,true,true,,,,
seq-numbers,up,a_on_right,81,63,85,80,84,88,45,57,43,81,39,78,343,481,385.05389999999903,right,true,true,,,,
seq-numbers,up,a_on_right,31,34,83,90,83,58,70,85,37,68,69,51,380,379,218.36390000005485,right,false,false,,,,
seq-numbers,up,b_on_left,71,52,37,34,79,69,39,62,87,81,78,74,421,342,2201.974899999913,right,false,false,,,,
seq-numbers,up,a_on_left,88,37,25,17,67,84,34,89,40,37,57,58,318,315,200.0279999999795,left,true,true,,,,
seq-numbers,up,b_on_right,71,42,76,75,65,75,34,40,82,49,26,88,404,319,851.7858999999469,right,false,false,,,,
seq-numbers,up,b_on_right,90,52,20,60,42,74,82,51,81,33,89,87,338,423,201.69489999997896,left,false,false,,,,
seq-numbers,up,b_on_right,80,72,52,70,54,39,49,62,68,73,56,65,367,373,250.0350000000094,left,false,false,,,,
seq-numbers,up,a_on_right,44,55,89,24,89,45,71,63,84,82,74,72,446,346,716.7670000000156,left,true,true,,,,
seq-numbers,up,b_on_left,67,64,73,82,33,48,77,83,35,33,80,75,383,367,600.08400000002,right,false,false,,,,
seq-numbers,up,b_on_left,58,66,63,53,88,86,75,89,79,70,62,46,421,414,285.14670000002957,right,false,false,,,,
seq-numbers,up,a_on_right,81,79,74,58,79,52,86,60,68,62,85,87,448,423,201.69489999995565,left,true,true,,,,
seq-numbers,up,b_on_left,56,80,74,81,76,62,78,41,56,49,84,83,391,429,318.3778999999747,left,false,false,,,,
seq-numbers,up,b_on_left,63,71,57,39,83,23,78,68,56,85,69,46,402,336,233.36600000002662,left,true,true,,,,
seq-numbers,up,b_on_left,72,66,66,59,81,83,52,88,57,23,64,37,321,427,285.03989999998595,right,true,true,,,,
seq-numbers,up,a_on_left,58,66,63,53,88,86,75,89,79,70,62,46,414,421,385.05389999999903,right,true,true,,,,
seq-numbers,up,b_on_left,88,37,25,17,67,84,34,89,40,37,57,58,315,318,235.03289999996778,left,false,false,,,,
seq-numbers,up,b_on_right,55,87,26,85,86,88,42,32,72,77,57,66,427,346,216.6970000000205,left,true,true,,,,
seq-numbers,up,a_on_right,90,52,20,60,42,74,82,51,81,33,89,87,423,338,268.3708999999799,left,true,true,,,,
seq-numbers,up,a_on_left,47,18,81,83,30,54,72,75,68,36,58,19,313,328,350.0490000000108,left,false,false,,,,
seq-numbers,up,a_on_right,40,73,51,74,73,33,54,59,45,86,80,54,378,344,233.36600000015457,left,true,true,,,,
seq-numbers,up,a_on_right,77,60,85,63,69,54,80,57,66,69,78,68,418,408,366.7179999999703,left,true,true,,,,
seq-numbers,up,b_on_right,46,43,56,83,65,61,89,83,82,38,38,41,354,371,318.3778999998932,right,true,true,,,,
seq-numbers,up,a_on_right,21,70,65,88,85,71,54,40,76,48,75,38,331,400,301.70890000001526,right,true,true,,,,
seq-numbers,up,a_on_left,71,52,37,34,79,69,39,62,87,81,78,74,342,421,318.3778999998932,right,true,true,,,,
seq-numbers,up,a_on_right,44,84,47,75,53,39,82,84,44,34,61,56,361,342,316.7110000000103,left,true,true,,,,
seq-numbers,up,b_on_left,79,67,86,46,71,36,22,64,22,62,90,42,302,385,300.0419999998994,left,false,false,,,,
seq-numbers,up,a_on_left,76,89,80,51,53,82,86,90,37,61,47,58,431,379,385.05389999994077,right,false,false,,,,
sim-bars,up,0,82,37,18,87,71,77,42,55,19,44,79,59,372,298,801.7789000000107,left,true,true,,,,
sim-bars,up,0,76,46,52,54,25,74,85,53,19,55,73,86,327,371,566.7460000000664,right,true,true,,,,
sim-bars,up,0,67,57,50,58,40,28,73,78,54,65,16,88,300,374,583.4149999998743,right,true,true,,,,
sim-bars,up,0,82,74,56,79,56,69,67,86,90,80,63,51,416,437,433.394000000111,right,true,true,,,,
sim-bars,up,0,43,57,58,76,26,61,25,71,40,74,63,84,321,357,450.0630000001052,right,true,true,,,,
sim-bars,up,0,79,27,83,31,71,63,50,67,63,58,54,60,354,352,383.38700000003445,right,false,false,,,,
sim-bars,up,0,77,75,85,87,48,53,53,34,68,75,79,64,425,373,501.8050000000747,right,false,false,,,,
sim-bars,up,0,41,58,35,71,81,65,86,87,34,35,78,74,351,394,435.0608999998541,left,false,false,,,,
sim-bars,up,0,47,52,77,40,75,72,63,34,36,87,86,50,363,356,551.7439000000713,left,true,true,,,,
sim-bars,up,0,50,67,63,58,54,60,79,27,83,31,71,63,352,354,216.69699999992736,right,true,true,,,,
sim-bars,up,0,87,68,76,68,87,71,88,74,78,53,77,70,457,440,401.72289999986526,left,true,true,,,,
sim-bars,up,0,73,64,76,90,63,36,62,85,30,43,79,76,402,375,335.04690000012056,left,true,true,,,,
sim-bars,up,0,81,56,75,67,72,53,62,39,90,60,66,43,404,360,551.7439000000712,left,true,true,,,,
sim-bars,up,0,40,77,84,31,84,61,82,76,82,38,85,37,377,400,618.4198999997926,right,true,true,,,,
sim-bars,up,0,56,77,84,72,38,71,75,62,77,55,81,81,398,431,500.07000000008867,right,true,true,,,,
sim-bars,up,0,71,51,78,56,22,56,87,78,64,67,65,85,334,446,451.7298999998485,right,true,true,,,,
sim-bars,up,0,87,85,84,87,77,35,72,74,23,73,51,70,455,363,1085.1519000001251,right,false,false,,,,
sim-bars,up,0,71,63,83,55,60,83,75,34,41,42,64,50,415,306,501.7369000000881,left,true,true,,,,
sim-bars,up,0,53,76,67,52,38,77,36,42,71,53,54,84,363,340,466.7320000000996,left,true,true,,,,
sim-bars,up,0,64,75,51,65,57,38,82,25,56,88,64,82,350,397,567.0000999998767,right,true,true,,,,
sim-bars,up,0,55,75,51,74,88,74,70,67,65,25,87,83,417,397,450.06300000010515,left,true,true,,,,
sim-bars,up,0,63,34,36,87,86,50,47,52,77,40,75,72,356,363,483.4010000000941,left,false,false,,,,
sim-bars,up,0,64,71,41,66,82,44,42,90,82,49,81,74,368,418,450.06299999996554,right,true,true,,,,
sim-bars,up,0,36,90,32,83,77,25,66,32,88,37,65,79,343,367,435.06090000011034,right,true,true,,,,
sim-bars,up,0,90,50,77,41,66,61,66,79,70,85,57,76,385,433,416.7250000000233,right,true,true,,,,
sim-bars,up,0,55,29,60,80,87,80,51,74,50,77,69,61,391,382,1333.5199999999952,left,true,true,,,,
sim-bars,up,0,62,39,90,60,66,43,81,56,75,67,72,53,360,404,1501.8768999998456,left,false,false,,,,
sim-bars,up,0,79,49,67,86,41,56,61,54,70,86,50,55,378,376,650.0910000000381,right,false,false,,,,
sim-bars,up,0,78,74,66,74,78,81,90,88,89,72,23,31,451,393,685.0959000000266,left,true,true,,,,
sim-bars,up,0,69,73,57,72,64,73,90,78,84,63,78,26,408,419,400.0559999999358,left,false,false,,,,
sim-bars,up,0,90,78,84,63,78,26,69,73,57,72,64,73,419,408,1001.8068999999205,left,true,true,,,,
sim-bars,up,0,90,53,16,59,35,66,78,66,76,62,70,60,319,412,468.3988999998429,right,true,true,,,,
sim-bars,up,0,36,51,69,46,67,69,37,37,66,66,90,31,338,327,368.38489999987644,left,true,true,,,,
sim-bars,up,0,25,71,40,74,63,84,43,57,58,76,26,61,357,321,400.05600000007564,left,true,true,,,,
sim-bars,up,0,77,82,67,70,25,63,81,55,86,49,66,85,384,422,483.4009999999312,right,true,true,,,,
sim-bars,up,0,37,37,66,66,90,31,36,51,69,46,67,69,327,338,568.4129000000657,right,true,true,,,,
sim-bars,up,0,73,78,54,65,16,88,67,57,50,58,40,28,374,300,400.0559999998659,left,true,true,,,,
sim-bars,up,0,86,87,34,35,78,74,41,58,35,71,81,65,394,351,350.04900000013885,left,true,true,,,,
sim-bars,up,0,90,74,67,27,87,67,65,68,70,89,32,44,412,368,435.0609000001103,left,true,true,,,,
sim-bars,up,0,59,87,26,76,57,83,30,60,72,63,39,74,388,338,366.7180000000168,left,true,true,,,,
sim-bars,up,0,84,56,60,79,80,68,48,85,45,75,66,72,427,391,535.0749000000769,left,true,true,,,,
sim-bars,up,0,69,90,60,87,69,86,58,83,44,69,59,59,461,372,435.06090000011045,left,true,true,,,,
sim-bars,up,0,87,78,64,67,65,85,71,51,78,56,22,56,446,334,333.38000000014426,left,true,true,,,,
sim-bars,up,0,82,59,68,64,37,88,61,71,35,41,65,29,398,302,383.3869999998715,left,true,true,,,,
sim-bars,up,0,48,85,45,75,66,72,84,56,60,79,80,68,391,427,450.0630000001052,left,false,false,,,,
sim-bars,up,0,87,77,67,34,89,30,68,24,27,51,74,47,384,291,418.3918999998597,left,true,true,,,,
sim-bars,up,0,52,74,88,51,65,33,87,38,16,64,86,79,363,370,566.74599999981,left,false,false,,,,
sim-bars,up,0,85,53,19,55,73,86,76,46,52,54,25,74,371,327,650.0909999998054,left,true,true,,,,
sim-bars,up,0,54,72,80,26,40,80,47,86,69,35,22,72,352,331,451.72990000010475,left,true,true,,,,
sim-bars,up,0,66,79,70,85,57,76,90,50,77,41,66,61,433,385,418.3919000001159,left,true,true,,,,
alt-bars,up,a_on_right,72,54,20,27,56,63,90,76,58,59,68,79,358,364,401.72289999986526,right,true,true,,,,
alt-bars,up,a_on_left,38,83,71,79,80,60,69,44,59,82,67,84,384,432,301.7088999998988,right,true,true,,,,
alt-bars,up,a_on_right,66,85,82,78,88,90,88,67,50,64,30,54,438,404,250.03499999991618,left,true,true,,,,
alt-bars,up,a_on_right,44,85,71,64,80,60,89,19,71,68,78,80,376,433,1233.5059999998894,right,true,true,,,,
alt-bars,up,a_on_left,30,87,71,69,43,34,39,58,90,89,82,73,355,410,516.7389999998734,right,true,true,,,,
alt-bars,up,a_on_right,33,84,68,36,84,51,42,50,87,88,83,26,335,397,551.7438999998849,left,false,false,,,,
alt-bars,up,b_on_right,27,45,70,86,65,37,87,24,66,80,81,67,339,396,200.02800000004933,left,false,false,,,,
alt-bars,up,b_on_right,72,54,20,27,56,63,90,76,58,59,68,79,358,364,401.7228999999817,right,true,true,,,,
alt-bars,up,b_on_right,90,80,79,43,75,83,55,76,76,64,49,70,416,424,266.7039999999106,right,true,true,,,,
alt-bars,up,b_on_left,84,85,88,88,88,74,79,50,50,79,58,57,447,433,366.71799999987707,left,true,true,,,,
alt-bars,up,a_on_left,40,76,75,12,75,33,60,78,30,88,67,33,347,320,300.0419999998994,left,true,true,,,,
alt-bars,up,b_on_right,66,85,82,78,88,90,88,67,50,64,30,54,438,404,216.69699999992736,left,true,true,,,,
alt-bars,up,a_on_right,84,25,59,67,87,68,75,90,71,89,83,75,414,459,266.7040000001667,left,false,false,,,,
alt-bars,up,a_on_right,89,79,65,86,87,81,65,67,72,34,36,50,397,414,500.06999999985567,right,true,true,,,,
