block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
seq-bars,up,b_on_right,75,73,57,69,47,87,39,76,64,18,73,61,408,331,283.3729999999851,left,true,true,,,,
seq-bars,up,a_on_right,46,61,32,72,72,51,60,22,58,78,35,65,318,334,383.3870000000111,right,true,true,,,,
seq-bars,up,a_on_right,74,69,76,81,75,75,56,75,78,73,72,77,431,450,583.4150000000006,left,false,false,,,,
seq-bars,up,b_on_right,47,57,35,45,21,55,33,44,74,77,62,59,260,349,400.0560000000142,right,true,true,,,,
seq-bars,up,b_on_right,76,56,67,52,24,53,33,70,68,23,57,57,328,308,383.38699999998204,right,false,false,,,,
seq-bars,up,a_on_right,71,18,50,66,62,68,59,79,56,33,19,77,323,335,350.04899999998736,left,false,false,,,,
seq-bars,up,b_on_left,89,43,84,82,44,49,72,58,88,33,88,70,409,391,516.7390000000158,right,false,false,,,,
seq-bars,up,a_on_right,81,60,61,89,73,59,64,75,44,74,43,76,376,423,833.4499999999625,right,true,true,,,,
seq-bars,up,b_on_right,56,30,65,69,88,38,51,86,65,51,58,28,346,339,216.69699999997678,left,true,true,,,,
seq-bars,up,b_on_left,62,79,86,68,83,64,23,29,72,31,80,73,308,442,416.72500000001435,right,true,true,,,,
seq-bars,up,a_on_left,37,51,83,41,79,79,52,36,74,60,45,78,370,345,616.753000000017,left,true,true,,,,
seq-bars,up,a_on_right,64,80,53,70,30,77,73,54,80,23,89,84,403,374,250.03500000000645,left,true,true,,,,
seq-bars,up,a_on_left,62,79,86,68,83,64,23,29,72,31,80,73,442,308,400.0560000000084,left,true,true,,,,
seq-bars,up,b_on_right,46,86,59,59,56,81,62,37,82,64,52,33,387,330,416.7250000000144,left,true,true,,,,
seq-bars,up,a_on_right,47,57,35,45,21,55,33,44,74,77,62,59,349,260,200.02800000000573,left,true,true,,,,
seq-bars,up,b_on_left,25,77,88,84,48,89,55,84,51,49,59,82,380,411,433.39399999995345,right,true,true,,,,
seq-bars,up,a_on_right,77,48,46,68,53,72,70,55,64,77,38,83,387,364,333.379999999993,left,true,true,,,,
seq-bars,up,b_on_left,40,78,71,55,20,86,49,37,86,63,53,79,367,350,700.098000000021,right,false,false,,,,
seq-bars,up,a_on_left,78,37,66,84,90,80,76,62,78,68,88,79,435,451,350.0490000000136,left,false,false,,,,
seq-bars,up,a_on_left,64,63,67,57,83,81,76,83,88,72,48,36,415,403,350.0490000000019,left,true,true,,,,
seq-bars,up,b_on_right,77,48,46,68,53,72,70,55,64,77,38,83,364,387,283.37300000000397,right,true,true,,,,
seq-bars,up,b_on_left,89,35,68,58,75,71,59,62,28,42,72,84,347,396,616.7530000000199,left,false,false,,,,
seq-bars,up,a_on_right,68,83,51,87,37,49,74,68,75,52,89,82,440,375,400.0560000000055,left,true,true,,,,
seq-bars,up,b_on_right,72,87,67,57,49,82,72,68,61,38,76,86,414,401,416.7250000000173,left,true,true,,,,
seq-bars,up,a_on_right,31,88,40,74,39,62,21,52,71,85,79,31,339,334,466.73200000001793,right,false,false,,,,
seq-bars,up,a_on_left,78,54,79,75,74,75,76,80,55,59,71,30,435,371,466.732000000018,left,true,true,,,,
seq-bars,up,a_on_right,72,80,51,87,67,31,68,73,72,57,75,72,417,388,266.7039999999397,left,true,true,,,,
seq-bars,up,b_on_left,56,33,73,56,45,84,84,85,84,70,42,59,424,347,450.0630000000178,left,true,true,,,,
seq-bars,up,b_on_left,72,49,88,45,73,75,67,85,77,68,83,88,468,402,433.3940000000117,left,true,true,,,,
seq-bars,up,a_on_left,89,35,68,58,75,71,59,62,28,42,72,84,396,347,266.7040000000096,left,true,true,,,,
seq-bars,up,b_on_left,68,60,69,31,55,39,56,62,51,87,68,74,398,322,266.7040000000096,left,true,true,,,,
seq-bars,up,a_on_right,86,67,64,64,78,61,77,64,12,53,76,50,332,420,333.38000000001045,right,true,true,,,,
seq-bars,up,a_on_right,42,57,67,43,10,75,32,80,81,78,69,81,421,294,250.03500000000938,left,true,true,,,,
seq-bars,up,a_on_left,72,35,23,86,56,20,39,80,65,57,73,72,292,386,266.70400000000956,right,true,true,,,,
seq-bars,up,a_on_right,46,86,59,59,56,81,62,37,82,64,52,33,330,387,500.0700000000184,right,true,true,,,,
seq-bars,up,b_on_right,86,67,64,64,78,61,77,64,12,53,76,50,420,332,200.02800000000866,left,true,true,,,,
seq-bars,up,a_on_right,80,89,65,84,53,67,32,48,58,62,87,54,341,438,333.38000000001625,right,true,true,,,,
seq-bars,up,b_on_left,45,75,69,58,45,57,63,63,72,64,89,39,390,349,1200.167999999981,right,false,false,,,,
seq-bars,up,a_on_right,15,83,79,53,45,72,28,39,54,86,76,81,364,347,466.8646000000123,left,true,true,,,,
seq-bars,up,a_on_left,89,43,84,82,44,49,72,58,88,33,88,70,391,409,300.04200000001003,right,true,true,,,,
seq-bars,up,a_on_right,78,19,62,24,65,33,42,77,54,55,70,43,341,281,650.0909999999043,right,false,false,,,,
seq-bars,up,a_on_left,56,33,73,56,45,84,84,85,84,70,42,59,347,424,516.7390000000187,right,true,true,,,,
seq-bars,up,b_on_left,89,36,59,85,89,77,66,58,82,33,77,23,339,435,333.38000000001045,right,true,true,,,,
seq-bars,up,b_on_left,86,86,78,42,48,56,60,78,63,84,38,70,393,396,333.61760000001516,right,true,true,,,,
seq-bars,up,a_on_left,59,16,20,66,71,64,83,68,84,52,57,39,296,383,333.3799999999756,right,true,true,,,,
seq-bars,up,a_on_right,73,87,39,41,78,72,71,53,33,66,28,40,291,390,266.70400000000956,left,false,false,,,,
seq-bars,up,b_on_right,73,87,39,41,78,72,71,53,33,66,28,40,390,291,250.03500000000938,left,true,true,,,,
seq-bars,up,b_on_right,42,57,67,43,10,75,32,80,81,78,69,81,294,421,200.02800000000283,right,true,true,,,,
seq-bars,up,a_on_right,48,25,37,57,55,27,68,75,86,70,61,84,444,249,383.3869999999528,left,true,true,,,,
seq-bars,up,a_on_left,74,63,41,33,89,59,51,83,58,41,80,59,359,372,433.39400000001166,right,true,true,,,,
alt-numbers,up,b_on_left,75,38,72,47,87,51,61,89,39,82,54,61,388,368,316.9639999999549,left,true,true,,,,
alt-numbers,up,a_on_left,76,90,62,85,82,73,55,89,47,79,80,69,402,485,333.38000000000466,right,true,true,,,,
alt-numbers,up,b_on_right,72,77,42,29,60,85,86,72,27,77,44,78,418,331,283.3730000000214,left,true,true,,,,
alt-numbers,up,a_on_left,55,83,38,38,57,47,81,43,66,38,43,86,340,335,333.3800000000047,right,false,false,,,,
alt-numbers,up,a_on_left,44,85,72,85,60,72,87,75,79,66,83,73,425,456,366.71800000001684,right,true,true,,,,
alt-numbers,up,b_on_left,47,53,60,40,51,85,56,23,46,71,45,64,305,336,350.0489999999409,right,true,true,,,,
alt-numbers,up,b_on_left,87,66,39,76,41,25,77,83,79,88,67,85,390,423,400.055999999994,left,false,false,,,,
alt-numbers,up,a_on_left,37,35,69,89,61,79,90,88,81,37,53,35,391,363,300.04200000002754,left,true,true,,,,
alt-numbers,up,b_on_left,66,71,67,23,35,66,69,60,59,90,82,21,378,331,283.372999999905,left,true,true,,,,
alt-numbers,up,b_on_right,58,56,90,38,77,67,78,84,84,75,31,85,405,418,466.7320000000066,left,false,false,,,,
alt-numbers,up,b_on_right,54,42,79,58,46,69,26,89,81,85,56,41,384,342,350.0490000000224,left,true,true,,,,
alt-numbers,up,a_on_right,56,72,72,36,86,52,71,67,75,67,54,51,345,414,366.71800000000525,right,true,true,,,,
alt-numbers,up,a_on_left,56,32,68,86,60,80,90,86,51,88,71,45,396,417,333.38000000001637,left,false,false,,,,
alt-numbers,up,a_on_left,55,84,81,60,61,79,56,27,53,46,46,86,352,382,433.3939999999829,left,false,false,,,,
alt-numbers,up,a_on_left,66,71,67,23,35,66,69,60,59,90,82,21,378,331,416.7250000000234,left,true,true,,,,
alt-numbers,up,b_on_right,87,80,75,49,75,30,61,53,85,45,79,90,347,462,366.7179999999237,right,true,true,,,,
alt-numbers,up,a_on_left,87,15,63,37,32,15,81,54,88,81,77,69,428,271,333.38000000001637,left,true,true,,,,
alt-numbers,up,b_on_right,85,85,66,64,72,61,72,82,65,69,68,49,410,428,383.3869999998715,right,true,true,,,,
alt-numbers,up,a_on_left,66,60,90,81,42,69,34,48,90,54,64,41,386,353,316.71100000002195,left,true,true,,,,
alt-numbers,up,a_on_left,33,52,68,53,42,52,64,71,67,53,85,35,359,316,266.70399999999216,left,true,true,,,,
alt-numbers,up,a_on_right,58,56,90,38,77,67,78,84,84,75,31,85,405,418,283.3730000000214,left,false,false,,,,
alt-numbers,up,b_on_left,81,72,40,19,62,61,52,38,90,86,82,73,407,349,316.7110000000103,left,true,true,,,,
alt-numbers,up,a_on_right,72,77,42,29,60,85,86,72,27,77,44,78,418,331,283.3729999999865,left,true,true,,,,
