block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
sim-bars,up,0,90,86,41,90,75,42,76,51,88,67,81,48,424,411,550.624800000005,left,true,true,,,,
sim-bars,up,0,79,87,47,36,67,46,90,72,88,29,28,77,362,384,200.08799999999755,right,true,true,,,,
sim-bars,up,0,44,52,81,38,56,60,80,83,68,67,51,58,331,407,366.82800000000435,right,true,true,,,,
sim-bars,up,0,90,49,81,55,86,77,81,80,58,80,33,52,438,384,383.50200000000046,left,true,true,,,,
sim-bars,up,0,31,32,82,41,89,71,68,63,64,72,54,81,346,402,651.9534,right,true,true,,,,
sim-bars,up,0,83,48,56,42,87,79,85,82,63,73,84,84,395,471,350.1539999999935,right,true,true,,,,
sim-bars,up,0,55,56,74,21,39,29,79,42,61,75,78,61,274,396,350.1539999999819,right,true,true,,,,
sim-bars,up,0,79,42,61,75,78,61,55,56,74,21,39,29,396,274,200.08799999999752,left,true,true,,,,
sim-bars,up,0,71,72,18,86,57,50,57,43,37,78,61,90,354,366,550.2420000000011,left,false,false,,,,
sim-bars,up,0,88,89,50,66,90,21,85,67,80,75,37,48,404,392,516.8940000000031,right,false,false,,,,
sim-bars,up,0,51,70,59,61,86,79,40,68,80,63,42,46,406,339,350.15399999998334,left,true,true,,,,
sim-bars,up,0,70,67,50,72,50,47,86,89,78,71,76,59,356,459,716.9819999999977,right,true,true,,,,
sim-bars,up,0,65,26,77,82,26,38,75,90,85,68,34,59,314,411,483.5460000000049,right,true,true,,,,
sim-bars,up,0,79,64,88,55,73,45,79,67,71,41,88,72,404,418,350.15399999999494,right,true,true,,,,
sim-bars,up,0,77,80,83,68,26,85,35,63,77,44,78,55,419,352,416.8500000000086,left,true,true,,,,
sim-bars,up,0,81,80,58,80,33,52,90,49,81,55,86,77,384,438,416.85000000000866,right,true,true,,,,
sim-bars,up,0,71,62,82,67,71,72,48,85,75,67,73,62,425,410,316.80599999999686,left,true,true,,,,
sim-bars,up,0,90,47,84,84,87,90,47,79,78,87,53,81,482,425,350.15400000001233,left,true,true,,,,
sim-bars,up,0,74,85,63,70,55,85,82,53,88,48,84,89,432,444,533.5680000000021,right,true,true,,,,
sim-bars,up,0,45,62,79,71,54,59,54,52,50,87,52,80,370,375,400.17599999999214,right,true,true,,,,
sim-bars,up,0,85,52,36,50,52,77,73,49,52,59,43,77,352,353,350.15399999998044,left,false,false,,,,
sim-bars,up,0,88,46,47,26,83,54,43,72,72,21,61,89,344,358,400.17599999998924,right,true,true,,,,
sim-bars,up,0,36,73,53,83,55,49,55,75,22,36,58,59,349,305,416.85000000000866,left,true,true,,,,
sim-bars,up,0,25,56,59,62,63,32,89,85,88,70,54,80,297,466,833.6999999999854,right,true,true,,,,
sim-bars,up,0,66,88,45,72,86,75,85,76,87,70,78,35,432,431,1450.6380000000158,left,true,true,,,,
sim-bars,up,0,40,68,80,63,42,46,51,70,59,61,86,79,339,406,666.9599999999946,right,true,true,,,,
sim-bars,up,0,83,78,82,54,28,72,44,64,83,31,72,57,397,351,5731.666666666679,right,false,false,,,,
sim-bars,up,0,77,76,29,59,83,82,31,43,21,79,81,56,406,311,283.4580000000161,left,true,true,,,,
sim-bars,up,0,71,53,90,15,51,69,75,13,68,15,81,66,349,318,2200.9680000000417,right,false,false,,,,
sim-bars,up,0,60,70,86,59,55,44,87,40,78,45,40,48,374,338,1700.7480000000337,right,false,false,,,,
sim-bars,up,0,66,74,44,68,69,40,31,55,71,41,32,85,361,315,643.6163999999931,right,false,false,,,,
sim-bars,up,0,68,63,64,72,54,81,31,32,82,41,89,71,402,346,1700.0000000000014,left,true,true,,,,
sim-bars,up,0,52,72,26,59,30,76,88,47,67,72,39,65,315,378,5215.000000000003,right,true,true,,,,
sim-bars,up,0,80,46,77,74,46,87,51,54,54,42,35,70,410,306,4114.999999999987,left,true,true,,,,
sim-bars,up,0,87,40,78,45,40,48,60,70,86,59,55,44,338,374,1785.0733667002935,right,true,true,,,,
sim-bars,up,0,77,78,90,88,89,84,62,72,77,83,53,82,506,429,2625.9637000181897,right,false,false,,,,
sim-bars,up,0,31,43,21,79,81,56,77,76,29,59,83,82,311,406,6565.000000000027,right,true,true,,,,
sim-bars,up,0,75,13,68,15,81,66,71,53,90,15,51,69,318,349,401.8434000000416,right,true,true,,,,
sim-bars,up,0,50,54,77,90,88,33,51,81,64,40,87,16,392,339,283.45799999998417,left,true,true,,,,
sim-bars,up,0,43,72,72,21,61,89,88,46,47,26,83,54,358,344,333.3333333333333,right,false,false,,,,
sim-bars,up,0,85,69,18,86,90,68,66,27,28,89,69,72,416,351,367.18000000002195,left,true,true,,,,
sim-bars,up,0,76,88,59,88,51,56,72,68,50,35,50,78,418,353,400.17600000003586,left,true,true,,,,
sim-bars,up,0,90,57,81,81,84,81,53,44,55,44,43,71,474,310,283.4580000000366,left,true,true,,,,
sim-bars,up,0,53,44,55,44,43,71,90,57,81,81,84,81,310,474,350.1539999999921,right,true,true,,,,
sim-bars,up,0,52,75,38,27,77,43,88,78,78,54,36,79,312,413,383.50200000004264,right,true,true,,,,
sim-bars,up,0,51,54,54,42,35,70,80,46,77,74,46,87,306,410,383.5019999999786,right,true,true,,,,
