block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
sim-numbers,down,0,12,74,27,38,14,56,31,16,21,24,32,68,221,192,1616.2460000000000,left,TRUE,TRUE,,,,
sim-numbers,down,0,18,26,16,12,66,22,20,40,24,13,19,12,160,128,2516.656000000000,right,FALSE,FALSE,,,,
sim-numbers,down,0,30,23,14,11,27,10,27,72,36,90,13,52,115,290,616.6619999999940,right,TRUE,TRUE,,,,
sim-numbers,down,0,21,10,55,13,70,63,47,30,11,28,22,27,232,165,466.6920000000280,left,TRUE,TRUE,,,,
sim-numbers,down,0,10,12,28,28,32,37,76,65,49,55,14,13,147,272,299.9639999999930,right,TRUE,TRUE,,,,
sim-numbers,down,0,37,24,23,40,15,55,22,50,31,11,62,38,194,214,1066.6660000000000,left,FALSE,FALSE,,,,
sim-numbers,down,0,31,16,21,24,32,68,12,74,27,38,14,56,192,221,783.3299999999840,right,TRUE,TRUE,,,,
sim-numbers,down,0,54,51,77,17,15,24,35,40,12,18,44,22,238,171,233.3340000000000,left,TRUE,TRUE,,,,
sim-numbers,down,0,20,40,24,13,19,12,18,26,16,12,66,22,128,160,448.65400000000100,right,TRUE,TRUE,,,,
sim-numbers,down,0,18,23,38,47,25,20,10,66,73,11,40,10,171,210,366.72600000000400,right,TRUE,TRUE,,,,
sim-numbers,down,0,50,68,15,14,11,43,36,23,34,44,15,19,201,171,216.65400000000700,left,TRUE,TRUE,,,,
sim-numbers,down,0,76,65,49,55,14,13,10,12,28,28,32,37,272,147,333.34399999999400,left,TRUE,TRUE,,,,
sim-numbers,down,0,24,22,29,11,10,63,40,27,37,22,52,27,159,205,615.887999999989,left,FALSE,FALSE,,,,
sim-numbers,down,0,12,36,58,25,45,14,11,20,23,63,62,22,190,201,233.32800000000000,right,TRUE,TRUE,,,,
sim-numbers,down,0,11,67,34,26,72,13,27,32,50,47,18,37,223,211,216.65199999997600,left,TRUE,TRUE,,,,
sim-numbers,down,0,20,66,10,15,19,45,27,16,13,56,37,59,175,208,716.378000000009,left,FALSE,FALSE,,,,
sim-numbers,down,0,56,59,13,62,50,22,36,12,74,22,41,30,262,215,200.00399999999800,right,FALSE,FALSE,,,,
sim-numbers,down,0,15,10,37,19,29,78,43,16,60,28,72,40,188,259,416.66200000000300,right,TRUE,TRUE,,,,
sim-numbers,down,0,32,50,66,52,27,20,17,43,27,16,40,40,247,183,550.0000000000000,left,TRUE,TRUE,,,,
sim-numbers,down,0,13,18,44,46,63,62,37,49,27,10,25,39,246,187,433.3279999999850,left,TRUE,TRUE,,,,
sim-numbers,down,0,27,32,50,47,18,37,11,67,34,26,72,13,211,223,600.0020000000080,left,FALSE,FALSE,,,,
sim-numbers,down,0,30,18,31,47,13,43,19,34,43,34,22,68,182,220,433.3280000000260,left,FALSE,FALSE,,,,
sim-numbers,down,0,45,24,34,17,26,56,78,23,12,47,32,15,202,207,500.0020000000080,left,FALSE,FALSE,,,,
sim-numbers,down,0,44,28,32,38,56,40,34,44,60,40,25,16,238,219,316.65600000000600,left,TRUE,TRUE,,,,
sim-numbers,down,0,19,60,16,41,22,11,11,57,10,45,15,35,169,173,5568.452000001270,left,FALSE,FALSE,,,,
sim-numbers,down,0,40,34,38,63,41,47,57,12,71,33,72,23,263,268,288.3439999999250,right,TRUE,TRUE,,,,
sim-numbers,down,0,57,12,71,33,72,23,40,34,38,63,41,47,268,263,200.00799999984400,right,FALSE,FALSE,,,,
sim-numbers,down,0,28,67,30,69,61,37,13,43,13,17,52,49,292,187,400.0060000001690,right,FALSE,FALSE,,,,
sim-numbers,down,0,12,71,40,50,25,60,37,31,42,52,35,48,258,245,216.14400000008800,left,TRUE,TRUE,,,,
sim-numbers,down,0,28,18,67,54,66,47,49,51,45,10,28,40,280,223,1914.1806666660000,left,TRUE,TRUE,,,,
sim-numbers,down,0,15,15,38,17,47,58,22,14,43,10,28,21,190,138,5921.280666667610,left,TRUE,TRUE,,,,
sim-numbers,down,0,46,14,50,25,46,37,65,31,64,46,28,30,218,264,599.9819999999370,left,FALSE,FALSE,,,,
sim-numbers,down,0,19,34,43,34,22,68,30,18,31,47,13,43,220,182,466.53666666726700,left,TRUE,TRUE,,,,
sim-numbers,down,0,21,40,45,25,75,17,10,11,56,11,20,13,223,121,649.5439999998310,left,TRUE,TRUE,,,,
sim-numbers,down,0,20,13,20,38,56,53,62,48,39,48,23,32,200,252,1149.9519999999800,right,TRUE,TRUE,,,,
sim-numbers,down,0,27,72,36,90,13,52,30,23,14,11,27,10,290,115,499.9699999999490,left,TRUE,TRUE,,,,
sim-numbers,down,0,17,16,22,15,16,43,29,35,10,36,12,11,129,133,499.9979999999750,left,FALSE,FALSE,,,,
sim-numbers,down,0,43,12,25,37,22,60,11,61,14,48,19,48,199,201,499.99799999997500,left,FALSE,FALSE,,,,
sim-numbers,down,0,13,22,45,35,66,18,68,13,31,24,20,37,199,193,1371.6480000008600,left,TRUE,TRUE,,,,
sim-numbers,down,0,76,23,36,41,29,61,44,28,76,16,15,11,266,190,746.8973333341150,left,TRUE,TRUE,,,,
sim-numbers,down,0,34,44,60,40,25,16,44,28,32,38,56,40,219,238,99945.89533332800,left,FALSE,FALSE,,,,
sim-numbers,down,0,51,39,19,12,17,26,33,31,22,35,22,29,164,172,200.0080000001010,left,FALSE,FALSE,,,,
sim-numbers,down,0,25,30,20,12,75,16,32,52,10,13,37,38,178,182,516.6659999999680,right,TRUE,TRUE,,,,
sim-numbers,down,0,33,31,22,35,22,29,51,39,19,12,17,26,172,164,516.6660000000380,left,TRUE,TRUE,,,,
sim-numbers,down,0,32,52,10,13,37,38,25,30,20,12,75,16,182,178,499.7320000000070,left,TRUE,TRUE,,,,
sim-numbers,down,0,36,12,74,22,41,30,56,59,13,62,50,22,215,262,466.6639999999670,left,FALSE,FALSE,,,,
sim-numbers,down,0,32,41,33,14,47,28,21,63,56,30,76,36,195,282,216.66600000008500,left,FALSE,FALSE,,,,
sim-numbers,down,0,10,75,30,29,23,26,58,24,73,54,18,60,193,287,283.3440000001340,left,FALSE,FALSE,,,,
sim-numbers,down,0,49,26,23,27,13,62,15,26,69,72,14,10,200,206,366.66199999989500,left,FALSE,FALSE,,,,
sim-numbers,down,0,29,78,14,61,51,77,21,38,24,45,48,26,310,202,200.0080000000310,left,TRUE,TRUE,,,,
seq-numbers,down,a_on_left,53,25,57,37,18,44,22,58,47,16,13,28,234,184,2566.2239999995300,right,FALSE,FALSE,,,,
seq-numbers,down,b_on_left,15,41,45,58,21,12,46,32,25,26,35,18,182,192,249.9879999998490,right,TRUE,TRUE,,,,
seq-numbers,down,b_on_right,11,13,60,63,29,32,39,20,11,54,65,12,208,201,483.34199999999300,right,FALSE,FALSE,,,,
seq-numbers,down,a_on_right,78,12,36,15,61,83,51,42,14,16,47,14,184,285,216.6400000001300,right,TRUE,TRUE,,,,
seq-numbers,down,a_on_right,52,27,27,51,76,47,34,75,37,22,14,16,198,280,1400.423999999740,right,TRUE,TRUE,,,,
seq-numbers,down,a_on_right,30,10,23,34,28,24,20,32,53,42,56,25,228,149,1516.3133333318200,left,TRUE,TRUE,,,,
seq-numbers,down,a_on_right,77,17,60,83,42,33,61,34,21,15,17,25,173,312,799.9899999999910,right,TRUE,TRUE,,,,
seq-numbers,down,a_on_left,13,19,21,29,24,17,18,58,47,24,70,14,123,231,282.52399999992900,right,TRUE,TRUE,,,,
seq-numbers,down,a_on_left,35,16,18,50,18,13,23,26,28,76,34,13,150,200,350.0079999998210,right,TRUE,TRUE,,,,
