block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
alt-bars,down,b_on_left,60,61,34,31,63,13,53,48,72,15,38,48,320,216,1581.9195999999295,left,true,true,,,,
alt-bars,down,a_on_right,32,24,39,10,34,73,17,82,57,22,33,60,271,212,566.1494000000357,right,false,false,,,,
alt-bars,down,a_on_right,27,33,33,37,38,82,60,25,39,23,11,25,225,208,566.3340999999667,left,true,true,,,,
alt-bars,down,b_on_left,46,40,37,22,19,47,10,29,16,71,21,17,149,226,466.2501999999745,right,true,true,,,,
alt-bars,down,a_on_left,40,78,20,11,43,76,23,59,51,28,67,16,244,268,632.772899999941,left,false,false,,,,
alt-bars,down,a_on_left,46,40,37,22,19,47,10,29,16,71,21,17,149,226,549.4647999999521,right,true,true,,,,
alt-bars,down,b_on_right,33,59,10,36,14,15,54,42,54,21,17,52,225,182,1431.9687000000386,right,false,false,,,,
alt-bars,down,a_on_left,28,17,25,30,21,26,46,40,22,21,25,18,167,152,532.8920000000217,left,true,true,,,,
alt-bars,down,a_on_left,37,25,12,23,26,12,14,21,24,35,13,41,126,157,466.23429999997603,right,true,true,,,,
alt-bars,down,b_on_right,12,19,18,45,53,37,17,75,13,15,28,55,246,141,582.7379000000657,left,true,true,,,,
alt-bars,down,b_on_right,51,52,68,13,31,19,70,26,58,20,43,19,149,321,649.462400000123,right,true,true,,,,
alt-bars,down,b_on_right,26,80,65,21,23,15,27,15,21,51,17,10,192,179,432.94419999996904,right,false,false,,,,
alt-bars,down,a_on_right,21,10,39,60,54,30,12,35,11,25,12,24,184,149,466.18920000002834,left,true,true,,,,
alt-bars,down,a_on_right,51,52,68,13,31,19,70,26,58,20,43,19,149,321,549.5162000000126,right,true,true,,,,
alt-bars,down,b_on_right,16,32,25,35,36,34,60,14,32,31,24,29,175,193,682.7506999999982,left,false,false,,,,
alt-bars,down,b_on_left,62,43,55,84,15,42,22,32,32,63,71,77,257,341,466.22489999996026,right,true,true,,,,
