,Unnamed: 0,Unnamed: 0.1,block_order,block_progressive_ID,block_stimuli,block_type,bonus_block_type,bonus_total,bonus_trial_correct,bonus_trial_number_chosen,choice_correct,choice_correct.1,left-0-right,participant_ID,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,side_chosen,start_position,total_left,total_right,treatment,trial_ID,trial_ID_block,waiting_elapsed
0,0.0,,1,0,1,1,,,,,1,1,0,1,22.0,10.0,33.0,30.0,32.0,22.0,29.0,46.0,66.0,41.0,35.0,22.0,1,0,149.0,239.0,2,0,0,2417.297600000082
1,1.0,,1,0,1,1,,,,,1,1,0,1,27.0,52.0,32.0,45.0,51.0,11.0,12.0,31.0,12.0,65.0,73.0,31.0,1,0,218.0,224.0,2,0,0,683.4290000000208
2,2.0,,1,0,1,1,,,,,0,0,0,1,47.0,22.0,15.0,34.0,63.0,10.0,59.0,15.0,51.0,25.0,31.0,55.0,0,0,191.0,236.0,2,0,0,883.457000000029
3,3.0,,1,0,1,1,,,,,0,0,0,1,67.0,41.0,13.0,20.0,25.0,55.0,79.0,19.0,10.0,12.0,57.0,29.0,1,0,221.0,206.0,2,0,0,500.0699999999255
4,4.0,,1,0,1,1,,,,,0,0,0,1,14.0,32.0,49.0,18.0,46.0,53.0,67.0,15.0,34.0,53.0,14.0,23.0,1,0,212.0,206.0,2,0,0,533.4080000000189
5,5.0,,1,0,1,1,,,,,1,1,0,1,12.0,31.0,12.0,65.0,73.0,31.0,27.0,52.0,32.0,45.0,51.0,11.0,0,0,224.0,218.0,2,0,0,550.0769999999088
6,6.0,,1,0,1,1,,,,,1,1,0,1,84.0,17.0,51.0,74.0,33.0,25.0,32.0,53.0,66.0,26.0,28.0,10.0,0,0,284.0,215.0,2,0,0,550.0770000000191
7,7.0,,1,0,1,1,,,,,1,1,0,1,42.0,16.0,33.0,33.0,10.0,34.0,60.0,55.0,32.0,34.0,80.0,76.0,1,0,168.0,337.0,2,0,0,483.40100000005896
8,8.0,,1,0,1,1,,,,,1,1,0,1,28.0,46.0,29.0,68.0,24.0,41.0,14.0,65.0,56.0,26.0,29.0,26.0,0,0,236.0,216.0,2,0,0,583.4150000000194
9,9.0,,1,0,1,1,,,,,0,0,0,1,18.0,31.0,50.0,11.0,42.0,57.0,33.0,14.0,44.0,65.0,23.0,38.0,0,0,209.0,217.0,2,0,0,500.0700000000126
10,10.0,,1,0,1,1,,,,,1,1,0,1,60.0,55.0,32.0,34.0,80.0,76.0,42.0,16.0,33.0,33.0,10.0,34.0,0,0,337.0,168.0,2,0,0,450.0630000000178
11,11.0,,1,0,1,1,,,,,0,0,0,1,32.0,68.0,21.0,21.0,69.0,32.0,44.0,25.0,34.0,80.0,15.0,66.0,0,0,243.0,264.0,2,0,0,833.4500000000168
12,12.0,,1,0,1,1,,,,,1,1,0,1,62.0,12.0,65.0,40.0,11.0,10.0,19.0,52.0,39.0,10.0,75.0,29.0,1,0,200.0,224.0,2,0,0,416.7250000000173
13,13.0,,1,0,1,1,,,,,0,0,0,1,79.0,19.0,10.0,12.0,57.0,29.0,67.0,41.0,13.0,20.0,25.0,55.0,0,0,206.0,221.0,2,0,0,533.4079999999723
14,14.0,,1,0,1,1,,,,,1,1,0,1,10.0,76.0,66.0,26.0,44.0,11.0,12.0,49.0,10.0,11.0,42.0,16.0,0,0,233.0,140.0,2,0,0,516.7389999999954
15,15.0,,1,0,1,1,,,,,0,0,0,1,17.0,29.0,71.0,39.0,67.0,26.0,17.0,32.0,36.0,58.0,33.0,52.0,1,0,249.0,228.0,2,0,0,700.0980000000212
